Block,Time Block,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,URI2,TANAKPUR,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,TANDA2,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,JHAJJAR,KISHANGANGA,KUDGI,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KOTESHWR,KHSTPP-I,KKNPPU2,KOLDAM,NLCIIST2,NJPC,MAPS,NLCTS2EXP,RAMPUR,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,SASAN,RIHAND1,TALST2,SIMHST1,RSTPSU1TO6,SIMHST2,SINGRAULI_HYDRO,RAPPC,RSTPSU7,SALAL,SEWA2,TALA,SINGRAULI,RIHAND3,RAPPB,RIHAND2,BSIUL,CHAMERA2,BRBCL,CHAMERA1,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,4.14,7.51,13.96,0,22.41,0.53,0,0,0,5.77,0,0,264.46,11,0,229.82,0,0,0,0,93.9,0,17.06,24.53,0,0,0,0,0,0,0,0,42.09,0,0,0,0,258.26,88.43,0,0,0,0,0.61,25,0,1.35,0,0,134.27,59.75,0,114.15,0,0,19.22,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,4.14,7.51,13.96,0,22.41,0.53,0,0,0,5.77,0,0,264.46,11,0,229.82,0,0,0,0,93.9,0,17.06,24.53,0,0,0,0,0,0,0,0,42.09,0,0,0,0,258.45,88.43,0,0,0,0,0.61,25,0,1.35,0,0,134.27,59.75,0,114.15,0,0,17.82,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,4.14,7.51,13.96,0,22.41,0.53,0,0,0,5.77,0,0,264.46,11,0,229.82,0,0,0,0,96.61,0,17.06,24.53,0,0,0,0,0,0,0,0,42.09,0,0,0,0,258.45,88.43,0,0,0,0,0.61,25,0,1.35,0,0,134.27,59.75,0,114.15,0,0,17.49,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,4.14,7.51,13.96,0,22.41,0.53,0,0,0,5.77,0,0,264.46,11,0,229.82,0,0,0,0,113.59,0,17.06,24.53,0,0,0,0,0,0,0,0,42.09,0,0,0,0,258.45,88.43,0,0,0,0,0.61,25,0,1.35,0,0,134.27,59.75,0,114.15,0,0,16.47,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,4.14,7.51,13.96,0,22.41,0.53,0,0,0,5.77,0,0,264.46,11,0,229.82,0,0,0,0,113.59,0,17.06,24.53,0,0,0,0,0,0,0,0,42.09,0,0,0,0,258.45,88.43,0,0,0,0,0.61,25,0,1.35,0,0,134.27,59.75,0,114.15,0,0,16.63,0,0,0,0,0,0,0

