Column1,Block,SR/2024/15456/A/48246,NR/2025/24732/C,NR/2024/24507/A/48487,NR/2024/24508/A/48488,NR/2024/24614/A/48489,NR/2024/24435/A/48244,WR/2024/25501/A/48459,NR/2025/24731/C,NR/2024/24418/A/48248,NR/2025/24730/C,NR/2025/24724/C,NR/2025/24725/C,NER/2024/2820/A/48452,NR/2024/24566/A/48220,NR/2024/24434/A/48245,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/09/6952,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,Total
,,IEXL,SJVNL,NVVNL,NVVNL,NVVNL,IEXL,APPCPL,SJVNL,ITCLH,SJVNL,NVVNL,NVVNL,APPCPL,IEXL,IEXL,IEXL,NDMC,IEXL,HPXL,HPXL,PXIL,IEXL,BAWANA_GAS,IEXL,NDMC,TPTCL,DELHI,NDMC,MANIKARAN,NDMC,IEXL,APPCPL,PUNJAB,
,,DELHI_UT,NA,NA,NA,NA,KARNATAKA_STATE,DELHI_UT,UTTARPRADESH_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,TELANGANA_State,NA,NA,NA,MP_State,NA,NA,NA,ODISHA_STATE,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,Meghalaya_State,DELHI_UT,DELHI_UT,
,,BYPL,TPSL_BKN2,JIPL,TRN_ENERGY,TRN_ENERGY,NSLSUGARALAND,BRPL,BCMLUH,ITCWIND,RSRPL_BKN,JIPL,TRN_ENERGY,BYPL,NSLKSLWPRTY,TESPL_BKN2,JPNIGRIE_JNSTPP,RKM_POWER,JP_BINA,SKS_Raigarh,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,NBVLIPP,BAWANA_GAS,SKS_Raigarh,RKM_POWER,BYPL,CHANJUII,SKS_Raigarh,BRPL,JPL2,Meghalaya_Ben,BYPL,BAWANA_GAS,
,,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,
,,TANGEDCO,NDMC,NDMC,NDMC,NDMC,MES_Delhi,GOA_Beneficiary,NDMC,ITCLH,NDMC,NDMC,NDMC,Manipur_Ben,MES_Delhi,MES_Delhi,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,NDMC,TPC_MSEB,TPDDL,NDMC,AEML,NDMC,BRPL,AEML,PUNJAB,
,,North-West-South,North-North,East-North,West-North,West-North,South-West-North,North-West,North-North,South-West-North,North-North,East-North,West-North,North-East-North East,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,North-North,West-North,West-North,North-West,North-North,West-North,North-West,West-North,North East-East-North,North-West,North-North,
1,00:00-00:15,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,28.68,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,1.46,8.6,0,28.68,0,0,27,402.72

2,00:15-00:30,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,28.68,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,1.46,8.6,0,28.68,0,0,27,402.72

3,00:30-00:45,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,28.68,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,1.46,8.6,0,28.68,0,0,27,402.72

4,00:45-01:00,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,28.68,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,1.46,8.6,0,28.68,0,0,27,402.72

5,01:00-01:15,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

6,01:15-01:30,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

7,01:30-01:45,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

8,01:45-02:00,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

9,02:00-02:15,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

10,02:15-02:30,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

11,02:30-02:45,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

12,02:45-03:00,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

13,03:00-03:15,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.55,8.6,0,25.81,0,0,27,394.20000000000005

14,03:15-03:30,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.55,8.6,0,25.81,0,0,27,394.20000000000005

15,03:30-03:45,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.55,8.6,0,25.81,0,0,27,394.20000000000005

16,03:45-04:00,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.55,8.6,0,25.81,0,0,27,394.20000000000005

17,04:00-04:15,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

18,04:15-04:30,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

19,04:30-04:45,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

20,04:45-05:00,0,0,17.21,8.69,0,9.56,0,0,0.38,0,0,0,0,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,394.11

21,05:00-05:15,0,0,17.21,8.69,0,16.25,0,0,0.43,0,0,0,38.24,5.74,0,26.77,25.81,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,1.46,8.6,0,25.81,0,0,27,439.09000000000003

