Block,Time,UNCHAHAR4,AURY_LF,SALAL,DHAULIGNGA,RIHAND2,SINGRAULI,DADRI_GF,AURY_RF,UNCHAHAR2,DADRI_LF,NAPP,AURY_GF,URI,UNCHAHAR1,PARBATI3,RAPPC,BSIUL,KOTESHWR,ANTA_CRF,RIHAND3,URI2,RAMPUR,SEWA2,TEHRI,CHAMERA1,JHAJJAR,ANTA_LF,SINGRAULI_HYDRO,RIHAND1,KOLDAM,DADRI_CRF,ANTA_GF,CHAMERA2,RAPPB,ANTA_RF,NJPC,DADRT2,DULHASTI,DADRI_RF,TANDA2,AURY_CRF,TANAKPUR,CHAMERA3,TALA,BRBCL,FSTPP I & II,SASAN,KUDGI,KHSTPP-I,UNCHAHAR3,KISHANGANGA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,0.000000,0.000000,82.001294,35.373196,114.191438,134.670977,0.000000,0.000000,20.490268,0.000000,37.683899,0.000000,23.479210,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,43.849512,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,603.648178,47.790319,0.000000,0.000000,0.000000,12.878764,28.095016,25.578882,16.222660,13.437130,403.476412,74.44,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,82.001294,35.373196,114.191438,134.670977,0.000000,0.000000,20.490268,0.000000,37.683899,0.000000,23.479210,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,43.849512,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,555.313178,47.790319,0.000000,0.000000,0.000000,12.878764,28.095016,25.578882,15.148709,13.437130,403.476412,74.44,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,82.001294,35.373196,114.191438,134.670977,0.000000,0.000000,20.490268,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,36.541260,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,506.978178,47.790319,0.000000,0.000000,0.000000,12.878764,28.095016,25.578882,17.059019,13.437130,403.476412,74.60,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

12,02:45-03:00,0.000000,0.000000,82.001294,35.373196,114.191438,134.670977,0.000000,0.000000,20.490268,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,29.233008,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,468.310178,47.790319,0.000000,0.000000,0.000000,12.878764,28.095016,25.578882,17.867717,13.437130,403.476412,74.60,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

13,03:00-03:15,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,20.490268,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,29.233008,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,18.632365,13.437130,403.476412,74.71,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

14,03:15-03:30,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,29.233008,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,17.383374,13.437130,403.476412,74.71,41.075083,15.560487,0.000000,142.603355,0,0,0,0,0

15,03:30-03:45,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,11.300618,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,29.233008,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,18.474375,9.468923,403.476412,74.75,27.868414,15.560487,0.000000,128.309318,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,11.300618,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,29.233008,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,17.274819,9.468923,403.476412,74.75,27.868414,15.560487,0.000000,118.642318,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,11.300618,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,16.443567,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,19.243614,9.468923,403.476412,74.76,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,11.300618,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,28.095016,25.578882,19.334041,9.468923,403.476412,74.76,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

19,04:30-04:45,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.578882,19.334041,9.468923,403.476412,74.73,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

20,04:45-05:00,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.578882,19.334041,9.468923,403.476412,74.73,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

21,05:00-05:15,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.578882,19.334041,9.468923,403.476412,74.75,27.868414,19.120691,0.000000,108.975318,0,0,0,0,0

22,05:15-05:30,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.578882,19.334041,9.468923,403.476412,74.75,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

23,05:30-05:45,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,395.775584,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.75,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

24,05:45-06:00,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,395.775584,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.75,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

25,06:00-06:15,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,11.338452,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,386.108584,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.62,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

26,06:15-06:30,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,46.958419,11.330415,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,14.616504,0.000000,404.727516,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,386.108584,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.62,27.868414,15.560487,0.000000,108.975318,0,0,0,0,0

