Block,Time,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TALA,SASAN,KOTESHWR,NAPP,CHAMERA1,AURY_RF,RAPPC,DULHASTI,AURY_GF,KOLDAM,ANTA_GF,RAMPUR,DADRI_RF,DADRI_CRF,PARBATI3,SALAL,ANTA_CRF,CHAMERA3,KISHANGANGA,URI2,RAPPB,UNCHAHAR1,RIHAND1,RIHAND2,ANTA_RF,RIHAND3,URI,AURY_LF,SINGRAULI_HYDRO,JHAJJAR,TANAKPUR,UNCHAHAR3,DADRI_LF,BSIUL,UNCHAHAR2,DADRT2,AURY_CRF,SINGRAULI,DHAULIGNGA,ANTA_LF,TEHRI,UNCHAHAR4,CHAMERA2,TANDA2,NJPC,DADRI_GF,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,142.047864,44.756553,19.996158,19.291953,0.000000,403.945542,8.084313,42.237905,0.000000,0.000000,52.268105,1.856373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,30.768215,0.000000,6.816874,88.743200,113.943375,0.000000,58.530578,40.466899,0.000000,0.775018,231.021700,0.000000,14.391832,0.000000,6.289964,35.289698,362.014380,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,142.047864,44.756553,19.996158,19.291953,0.000000,403.945542,8.084313,42.237905,0.000000,0.000000,52.268105,1.856373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,30.768215,0.000000,7.714099,88.743200,113.943375,0.000000,58.530578,40.466899,0.000000,0.775018,231.021700,0.000000,14.391832,0.000000,6.289964,35.289698,362.014380,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,142.047864,44.756553,19.996158,19.291953,0.000000,403.945542,8.084313,42.237905,0.000000,0.000000,52.268105,1.856373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,30.768215,0.000000,7.714099,88.743200,113.943375,0.000000,58.530578,17.038694,0.000000,0.775018,231.021700,0.000000,14.391832,0.000000,6.289964,27.276091,362.014380,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,142.047864,44.756553,19.996158,19.291953,0.000000,403.945542,8.084313,42.237905,0.000000,0.000000,52.268105,1.856373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,30.768215,0.000000,7.714099,88.743200,113.943375,0.000000,58.530578,17.038694,0.000000,0.775018,231.021700,0.000000,14.391832,0.000000,6.289964,27.276091,362.014380,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,142.047864,44.756553,19.996158,19.291953,0.000000,403.945542,8.084313,42.237905,0.000000,0.000000,52.268105,1.856373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,30.768215,0.000000,7.714099,88.743200,113.943375,0.000000,58.530578,17.038694,0.000000,0.775018,231.021700,0.000000,14.391832,0.000000,6.289964,27.276091,362.014380,0.000000,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

