Column1,Time,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/3451,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/04/1294,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/9821
1,00:00-00:15,98.64,24.0835,0,273.67,0,24.0835,11.83,31.29,87.3,262.78,0,0,0,0,0,10,0,0,0,0,30,0,0,10,0,21.67,37.02,21.67,8.34,0,62.08,12.47,48.4,100.84,24.74,21.78,24.2,5.77,48.4,0,0,96.79,2.42,0,0,32.91

2,00:15-00:30,70.55,24.0835,0,273.67,0,24.0835,11.83,31.29,87.3,262.78,0,0,0,0,0,10.5,0,0,0,0,31.5,0,0,10.5,0,21.67,36.42,21.67,8.66,0,62.08,12.47,48.4,100.84,24.74,21.78,24.2,5.77,48.4,0,0,96.79,2.42,0,0,32.91

3,00:30-00:45,70.55,24.0835,0,273.67,0,24.0835,11.83,31.29,87.3,262.78,0,0,0,0,0,10.83,0,0,0,0,32.5,0,0,10.84,0,22,35.62,22,8.66,0,62.08,12.47,48.4,100.84,24.74,21.78,24.2,5.77,48.4,0,0,96.79,2.42,0,0,32.91

4,00:45-01:00,70.55,24.0835,0,273.67,0,24.0835,11.83,31.29,87.3,262.78,0,0,0,0,0,11.17,0,0,0,0,33.5,0,0,11.16,0,22.33,34.62,22.33,9,0,62.08,12.47,48.4,100.84,24.74,21.78,24.2,5.77,48.4,0,0,96.79,2.42,0,0,32.91

5,01:00-01:15,70.55,24.0835,0,273.67,0,24.0835,15.06,31.29,68.27,235.73,0,0,0,0,0,7.5,0,0,0,0,22.5,0,0,7.5,0,12,33.82,12,9.34,0,62.08,12.47,48.4,100.84,24.74,21.78,24.2,5.58,48.4,0,0,96.79,2.42,0,0,32.91

