Block,Time Block,NNTPP,NTPL,PARBATI3,NLCEXP,PARBATI2,RAPPB,NLCIIST1,NJPC,NLCIIST2,RAPPD,NLCTS2EXP,RAMPUR,NAPP,RAPPC,RIHAND1,RSTPSU1TO6,RIHAND3,RIHAND2,RSTPSU7,CHAMERA1,BRBCL,BSIUL,MAPS,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,DHAULIGNGA,KKNP,KHSTPP-II,KGSU3AND4,KISHANGANGA,KHSTPP-I,KGSU1AND2,CHAMERA2,CHAMERA3,DADRT2,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,FSTPP I & II,DULHASTI,JHAJJAR,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,SIMHST2,TALA,SALAL,SEWA2,SINGRAULI,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,35.48,0,28.96,0,0,106.61,0,28.9,0,4.24,24.95,66.54,93.66,0,125.99,120.01,0,27.07,18.34,18.84,0,20.08,0,2.31,0,10.55,0,142.86,0,8.31,43.86,0,47.02,33.72,663.35,0,0,3.9,0,0,1.77,0,0,0,0,0,3.5,17.76,57.32,371.4,36.7,26.66,0,42.39,48.39,33.86,20.85,0,1.64,336.17,0,0,0.94,0,0,0,51.49,18.21,144.82,5.31,0,0,0,0,0

2,00:15-00:30,0,0,35.48,0,28.96,0,0,106.61,0,28.9,0,4.24,24.95,66.54,93.66,0,125.99,120.01,0,27.07,16.08,18.84,0,20.08,0,2.31,0,10.55,0,142.86,0,8.31,43.86,0,47.02,33.72,663.35,0,0,0,0,0,0,0,0,0,0,0,0,17.76,57.32,327.92,36.7,26.66,0,42.39,48.39,33.86,20.85,0,1.64,336.17,0,0,0.94,0,0,0,51.49,18.21,144.82,5.31,0,0,0,0,0

3,00:30-00:45,0,0,35.48,0,28.96,0,0,106.61,0,28.9,0,4.24,24.95,66.54,93.66,0,125.99,120.01,0,27.07,14.91,18.84,0,10.05,0,2.31,0,10.55,0,142.86,0,8.31,43.86,0,47.02,33.72,663.35,0,0,0,0,0,0,0,0,0,0,0,0,17.76,57.32,410.37,36.7,26.66,0,42.39,48.39,33.86,20.85,0,1.64,336.17,0,0,0.94,0,0,0,51.49,18.21,144.82,5.31,0,0,0,0,0

4,00:45-01:00,0,0,35.48,0,28.96,0,0,106.61,0,28.9,0,4.24,24.95,66.54,93.66,0,125.99,120.01,0,27.07,13.52,18.84,0,10.05,0,2.31,0,10.55,0,142.86,0,8.31,43.86,0,47.02,33.72,663.35,0,0,0,0,0,0,0,0,0,0,0,0,17.76,57.32,478.46,36.7,26.66,0,42.39,50.44,33.86,20.85,0,1.64,336.17,0,0,0.94,0,0,0,51.49,18.21,144.82,5.31,0,0,0,0,0

5,01:00-01:15,0,0,35.48,0,28.96,0,0,106.61,0,28.9,0,4.24,24.95,66.54,93.66,0,125.99,120.01,0,27.07,15.05,18.84,0,10.05,0,2.31,0,10.55,0,142.86,0,8.31,43.86,0,47.02,33.72,663.35,0,0,0,0,0,0,0,0,0,0,0,0,17.76,57.32,480.37,36.7,26.66,0,42.39,50.44,33.86,20.85,0,1.64,336.17,0,0,0.94,0,0,0,51.49,18.21,144.82,5.31,0,0,0,0,0

