Block,Time,DULHASTI,JHAJJAR,KISHANGANGA,DADRT2,DHAULIGNGA,KOLDAM,CHAMERA1,CHAMERA2,CHAMERA3,BSIUL,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TEHRI,URI2,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,0,653.1525,0,679.493167,0,0,0,0,0,0,0,0,10.5635,42.392196,0,26.496,9.367,21.6804,0,0,0,82,59.0625,123.665625,0,139.3125,0,4.7082,26.39091,1.3944,0.86085,0,54.3132,0,45.675,0,0,0,70.144,23.016,0,0,52.128,18.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,418.77

2,00:15-00:30,0,653.1525,0,679.493167,0,0,0,0,0,0,0,0,10.5635,42.392196,0,26.496,9.367,21.6804,0,0,0,82,59.0625,123.665625,0,139.3125,0,4.7082,26.39091,1.3944,0.86085,0,54.3132,0,45.675,0,0,0,70.144,23.016,0,0,52.128,18.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,418.77

3,00:30-00:45,0,653.1525,0,679.493167,0,0,0,0,0,0,0,0,10.5635,42.392196,0,3.312,9.367,21.6804,0,0,0,82,59.0625,123.665625,0,139.3125,0,4.7082,26.39091,1.3944,0.86085,0,54.3132,0,45.675,0,0,0,70.144,23.016,0,0,52.128,18.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,418.77

4,00:45-01:00,0,653.1525,0,679.493167,0,0,0,0,0,0,0,0,10.5635,42.392196,0,2.208,9.367,21.6804,0,0,0,82,59.0625,123.665625,0,139.3125,0,4.7082,26.39091,1.3944,0.86085,0,54.3132,0,45.675,0,0,0,70.144,23.016,0,0,52.128,18.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,418.77

5,01:00-01:15,0,653.1525,0,679.493167,0,0,0,0,0,0,0,0,10.5635,42.392196,0,2.208,9.367,21.6804,0,0,0,82,59.0625,123.665625,0,139.3125,0,4.7082,26.39091,1.3944,0.86085,0,54.3132,0,45.675,0,0,0,70.144,23.016,0,0,52.128,18.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,418.77

