Column1,Time,NR/01102023/31052040/LT-31,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/2952,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/4125,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,GNARE/WR/2025/08/25/1832,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8128,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4452,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6475,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,37.5,33.34,0,12.33,33.33,42.01,12.5,0,0,12.5,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,260.34,19.24,8.66,81.78,15.25,86.78,5.9,20.76,0

2,00:15-00:30,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,37.99,33.34,0,12.67,33.33,42.01,12.67,0,0,12.67,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,260.34,19.24,8.66,81.78,15.25,66.89,5.9,20.76,0

3,00:30-00:45,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,39,33.34,0,13,33.33,42.01,13,0,0,13,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,260.34,19.24,8.66,81.78,15.25,66.89,5.9,20.76,0

4,00:45-01:00,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,40.01,34,0,13,34,42.01,13.33,0,0,13.33,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,260.34,19.24,8.66,81.78,15.25,66.89,5.9,20.76,0

5,01:00-01:15,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,40.99,34.34,0,13,34.33,42.01,13.67,0,0,13.67,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,260.34,19.24,8.66,81.78,15.25,66.89,5.9,20.76,0

6,01:15-01:30,0,-0,0,8.51,0,8.66,0,0,0,0,0,0,0,0,0,0,42,34,0,12.67,34,42.01,14,0,0,14,0,100.23,0,70.17,270.59,0,20.44,40.89,20.44,0,33.67,17.32,0,12.65,0,235.24,19.24,8.66,81.78,15.25,59.28,5.9,20.76,0

