Block,Time,CHAMERA3,KHSTPP-II,PARBATI3,RIHAND3,SINGRAULI_HYDRO,TANDA2,ANTA_CRF,DADRI_LF,DADRI_RF,BRBCL,CHAMERA2,JHAJJAR,KGSU1AND2,KKNPPU2,KOTESHWR,NNTPP,RAMPUR,RSTPSU7,SASAN,UNCHAHAR1,ANTA_LF,DADRI_CRF,KISHANGANGA,KOLDAM,NJPC,NLCIIST1,RAPPB,RIHAND2,RSTPSU1TO6,SALAL,SIMHST2,URI2,ANTA_GF,AURY_LF,AURY_RF,DADRI_GF,CHAMERA1,DHAULIGNGA,KKNP,NAPP,NLCTS2EXP,NTPL,TALST2,TANAKPUR,UNCHAHAR2,AURY_GF,DULHASTI,MAPS,SIMHST1,TALA,TelanganaSTPP,VALLURNTECL,ANTA_RF,FSTPP I & II,KGSU3AND4,SINGRAULI,UNCHAHAR3,UNCHAHAR4,AURY_CRF,NLCEXP,NLCIIST2,RAPPC,SEWA2,TEHRI,BSIUL,DADRT2,KHSTPP-I,KUDGI,RIHAND1,URI
1,00:00-00:15,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,4.57,0,0,70.59,0,0,0,0,42.93,0,0,0,8.33,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.14,0,0,0,683.14,45.22,0,92,39.75

2,00:15-00:30,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,8.33,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.14,0,0,0,683.14,45.22,0,92,39.75

3,00:30-00:45,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,8.33,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.39,0,0,0,683.14,45.22,0,92,3.31

4,00:45-01:00,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,3.2,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.39,0,0,0,683.14,45.22,0,92,1.44

5,01:00-01:15,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,3.2,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.39,0,0,0,683.14,45.22,0,92,1.44

6,01:15-01:30,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,3.2,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.39,0,0,0,683.14,45.22,0,92,1.44

7,01:30-01:45,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,18.83,0,0,70.59,0,0,0,0,42.93,0,0,0,3.2,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.64,0,0,0,683.14,45.22,0,92,1.44

8,01:45-02:00,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,4.57,0,0,70.59,0,0,0,0,42.93,0,0,0,3.2,21.19,0,0,0,0,0,0,0,28.88,14.87,0,139.68,26.39,0,0,0,0,51.64,0,0,0,683.14,45.22,0,92,1.44

9,02:00-02:15,0,98.87,0,124.32,0,0,0,22.47,66.85,20,1.87,436.2,0,0,8.87,0,0,0,418.77,20.56,0,0,0,0,0,0,0,118.76,0,1.4,0,4.57,0,0,70.59,0,0,0,0,42.93,0,0,0,8.33,21.19,0,0,0,0,0,0,0,29.09,14.87,0,139.68,26.39,0,0,0,0,51.64,0,0,0,683.14,45.22,0,92,1.11

