Block,Time,CHAMERA3,DADRT2,NJPC,NLCEXP,NLCIIST1,NLCTS2EXP,SIMHST1,TALST2,TEHRI,TelanganaSTPP,ANTA_GF,AURY_RF,DADRI_RF,JHAJJAR,RAPPC,RSTPSU7,UNCHAHAR3,URI2,CHAMERA1,KGSU3AND4,KOLDAM,NNTPP,RIHAND2,SIMHST2,UNCHAHAR2,URI,ANTA_CRF,AURY_CRF,BRBCL,KHSTPP-II,KKNP,AURY_GF,DADRI_GF,KKNPPU2,MAPS,NTPL,PARBATI3,RSTPSU1TO6,SALAL,SASAN,UNCHAHAR4,ANTA_LF,DADRI_LF,BSIUL,CHAMERA2,KHSTPP-I,KUDGI,RAMPUR,RAPPB,SINGRAULI,TANAKPUR,ANTA_RF,DADRI_CRF,DULHASTI,FSTPP I & II,KGSU1AND2,KISHANGANGA,RIHAND1,VALLURNTECL,DHAULIGNGA,KOTESHWR,NAPP,NLCIIST2,RIHAND3,SEWA2,SINGRAULI_HYDRO,TALA,TANDA2,UNCHAHAR1,AURY_LF
1,00:00-00:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,43.99,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

2,00:15-00:30,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,43.99,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

3,00:30-00:45,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

4,00:45-01:00,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

5,01:00-01:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,8.13,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

6,01:15-01:30,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,5.76,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,19.98,0

7,01:30-01:45,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

8,01:45-02:00,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.99,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

9,02:00-02:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

10,02:15-02:30,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

11,02:30-02:45,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

12,02:45-03:00,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

13,03:00-03:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

14,03:15-03:30,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

15,03:30-03:45,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

16,03:45-04:00,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,410.62,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

17,04:00-04:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

18,04:15-04:30,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,20.8,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

19,04:30-04:45,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

20,04:45-05:00,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

21,05:00-05:15,0,683.14,0,0,0,0,0,0,12.66,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

22,05:15-05:30,0,683.14,0,0,0,0,0,0,25.33,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.52,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

23,05:30-05:45,0,683.14,0,0,0,0,0,0,25.33,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.73,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

24,05:45-06:00,0,683.14,20.84,0,0,0,0,0,39.12,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.73,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

25,06:00-06:15,0,682.78,41.67,0,0,0,0,0,39.5,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,13.95,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.73,0,16.48,18.2,0,0,92,0,0,8.87,43.36,0,62.16,0,0.65,0,0,17.98,0

26,06:15-06:30,0,682.78,58.05,0,0,0,0,0,39.5,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,118.76,0,42.39,0.55,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.73,0,16.48,18.2,0,0,92,0,0,17.75,43.36,0,62.16,5.27,0.65,0,0,17.98,0

27,06:30-06:45,9.68,682.79,83.33,0,0,0,0,0,39.5,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,13.2,0,0,0,118.76,0,42.39,4.41,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,418.77,0,0,0,2.2,5.33,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,0,26.62,43.36,0,62.16,10.53,0.65,0,0,17.98,0

28,06:45-07:00,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,24.09,0,0,0,118.76,0,42.39,26.49,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,8.62,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

29,07:00-07:15,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,24.09,0,0,0,94.5,0,42.39,26.49,0,0,15,148.3,0,0,0,0,0,0,0,0,55.77,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,18.27,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

30,07:15-07:30,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,26.63,0,0,0,94.5,0,42.39,26.49,0,0,15,148.3,0,0,0,0,0,0,0,0,9.29,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,27.41,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

31,07:30-07:45,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,28.05,0,0,0,94.5,0,42.39,26.49,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,27.41,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

32,07:45-08:00,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,24.09,0,0,0,94.5,0,42.39,4.41,0,0,15,148.3,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.73,0,32.96,18.2,0,0,92,0,27.41,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

33,08:00-08:15,19.38,682.79,113.64,0,0,0,0,0,52.67,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,24.09,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,13.04,39.51,45.53,0,0,0,139.69,0,44.52,0,32.96,18.2,0,0,92,0,27.41,39.05,43.36,0,62.16,10.53,0.65,0,0,17.98,0

34,08:15-08:30,9.68,682.79,113.64,0,0,0,0,0,39.5,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,13.2,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,2.2,2.66,45.53,0,0,0,139.69,0,44.42,0,16.48,18.2,0,0,92,0,18.27,26.62,43.36,0,62.16,10.53,0.65,0,0,17.98,0

35,08:30-08:45,9.68,682.79,83.43,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,13.2,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,0,18.2,0,0,92,0,9.14,17.75,43.36,0,62.16,5.27,0.65,0,0,17.98,0

36,08:45-09:00,9.68,682.79,62.51,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.42,0,0,18.2,0,0,92,0,9.14,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

37,09:00-09:15,0,682.79,41.67,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,4.31,0,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,44.21,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

38,09:15-09:30,0,682.79,18.94,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,10.76,0,0,0,0,94.5,0,42.39,1.11,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,0,43.99,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

39,09:30-09:45,0,682.79,0,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,10.76,0,0,0,0,94.5,0,42.39,26.49,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,6.79,43.57,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

40,09:45-10:00,0,682.79,0,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,10.76,0,0,0,0,94.5,0,42.39,26.49,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,6.79,43.57,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

41,10:00-10:15,0,683.14,0,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,10.76,0,0,0,0,94.5,0,42.39,26.49,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,6.79,43.47,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

42,10:15-10:30,0,683.14,0,0,0,0,0,0,26.34,0,0,70.81,90.42,434.65,26.14,0,26.4,10.76,0,0,0,0,94.5,0,42.39,2.21,0,0,15,98.87,0,0,0,0,0,0,0,0,2.33,418.77,0,0,0,0,0,45.53,0,0,0,139.69,6.79,43.26,0,0,18.2,0,0,92,0,0,17.75,43.36,0,62.16,0,0.65,0,0,17.98,0

