Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/2025/24837/A/49662,NR/2025/24838/A/49674,NR/2025/24839/A/49682,GNA/NR/2025/01/01/3925,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/02/1250,NR/2024/24418/A/49395,SR/2024/15456/A/49397,NR/2024/24434/A/49407,NR/2024/24508/A/49715,NR/2025/24890/C,NR/2024/24614/A/49714,WR/2024/25501/A/49675,NR/2025/24891/C,NR/2024/24566/A/49398,NR/2024/24435/A/49406,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,NR/2024/24507/A/49716,NR/2025/24893/C,GNA/NR/2025/01/01/3514,NER/2024/2820/A/49665,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,NR/2025/24892/C,NR/2025/24894/C,Total
,,BAWANA_GAS,IEXL,NDMC,DELHI,APPCPL,MANIKARAN,NDMC,NDMC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,HPXL,TPTCL,IEXL,ITCLH,IEXL,IEXL,NVVNL,NVVNL,NVVNL,APPCPL,NVVNL,IEXL,IEXL,IEXL,PUNJAB,NVVNL,SJVNL,HPXL,APPCPL,NDMC,PXIL,IEXL,SJVNL,SJVNL,
,,DELHI_UT,ODISHA_STATE,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,DELHI_UT,NA,TELANGANA_State,KARNATAKA_STATE,MP_State,DELHI_UT,NA,UTTARPRADESH_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,
,,BAWANA_GAS,NBVLIPP,SKS_Raigarh,CHANJUII,BYPL,BRPL,RKM_POWER,RKM_POWER,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,JPNIGRIE_JNSTPP,BYPL,SKS_Raigarh,ITCWIND,BYPL,TESPL_BKN2,TRN_ENERGY,TRN_ENERGY,TRN_ENERGY,BRPL,JIPL,NSLKSLWPRTY,NSLSUGARALAND,JP_BINA,BAWANA_GAS,JIPL,BCMLUH,SKS_Raigarh,BYPL,JPL2,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,TPSL_BKN2,RSRPL_BKN,
,,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,BRPL,NDMC,TPDDL,AEML,AEML,NDMC,NDMC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,BRPL,TPC_MSEB,BRPL,ITCLH,TANGEDCO,MES_Delhi,NDMC,NDMC,NDMC,GOA_Beneficiary,NDMC,MES_Delhi,MES_Delhi,BRPL,PUNJAB,NDMC,NDMC,BRPL,Manipur_Ben,NDMC,BRPL,BRPL,NDMC,NDMC,
,,North-North,East-North,West-North,North-North,North-West,North-West,West-North,West-North,North-North,North-North,North-North,West-North,North-West,West-North,South-West-North,North-West-South,North-North,West-North,West-North,West-North,North-West,East-North,South-West-North,South-West-North,West-North,North-North,East-North,North-North,West-North,North-East-North East,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

2,00:15-00:30,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

3,00:30-00:45,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

4,00:45-01:00,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

5,01:00-01:15,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

6,01:15-01:30,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

7,01:30-01:45,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

8,01:45-02:00,0,20.12,8.62,1.37,0,0,25.87,25.87,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,25.87,28.74,26.82,0,0,362.05000000000007

9,02:00-02:15,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

10,02:15-02:30,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

11,02:30-02:45,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

12,02:45-03:00,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

13,03:00-03:15,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

14,03:15-03:30,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

15,03:30-03:45,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

16,03:45-04:00,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.29

17,04:00-04:15,0,20.12,8.62,1.28,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.20000000000005

18,04:15-04:30,0,20.12,8.62,1.28,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.20000000000005

19,04:30-04:45,0,20.12,8.62,1.28,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.20000000000005

20,04:45-05:00,0,20.12,8.62,1.28,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.38,0,0,8.71,0,0,0,0,0,9.58,47.9,0,17.24,0,19.16,0,23.95,28.74,26.82,0,0,356.20000000000005

21,05:00-05:15,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.43,0,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,23.95,28.74,26.82,0,0,401.37

22,05:15-05:30,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.43,0,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,23.95,28.74,26.82,0,0,401.37

23,05:30-05:45,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.43,0,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,23.95,28.74,26.82,0,0,401.37

24,05:45-06:00,0,20.12,8.62,1.37,0,0,23.95,23.95,0,0,0,47.9,0,47.9,0.43,0,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,23.95,28.74,26.82,0,0,401.37

25,06:00-06:15,0,20.12,8.62,1.37,0,0,25.87,25.87,0.29,0.19,0.19,47.9,0,47.9,0.38,325.72,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,43.11,28.74,26.82,0,0,750.7100000000002

26,06:15-06:30,0,20.12,8.62,1.37,0,0,25.87,25.87,0.29,0.19,0.19,47.9,0,47.9,0.38,325.72,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,43.11,28.74,26.82,0,0,750.7100000000002

27,06:30-06:45,0,20.12,8.62,1.37,0,0,33.53,33.53,0.29,0.19,0.19,47.9,0,47.9,0.38,325.72,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,43.11,28.74,26.82,0,0,766.0300000000001

28,06:45-07:00,0,20.12,8.62,1.37,0,0,33.53,33.53,0.29,0.19,0.19,47.9,0,47.9,0.38,325.72,0,8.71,0,0,0,0,0,16.29,47.9,0,17.24,0,19.16,38.32,43.11,28.74,26.82,0,0,766.0300000000001

29,07:00-07:15,0,20.12,14.37,1.37,0,0,36.4,36.4,0.29,0.19,0.19,47.9,50,47.9,0.86,124.54,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,643.9800000000001

30,07:15-07:30,0,20.12,14.37,1.37,0,0,36.4,36.4,0.38,0.29,0.19,47.9,50,47.9,0.86,124.54,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,644.1700000000002

31,07:30-07:45,0,20.12,14.37,1.37,0,0,36.4,36.4,0.38,0.38,0.19,47.9,50,47.9,0.86,124.54,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,644.2600000000001

32,07:45-08:00,0,20.12,14.37,1.37,0,0,36.4,36.4,0.48,0.48,0.19,47.9,50,47.9,0.86,124.54,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,644.4600000000002

33,08:00-08:15,0,20.12,14.37,1.37,0,0,36.4,36.4,0.48,0.48,0.19,47.9,50,47.9,0.86,0,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,519.9200000000001

34,08:15-08:30,0,20.12,14.37,1.37,0,0,36.4,36.4,0.48,0.48,0.19,47.9,50,47.9,0.86,0,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,519.9200000000001

35,08:30-08:45,0,20.12,14.37,1.37,0,0,36.4,36.4,0.48,0.48,0.29,47.9,50,47.9,0.86,0,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,520.0200000000001

36,08:45-09:00,0,20.12,14.37,1.37,0,0,36.4,36.4,0.57,0.48,0.29,47.9,50,47.9,0.86,0,0,14.37,0,0,0,0,0,16.29,47.9,0,28.74,0,19.16,38.32,43.11,28.74,26.82,0,0,520.1100000000001

37,09:00-09:15,0,20.12,14.37,1.37,0,0,36.4,36.4,0.57,0.48,0.29,47.9,0,47.9,0.86,0,3.83,0,14.37,0,0,28.74,0,16.29,47.9,0,0,4.79,19.16,0,43.11,28.74,26.82,17.53,14.85,472.7900000000001

38,09:15-09:30,0,20.12,14.37,1.37,0,0,36.4,36.4,0.57,0.48,0.29,47.9,0,47.9,0.86,0,3.83,0,14.37,0,0,28.74,0,16.29,47.9,0,0,4.79,19.16,0,43.11,28.74,26.82,23.66,17.91,481.98000000000013

39,09:30-09:45,0,20.12,14.37,1.37,0,0,36.4,36.4,0.57,0.38,0.29,47.9,0,47.9,0.86,0,3.83,0,14.37,0,0,28.74,0,16.29,47.9,0,0,4.79,19.16,0,43.11,28.74,26.82,14.08,20.69,475.08000000000004

40,09:45-10:00,0,20.12,14.37,1.37,0,0,36.4,36.4,0.57,0.38,0.19,47.9,0,47.9,0.86,0,3.83,0,14.37,0,0,28.74,0,16.29,47.9,0,0,4.79,19.16,0,43.11,28.74,26.82,9.68,25.96,475.8500000000001

