Column1,Time,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/26/2729,GNA/NR/2024/09/26/3248,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/26/2129,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,0,0,40,36.67,33.21,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5,0,96.77,24.19,1.35,2.42,9.61,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,93.29,0,36.67,11.66,0,0,13.34

2,00:15-00:30,0,0,40,37.33,32.61,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5,0,96.77,24.19,1.35,2.42,9.61,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,93.29,0,37.33,11.34,0,0,13.34

3,00:30-00:45,0,0,40,38,32.41,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,13.95,2.42,9.61,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,93.29,0,38,11,0,0,13.34

4,00:45-01:00,0,0,40,38.33,32.21,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,13.95,2.42,9.61,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,93.29,0,38.33,11,0,0,13.34

5,01:00-01:15,0,0,40,38.67,25.81,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,13.95,2.42,9.51,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,70.54,0,38.67,14.34,0,0,13.34

6,01:15-01:30,0,0,40,39.33,25.61,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,13.95,2.42,9.51,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,32,273.62,6.62,262.73,7.96,70.54,0,39.33,14.34,0,0,13.34

7,01:30-01:45,0,0,40,40,22.01,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,22.97,2.42,9.51,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,22.97,273.62,6.62,262.73,7.96,70.54,0,40,14.34,0,0,13.34

8,01:45-02:00,0,0,40,40.67,21.61,0,0,0,0,13.33,0,0,0,87.29,0,100.81,31.3,5.62,0,96.77,24.19,22.97,2.42,9.51,21.77,163.3,0,193.54,32.9,17.5,0,0,0,0,22.97,273.62,6.62,262.73,7.96,70.54,0,40.67,14.34,0,0,13.34

9,02:00-02:15,0,0,47.5,41.33,21.41,0,0,0,0,15.83,0,0,0,87.29,0,100.81,31.3,4.62,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,17.5,0,0,0,0,22.97,273.62,6.23,262.73,7.96,70.54,0,41.33,14.66,0,0,15.84

10,02:15-02:30,0,0,47.5,41.67,21.21,0,0,0,0,15.83,0,0,0,87.29,0,100.81,31.3,4.62,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,17.5,0,0,0,0,22.97,273.62,6.23,262.73,7.96,70.54,0,41.67,14.66,0,0,15.84

11,02:30-02:45,0,0,37.5,33.33,21.01,0,0,0,0,12.5,0,0,0,87.29,0,100.81,31.3,4.62,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,17.5,0,0,0,0,22.97,273.62,6.23,262.73,7.96,70.54,0,33.33,11.66,0,0,12.5

12,02:45-03:00,0,0,37.5,34,20.81,0,0,0,0,12.5,0,0,0,87.29,0,100.81,31.3,4.62,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,17.5,0,0,0,0,22.97,273.62,6.23,262.73,7.96,70.54,0,34,11.66,0,0,12.5

13,03:00-03:15,0,0,37.5,26.67,20.41,0,0,0,0,12.5,0,0,0,87.29,0,100.81,31.3,5.47,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.23,206.65,6.41,70.54,0,26.67,11.66,0,0,12.5

14,03:15-03:30,0,0,37.5,26.67,20.01,0,0,0,0,12.5,0,0,0,87.29,0,100.81,31.3,5.47,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.23,206.65,6.41,70.54,0,26.67,11.66,0,0,12.5

15,03:30-03:45,0,0,37.5,26.67,19.61,0,0,0,0,12.5,0,0,0,57.77,0,100.81,31.3,5.47,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.23,171.9,7.96,70.54,0,26.67,11.66,0,0,12.5

16,03:45-04:00,0,0,38,26.67,19.21,0,0,0,0,12.67,0,0,0,57.77,0,100.81,31.3,5.47,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.23,171.9,7.96,70.54,0,26.67,11.66,0,0,12.66

17,04:00-04:15,0,0,50,38.33,13.01,0,0,0,0,16.67,0,0,0,57.77,0,100.81,31.3,5,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.07,171.9,7.96,70.54,0,38.33,16.66,0,0,16.66

18,04:15-04:30,0,0,49.5,38.67,12.81,0,0,0,0,16.5,0,0,0,57.77,0,100.81,31.3,5,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.07,171.9,7.96,70.54,0,38.67,16.34,0,0,16.5

19,04:30-04:45,0,0,49,45,15.01,0,0,0,0,16.33,0,0,0,57.77,0,100.81,31.3,5,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,17.5,0,0,0,0,22.97,273.62,6.07,171.9,7.96,70.54,0,45,16,0,0,16.34

