Block,Time,TEHRI,DADRI_RF,ANTA_RF,RIHAND3,AURY_GF,SINGRAULI,UNCHAHAR2,KISHANGANGA,UNCHAHAR3,AURY_CRF,KOLDAM,TANDA2,SINGRAULI_HYDRO,NJPC,NAPP,KOTESHWR,CHAMERA2,TALA,BRBCL,DADRI_LF,KUDGI,UNCHAHAR1,DULHASTI,KHSTPP-I,URI2,AURY_RF,TANAKPUR,KHSTPP-II,FSTPP I & II,SASAN,DADRT2,DADRI_CRF,CHAMERA3,PARBATI3,UNCHAHAR4,CHAMERA1,RIHAND2,SALAL,DHAULIGNGA,ANTA_CRF,SEWA2,RIHAND1,RAPPC,ANTA_LF,RAPPB,BSIUL,JHAJJAR,AURY_LF,ANTA_GF,DADRI_GF,RAMPUR,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,19.290030,0.000000,56.91,0.000000,15.893853,17.829651,23.872995,0.000000,11.499027,75.394290,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,76.558364,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,47.916360,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,19.290037,0.000000,56.59,0.000000,15.893853,17.829651,23.872995,0.000000,11.499027,75.394290,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,12.328239,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,47.916360,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,19.290037,0.000000,54.01,0.000000,15.893853,17.829651,23.872995,0.000000,11.499027,35.686500,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,2.241498,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,6.388848,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,17.043062,0.000000,53.05,0.000000,15.893853,17.829651,23.872995,0.000000,11.499027,35.686500,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,2.241498,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,6.388848,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,16.813836,0.000000,53.05,0.000000,15.893853,11.574000,23.872995,0.000000,4.324336,35.686500,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,2.241498,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,6.388848,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,119.275495,0.000000,132.015938,8.680500,0.000000,0.000000,0.000000,0.000000,0.000000,0.553527,0.000000,0.000000,8.558973,0.000000,0.000000,16.911255,0.000000,53.05,0.000000,15.893853,11.574000,23.872995,0.000000,4.324336,35.686500,2.893500,403.903665,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,113.931562,2.241498,0.000000,0.000000,0.000000,88.734000,49.937180,0.000000,0.000000,0.000000,114.775500,0.000000,0.000000,0.000000,0.000000,6.388848,0,0,0,0,0

