Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-234.00,-46.00,9.60,-70.00,0.00,-27.80,-125.00
00:15 - 00:30,-238.00,-64.00,9.30,-75.00,0.00,-27.80,-125.00
00:30 - 00:45,-181.00,0.00,12.81,-75.00,0.00,0.00,-55.00
00:45 - 01:00,-180.00,-19.00,12.52,-73.00,0.00,0.00,-55.00
01:00 - 01:15,0.00,0.00,12.23,-78.00,0.00,0.00,-15.00
01:15 - 01:30,0.00,0.00,12.04,-79.00,0.00,0.00,-10.00
01:30 - 01:45,50.07,30.82,11.84,-77.00,0.00,0.00,24.08
01:45 - 02:00,50.08,26.00,11.56,-78.00,0.00,0.00,23.11
02:00 - 02:15,110.73,69.34,11.27,-84.00,0.00,0.00,40.45
02:15 - 02:30,132.90,64.52,11.07,-85.00,0.00,0.00,45.26
02:30 - 02:45,28.89,86.67,10.88,-85.00,0.00,0.00,61.63
02:45 - 03:00,23.11,122.31,10.59,-86.00,0.00,0.00,52.00
03:00 - 03:15,47.19,106.89,10.11,-85.00,0.00,0.00,43.34
03:15 - 03:30,32.74,169.49,9.63,-86.00,0.00,0.00,42.37
03:30 - 03:45,38.52,122.30,9.34,-88.00,0.00,0.00,12.52
03:45 - 04:00,58.74,129.04,9.34,-87.00,0.00,0.00,43.34
04:00 - 04:15,24.08,87.63,9.34,-93.00,0.00,0.00,34.67
04:15 - 04:30,12.52,108.82,9.34,-91.00,0.00,0.00,32.74
04:30 - 04:45,65.48,47.19,9.34,-91.00,0.00,0.00,27.93
04:45 - 05:00,27.93,51.04,9.63,-92.00,0.00,0.00,20.22
05:00 - 05:15,-125.00,-89.00,9.92,-94.00,0.00,0.00,11.55
05:15 - 05:30,-93.00,-69.00,10.30,-94.00,0.00,0.00,17.34
