Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,157.37,86.90,1.06,-1.80,7.34,0.00,0.29,12.55
00:15 - 00:30,158.34,86.90,1.06,-1.80,7.34,0.00,0.29,12.55
00:30 - 00:45,210.49,79.17,1.06,-1.80,7.14,0.00,0.29,27.03
00:45 - 01:00,160.28,63.72,1.06,-1.80,6.86,0.00,0.29,27.03
01:00 - 01:15,158.34,125.52,1.06,-1.80,6.57,0.00,0.29,16.41
01:15 - 01:30,124.55,113.93,1.06,-1.80,6.37,0.00,0.29,15.45
01:30 - 01:45,43.45,105.24,1.06,-1.80,6.37,0.00,0.29,12.55
01:45 - 02:00,84.00,108.14,1.06,-1.80,6.47,0.00,0.29,14.48
02:00 - 02:15,65.65,0.00,1.06,-1.80,6.57,0.00,0.29,12.55
02:15 - 02:30,66.61,0.00,1.06,-1.80,6.57,0.00,0.29,13.52
02:30 - 02:45,53.10,0.00,1.06,-1.80,6.57,0.00,0.29,4.83
02:45 - 03:00,49.24,0.00,1.06,-1.80,6.37,0.00,0.29,-2.00
03:00 - 03:15,49.24,0.00,1.06,-1.80,6.37,0.00,0.29,62.76
03:15 - 03:30,53.10,0.00,1.06,-1.80,6.37,0.00,0.29,54.07
03:30 - 03:45,40.56,-10.00,1.06,-1.80,6.37,0.00,0.29,-17.00
03:45 - 04:00,32.83,-10.00,1.06,-1.80,6.47,0.00,0.29,-23.00
04:00 - 04:15,46.34,-10.00,1.06,-1.80,6.47,0.00,0.29,-14.00
04:15 - 04:30,51.17,-13.00,1.06,-1.80,6.57,0.00,0.29,-21.00
04:30 - 04:45,51.17,0.00,1.06,-1.80,6.95,0.00,0.29,-25.00
04:45 - 05:00,44.42,0.00,1.06,-1.80,7.43,0.00,0.29,-30.00
05:00 - 05:15,107.18,-10.00,1.06,-1.80,8.30,0.00,0.29,-10.00
05:15 - 05:30,112.96,-10.00,1.06,-1.80,8.79,0.00,0.29,-9.00
05:30 - 05:45,106.21,0.00,1.06,-1.80,9.66,0.00,0.29,35.72
05:45 - 06:00,107.17,0.00,1.06,-1.80,10.62,0.00,0.29,28.97
06:00 - 06:15,37.66,-7.00,1.06,-1.80,11.10,0.00,0.29,-10.00
06:15 - 06:30,29.93,-3.00,1.06,-1.80,11.20,0.00,0.00,24.14
06:30 - 06:45,0.00,-15.00,1.06,-1.80,11.59,0.00,0.00,14.48
06:45 - 07:00,20.28,-17.00,1.06,-1.80,11.68,0.00,0.00,-1.00
07:00 - 07:15,0.00,-11.00,1.06,-1.80,12.17,0.00,0.00,-40.00
07:15 - 07:30,0.00,-11.00,1.06,-1.80,12.65,0.00,0.00,-30.00
07:30 - 07:45,59.86,-17.00,1.06,-1.80,12.07,0.00,0.29,-70.00
07:45 - 08:00,22.21,-21.00,1.06,-1.80,11.39,0.00,0.29,-90.00
08:00 - 08:15,20.27,-35.00,1.06,-1.80,10.72,0.00,0.29,-82.00
08:15 - 08:30,39.59,-35.00,1.06,-1.80,10.23,0.00,0.29,-85.00
08:30 - 08:45,39.59,0.00,1.06,-1.80,9.85,0.00,0.29,-73.00
08:45 - 09:00,60.83,0.00,1.06,-1.80,9.46,0.00,0.29,-50.00
09:00 - 09:15,83.03,0.00,1.06,-6.30,9.56,0.00,0.29,38.62
09:15 - 09:30,56.96,-30.00,1.06,-6.30,9.66,0.00,0.29,48.28
09:30 - 09:45,53.10,0.00,1.06,-6.30,9.37,0.00,0.29,56.00
09:45 - 10:00,65.65,9.66,1.06,-6.30,9.85,0.00,0.29,61.79
10:00 - 10:15,43.45,-7.00,1.06,-6.30,10.91,0.00,0.29,62.76
10:15 - 10:30,54.07,-7.00,1.06,-6.30,11.30,0.00,0.29,67.58
10:30 - 10:45,36.69,0.00,1.06,-6.30,10.72,0.00,0.29,48.27
10:45 - 11:00,28.97,0.00,1.06,-6.30,10.81,0.00,0.29,51.17
11:00 - 11:15,64.69,39.59,1.06,-6.30,10.81,0.00,0.29,19.31
11:15 - 11:30,59.86,38.62,1.06,-6.30,11.30,0.00,0.29,19.31
11:30 - 11:45,72.42,37.65,1.06,-6.30,12.55,0.00,0.29,14.48
11:45 - 12:00,102.35,40.55,1.06,-6.30,11.39,0.00,0.29,14.48
12:00 - 12:15,111.99,0.00,1.06,-6.30,12.07,0.00,0.29,9.66
12:15 - 12:30,117.79,0.00,1.06,-6.30,12.94,0.00,0.29,9.66
12:30 - 12:45,106.21,23.17,1.06,-6.30,10.43,0.00,0.29,0.00
12:45 - 13:00,110.07,26.07,1.06,-6.30,10.52,0.00,0.29,0.00
13:00 - 13:15,126.48,62.76,1.06,-6.30,11.30,0.00,0.29,0.00
13:15 - 13:30,103.30,67.59,1.06,-6.30,11.01,0.00,0.29,0.00
13:30 - 13:45,113.94,33.79,1.06,-6.30,10.81,0.00,0.29,16.41
13:45 - 14:00,105.24,38.62,1.06,-6.30,9.85,0.00,0.29,16.41
14:00 - 14:15,98.48,13.52,1.06,-6.30,9.17,0.00,0.29,49.24
14:15 - 14:30,84.97,10.62,1.06,-6.30,9.46,0.00,0.29,52.14
14:30 - 14:45,107.18,0.00,1.06,-6.30,9.75,0.00,0.29,53.10
14:45 - 15:00,113.93,0.00,1.06,-6.30,9.94,0.00,0.29,54.07
15:00 - 15:15,168.00,-38.00,1.06,-6.30,9.66,0.00,0.29,93.65
15:15 - 15:30,169.93,-28.00,1.06,-6.30,10.62,0.00,0.29,90.76
15:30 - 15:45,113.93,0.00,1.06,-6.30,10.62,0.00,0.29,83.03
15:45 - 16:00,111.03,0.00,1.06,-0.80,11.59,0.00,0.29,78.21
16:00 - 16:15,62.76,0.00,1.06,-0.80,13.23,0.00,0.29,93.65
16:15 - 16:30,50.21,0.00,1.06,-0.80,13.52,0.00,0.29,65.65
16:30 - 16:45,6.76,-35.00,1.06,-0.80,13.71,0.00,0.29,30.90
16:45 - 17:00,9.66,-18.00,1.06,-0.80,14.19,0.00,0.07,30.89
17:00 - 17:15,3.86,50.21,1.06,-0.80,14.48,0.00,0.00,0.00
17:15 - 17:30,50.11,39.36,0.98,-0.80,13.86,0.00,0.00,-25.00
17:30 - 17:45,61.66,59.09,0.51,-0.80,13.44,0.00,0.00,-50.00
17:45 - 18:00,38.43,50.75,0.43,-0.80,11.82,0.00,0.00,-50.00
18:00 - 18:15,20.33,18.68,0.33,-0.80,9.23,0.00,0.00,-55.00
18:15 - 18:30,8.89,4.23,0.25,-0.80,7.19,0.00,0.00,-65.00
18:30 - 18:45,233.70,69.10,0.29,-0.80,7.82,0.00,0.00,-20.00
18:45 - 19:00,386.94,63.36,0.29,-0.80,7.45,0.00,0.00,-20.00
19:00 - 19:15,62.13,188.62,0.44,-0.80,10.65,2.00,0.00,-50.00
19:15 - 19:30,52.14,221.10,0.58,-0.80,13.90,1.93,0.00,-70.00
19:30 - 19:45,33.79,84.97,0.58,-0.80,13.90,0.00,0.29,-90.00
19:45 - 20:00,42.48,90.76,0.58,-0.80,13.90,0.00,0.29,-80.00
20:00 - 20:15,72.41,130.35,1.06,-0.80,13.03,0.00,0.29,-90.00
20:15 - 20:30,86.90,138.06,1.06,-0.80,13.13,0.00,0.27,-70.00
20:30 - 20:45,51.17,130.34,1.06,-0.80,12.07,0.00,0.00,-60.00
20:45 - 21:00,70.48,140.97,1.06,-0.80,11.97,0.00,0.22,-20.00
21:00 - 21:15,121.65,162.20,1.06,-0.80,11.88,0.00,0.29,-40.00
21:15 - 21:30,107.17,148.69,1.06,-0.80,11.49,0.00,0.29,-45.00
21:30 - 21:45,116.83,148.68,1.06,-0.80,11.20,0.00,0.29,-30.00
21:45 - 22:00,124.55,158.34,1.06,-0.80,10.72,0.00,0.29,-20.00
22:00 - 22:15,196.96,168.00,1.06,-1.80,10.33,0.00,0.29,-10.00
22:15 - 22:30,197.93,163.17,1.06,-1.80,9.94,0.00,0.29,-10.00
22:30 - 22:45,189.24,167.03,1.06,-1.80,9.46,0.00,0.29,0.00
22:45 - 23:00,188.27,170.89,1.06,-1.80,8.79,0.00,0.29,-10.00
23:00 - 23:15,189.24,159.31,1.06,-1.80,8.30,0.00,0.29,-2.00
23:15 - 23:30,196.96,168.00,1.06,-1.80,8.01,0.00,0.29,-2.00
23:30 - 23:45,171.86,163.17,1.06,-1.80,7.72,0.00,0.29,0.00
23:45 - 24:00,146.76,155.44,1.06,-1.80,13.52,0.00,0.29,0.00
