Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,-11.00,8.18,0.00,-25.00
00:15 - 00:30,-39.00,0.00,7.22,0.00,-47.00
00:30 - 00:45,-15.00,10.58,7.22,0.00,-62.00
00:45 - 01:00,-42.00,6.73,7.22,0.00,-61.00
01:00 - 01:15,0.00,2.89,7.21,0.00,-48.00
01:15 - 01:30,-12.00,0.00,7.22,0.00,-49.00
01:30 - 01:45,-19.00,0.00,7.22,0.00,-45.00
01:45 - 02:00,-33.00,0.00,7.22,0.00,-46.00
02:00 - 02:15,-33.00,0.00,6.73,0.00,-59.00
02:15 - 02:30,-41.00,0.00,6.73,0.00,-55.00
02:30 - 02:45,-50.00,0.00,6.73,0.00,-15.00
02:45 - 03:00,-54.00,0.00,6.73,0.00,-19.00
03:00 - 03:15,-55.00,0.00,6.73,0.00,-4.00
03:15 - 03:30,-57.00,0.00,6.73,0.00,-3.00
03:30 - 03:45,-36.00,0.00,6.73,0.00,-11.00
03:45 - 04:00,-28.00,0.00,7.22,0.00,-11.00
04:00 - 04:15,0.00,0.00,7.22,0.00,-6.00
04:15 - 04:30,15.39,0.00,7.70,0.00,-5.00
04:30 - 04:45,-4.00,0.00,8.66,0.00,-16.00
04:45 - 05:00,15.39,0.00,9.62,0.00,-19.00
05:00 - 05:15,0.00,0.00,7.22,0.00,-50.00
05:15 - 05:30,28.86,0.00,7.60,0.00,-54.00
05:30 - 05:45,43.29,-10.00,0.00,0.00,-33.00
05:45 - 06:00,82.74,-18.00,1.92,0.00,-27.00
06:00 - 06:15,12.51,-20.00,4.81,0.00,10.58
06:15 - 06:30,52.91,-40.00,6.73,0.00,-8.00
06:30 - 06:45,0.00,-38.00,9.14,0.00,-4.00
06:45 - 07:00,-19.00,-50.00,9.91,0.00,-60.00
07:00 - 07:15,-78.00,-89.99,10.58,0.00,-59.00
07:15 - 07:30,-97.00,-90.00,11.54,0.00,-132.00
07:30 - 07:45,-101.00,-114.00,14.43,0.00,-139.00
07:45 - 08:00,-34.00,-101.00,15.97,0.00,-198.00
08:00 - 08:15,-122.00,-86.00,16.93,0.10,-159.00
08:15 - 08:30,-197.00,-89.00,16.93,0.00,-132.00
08:30 - 08:45,-151.00,-25.00,24.05,0.96,-110.00
08:45 - 09:00,-228.00,-7.00,24.05,2.41,-91.00
09:00 - 09:15,-183.00,0.00,19.05,2.31,-97.00
09:15 - 09:30,70.23,0.00,19.05,1.92,-45.00
09:30 - 09:45,36.55,0.00,18.28,0.00,-100.00
09:45 - 10:00,0.00,-20.00,18.28,0.00,-200.00
10:00 - 10:15,-102.00,0.00,17.12,0.00,-167.00
10:15 - 10:30,-49.00,0.00,16.93,0.00,-159.00
10:30 - 10:45,0.00,33.67,16.16,0.00,-164.00
10:45 - 11:00,74.07,28.86,14.43,0.00,-170.00
11:00 - 11:15,131.79,0.00,12.51,0.00,-181.00
11:15 - 11:30,131.80,0.00,11.06,0.00,-203.00
11:30 - 11:45,252.05,0.00,10.58,0.00,-174.00
11:45 - 12:00,288.60,0.00,8.66,0.00,-119.00
12:00 - 12:15,299.18,0.00,12.51,0.00,-46.00
12:15 - 12:30,303.03,0.00,14.43,0.00,-9.00
12:30 - 12:45,211.64,28.86,21.16,0.00,0.00
12:45 - 13:00,219.34,24.05,20.68,0.00,0.00
13:00 - 13:15,115.44,42.33,21.16,0.00,-37.00
13:15 - 13:30,57.72,32.71,20.20,0.00,-37.00
13:30 - 13:45,179.89,38.48,19.24,0.00,-9.00
13:45 - 14:00,201.06,28.86,18.76,0.00,-21.00
14:00 - 14:15,188.55,28.86,18.76,0.00,-38.00
14:15 - 14:30,172.20,33.67,18.28,0.00,-31.00
14:30 - 14:45,329.97,0.00,17.99,0.00,-32.00
14:45 - 15:00,329.00,-10.00,17.80,0.00,-37.00
15:00 - 15:15,319.38,0.00,18.76,0.00,13.47
15:15 - 15:30,329.01,0.00,18.76,0.00,11.54
15:30 - 15:45,347.28,0.00,18.76,0.00,145.26
15:45 - 16:00,352.09,0.00,18.76,0.00,71.19
16:00 - 16:15,304.96,43.29,20.68,0.00,-15.00
16:15 - 16:30,296.30,43.29,20.68,0.00,-30.00
16:30 - 16:45,270.32,50.02,16.55,0.00,-50.00
16:45 - 17:00,266.47,43.29,16.55,0.00,-50.00
17:00 - 17:15,208.76,42.33,15.39,1.92,-50.00
17:15 - 17:30,204.92,40.40,16.35,5.29,40.40
17:30 - 17:45,259.73,28.86,17.32,5.87,26.94
17:45 - 18:00,253.01,28.86,18.28,3.46,19.24
18:00 - 18:15,170.27,70.23,19.24,3.08,6.73
18:15 - 18:30,229.92,80.81,20.20,4.23,1.92
18:30 - 18:45,203.94,55.80,21.65,2.21,-58.00
18:45 - 19:00,176.04,49.06,22.13,1.25,-93.00
19:00 - 19:15,211.64,68.30,22.13,0.00,-61.00
19:15 - 19:30,253.96,75.04,22.13,0.00,-47.00
19:30 - 19:45,263.58,79.85,21.65,0.00,33.67
19:45 - 20:00,254.93,73.11,21.65,0.00,120.25
20:00 - 20:15,268.40,0.00,21.16,0.00,91.39
20:15 - 20:30,264.55,0.00,21.16,0.00,-5.00
20:30 - 20:45,203.94,0.00,19.24,0.00,19.24
20:45 - 21:00,197.21,0.00,18.28,0.00,14.43
21:00 - 21:15,139.49,0.00,17.32,0.00,14.43
21:15 - 21:30,90.42,0.00,17.32,0.00,14.43
21:30 - 21:45,64.46,0.00,15.39,0.00,24.05
21:45 - 22:00,54.83,0.00,14.43,0.00,24.05
22:00 - 22:15,25.98,0.00,15.39,0.00,0.00
22:15 - 22:30,15.39,0.00,15.39,0.00,19.24
22:30 - 22:45,0.00,8.66,13.47,0.00,28.86
