Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,26.56,1.95,-0.50,2.09,-40.00,0.00,-23.60,0.65
00:15 - 00:30,33.49,0.00,-0.50,2.48,-40.00,0.00,-23.60,-10.00
00:30 - 00:45,120.77,-15.00,-0.50,3.81,-40.00,0.00,-23.60,-5.00
00:45 - 01:00,110.54,-38.00,-0.50,8.28,-40.00,0.00,-23.60,-10.00
01:00 - 01:15,-80.00,-80.00,-0.10,15.46,-45.00,0.00,0.00,-95.00
01:15 - 01:30,-87.00,-88.00,-0.10,15.46,-45.00,0.00,0.00,-100.00
01:30 - 01:45,-129.00,-66.00,-0.10,15.46,-59.00,0.00,0.00,-140.00
01:45 - 02:00,-137.00,-70.00,-0.10,15.46,-59.00,0.00,0.00,-170.00
02:00 - 02:15,-97.00,5.80,-0.10,15.45,-59.00,0.00,0.00,-25.00
02:15 - 02:30,-55.00,-5.00,-0.10,14.49,-58.00,0.00,0.00,-29.00
02:30 - 02:45,-37.00,-18.00,-0.10,14.49,-57.00,0.00,0.00,-25.00
02:45 - 03:00,0.00,-37.00,-0.10,14.49,-58.00,0.00,0.00,-20.00
03:00 - 03:15,-3.00,63.76,-0.10,14.49,-75.00,0.00,0.00,-35.00
03:15 - 03:30,-5.00,35.75,-0.10,14.49,-76.00,0.00,0.00,-38.00
03:30 - 03:45,0.00,8.69,-0.10,14.50,-76.00,0.00,0.00,-65.00
03:45 - 04:00,-9.00,-9.00,-0.10,14.49,-76.00,0.00,0.00,-90.00
04:00 - 04:15,44.44,29.95,-0.10,14.49,-76.00,0.00,0.00,-25.00
04:15 - 04:30,30.92,31.88,-0.10,14.49,-75.00,0.00,0.00,-35.00
04:30 - 04:45,22.22,34.78,-0.10,13.53,-75.00,0.00,0.00,-50.00
04:45 - 05:00,16.42,34.78,-0.10,13.53,-77.00,0.00,0.00,-70.00
05:00 - 05:15,96.61,21.25,-0.10,13.53,-77.00,0.00,0.00,-70.00
05:15 - 05:30,122.69,21.25,-0.10,13.53,-76.00,0.00,0.00,-57.00
05:30 - 05:45,116.90,62.80,-0.10,11.59,-76.00,0.00,0.00,-28.00
05:45 - 06:00,121.73,59.90,-0.10,11.59,-78.00,0.00,0.00,-25.00
06:00 - 06:15,104.34,63.76,-0.10,11.59,-77.00,0.00,0.00,-11.00
06:15 - 06:30,65.69,67.63,-0.10,11.59,-73.00,0.00,0.00,2.90
06:30 - 06:45,45.41,100.47,-0.10,12.56,-74.00,0.00,0.00,38.64
06:45 - 07:00,33.81,103.37,-0.10,12.56,-73.00,0.00,0.00,48.31
07:00 - 07:15,0.00,95.64,-0.10,13.53,-63.00,0.00,0.00,64.73
07:15 - 07:30,0.00,79.22,-0.10,13.53,-65.00,0.00,0.00,71.49
07:30 - 07:45,12.56,43.47,-0.10,15.46,-57.00,0.00,0.00,67.63
07:45 - 08:00,36.71,19.32,-0.10,15.46,-58.00,0.00,0.00,67.63
08:00 - 08:15,79.23,38.64,-0.10,7.73,-56.00,0.00,0.00,43.47
08:15 - 08:30,96.62,33.81,-0.10,8.69,-58.00,0.00,0.00,43.47
08:30 - 08:45,59.90,-13.00,-0.10,9.66,-57.00,0.00,0.00,43.47
08:45 - 09:00,63.77,-15.00,-0.10,10.14,-41.00,0.00,0.00,43.47
09:00 - 09:15,78.26,-23.00,-0.10,7.73,-58.00,0.00,0.00,43.47
09:15 - 09:30,97.58,-23.00,-0.10,7.73,-56.00,0.00,0.00,43.47
09:30 - 09:45,142.01,-95.00,-0.10,10.63,-42.00,0.00,0.00,53.14
09:45 - 10:00,152.64,-97.00,-0.10,10.63,-39.00,0.00,0.00,53.14
10:00 - 10:15,116.89,-70.00,-0.10,12.56,-39.00,0.00,0.00,53.14
10:15 - 10:30,85.01,-55.00,-0.10,12.56,-33.00,0.00,0.00,48.31
10:30 - 10:45,56.99,-22.00,-0.10,13.53,-30.00,0.00,0.00,48.31
10:45 - 11:00,52.17,-12.00,-0.10,13.53,-28.00,0.00,0.00,43.47
11:00 - 11:15,0.00,-12.00,-0.10,13.53,-32.00,0.00,0.00,36.71
11:15 - 11:30,0.00,-10.00,-0.10,13.53,-28.00,0.00,0.00,34.78
11:30 - 11:45,-49.00,0.00,-0.10,14.49,-25.00,0.00,0.00,19.32
11:45 - 12:00,-47.00,9.66,-0.10,14.49,-25.00,0.00,0.00,19.32
12:00 - 12:15,29.95,19.32,-0.10,10.63,-25.00,0.00,0.00,19.32
12:15 - 12:30,56.99,35.75,-0.10,10.63,-25.00,0.00,0.00,19.32
12:30 - 12:45,8.69,44.45,-0.10,10.63,-25.00,0.00,0.00,24.15
12:45 - 13:00,28.02,50.23,-0.10,10.63,-16.00,0.00,0.00,19.32
13:00 - 13:15,12.56,70.52,-0.10,10.63,-16.00,0.00,0.00,9.66
13:15 - 13:30,24.15,79.22,-0.10,10.63,-16.00,0.00,0.00,9.66
13:30 - 13:45,77.29,84.04,-0.10,10.63,-16.00,0.00,0.00,29.95
13:45 - 14:00,84.05,99.51,-0.10,10.63,-16.00,0.00,0.00,46.37
14:00 - 14:15,92.75,109.16,-0.10,13.53,-16.00,3.19,0.00,14.49
14:15 - 14:30,102.41,117.86,-0.10,13.53,-16.00,4.06,0.00,19.32
14:30 - 14:45,138.15,120.76,-0.10,13.53,-9.00,4.73,0.00,-15.00
14:45 - 15:00,136.22,123.66,-0.10,13.53,-8.00,0.77,0.00,-15.00
15:00 - 15:15,112.07,106.27,-0.10,16.42,-6.00,0.00,0.00,-35.00
15:15 - 15:30,221.24,115.93,-0.10,16.42,-5.00,0.00,0.00,-45.00
15:30 - 15:45,191.29,111.10,-0.10,16.42,-6.00,0.00,0.00,-22.00
15:45 - 16:00,190.32,77.29,-0.10,16.42,-9.00,0.00,0.00,22.22
16:00 - 16:15,168.10,70.53,-0.10,16.42,-15.00,0.00,0.00,-5.00
16:15 - 16:30,120.76,85.02,-0.10,14.49,-15.00,0.00,0.00,24.15
16:30 - 16:45,99.51,115.93,-0.10,13.53,-21.00,0.00,0.00,31.88
16:45 - 17:00,70.53,133.31,-0.10,13.53,-29.00,0.00,0.00,18.36
17:00 - 17:15,73.42,115.93,-0.10,19.32,-17.00,0.00,0.00,10.63
17:15 - 17:30,36.71,106.27,-0.10,18.36,-17.00,0.00,0.00,-5.00
17:30 - 17:45,0.00,101.44,-0.10,17.39,-17.00,0.00,0.00,-40.00
17:45 - 18:00,0.00,103.37,-0.10,17.39,-30.00,0.00,0.00,-51.17
18:00 - 18:15,-100.00,40.58,0.00,16.42,-29.00,0.00,0.00,-35.00
18:15 - 18:30,-68.00,73.42,0.00,15.46,-25.00,0.00,0.00,-60.00
18:30 - 18:45,-45.00,98.54,-0.10,15.46,-5.00,2.32,0.00,-130.00
18:45 - 19:00,-92.00,73.42,-0.10,14.49,-13.00,2.32,0.00,-120.00
19:00 - 19:15,0.00,0.00,-0.10,15.46,-6.00,2.32,0.00,-130.00
19:15 - 19:30,19.32,0.00,-0.10,15.46,-6.00,2.32,0.00,-130.00
19:30 - 19:45,23.19,12.56,-0.10,16.42,-6.00,2.32,0.00,-115.00
19:45 - 20:00,64.73,9.66,-0.10,16.42,-6.00,2.32,0.00,-26.00
20:00 - 20:15,-70.00,-18.00,-0.10,16.42,-6.00,2.32,0.00,-25.00
20:15 - 20:30,-53.00,-24.00,-0.10,16.42,-4.00,2.32,0.00,-25.00
20:30 - 20:45,-14.00,25.11,-0.10,15.46,-5.00,2.32,0.00,-8.00
20:45 - 21:00,-3.00,38.64,-0.10,15.46,-5.00,2.32,0.00,-11.00
21:00 - 21:15,-47.00,-77.00,-0.10,15.46,-8.00,2.32,0.00,-9.00
21:15 - 21:30,0.00,-61.00,-0.10,15.46,-8.00,2.32,0.00,22.22
21:30 - 21:45,-170.00,-103.00,-0.10,14.49,-8.00,2.32,0.00,-6.00
21:45 - 22:00,-182.00,-84.00,-0.10,14.49,-8.00,2.32,0.00,-13.00
22:00 - 22:15,-229.00,-135.00,-0.10,14.49,-8.00,2.32,0.00,-85.00
22:15 - 22:30,-265.00,-118.00,-0.10,14.49,-7.00,2.32,0.00,-70.00
22:30 - 22:45,-228.00,-120.00,-0.10,14.49,-7.00,2.32,0.00,-158.00
22:45 - 23:00,-221.00,-87.00,-0.10,14.49,-9.00,2.32,0.00,-174.00
23:00 - 23:15,-145.00,-67.00,-0.10,14.49,-9.00,2.32,0.00,-45.00
23:15 - 23:30,-118.00,-53.00,-0.10,14.49,-9.00,2.32,0.00,-30.00
23:30 - 23:45,-118.00,-38.00,-0.10,14.49,-10.00,2.32,0.00,48.31
23:45 - 24:00,-126.00,-42.00,-0.10,14.49,-9.00,2.32,0.00,48.31
