Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,82.71,-35.00,-1.00,5.77,-14.00
00:15 - 00:30,94.25,-46.00,-1.00,5.29,-12.00
00:30 - 00:45,122.13,-51.00,-1.00,4.81,-14.00
00:45 - 01:00,119.25,-62.00,-1.00,4.81,-25.00
01:00 - 01:15,98.09,-3.00,-1.00,4.33,-26.00
01:15 - 01:30,82.70,0.00,-1.00,4.33,-36.00
01:30 - 01:45,38.46,4.81,-1.00,3.37,-39.00
01:45 - 02:00,57.70,9.62,-1.00,3.17,-46.00
02:00 - 02:15,75.97,8.66,-1.00,3.17,-90.00
02:15 - 02:30,70.20,9.62,-1.00,3.17,-93.00
02:30 - 02:45,65.39,4.81,-1.00,2.89,-105.00
02:45 - 03:00,61.55,0.00,-1.00,3.08,-109.00
03:00 - 03:15,61.55,0.00,-1.00,3.08,-105.00
03:15 - 03:30,62.51,0.00,-1.00,3.08,-105.00
03:30 - 03:45,71.16,-6.00,-1.00,3.08,-113.00
03:45 - 04:00,78.86,0.00,-1.00,3.27,-115.00
04:00 - 04:15,85.59,3.85,-1.00,3.56,-118.00
04:15 - 04:30,98.09,5.77,-1.00,4.14,-113.00
04:30 - 04:45,63.47,11.54,-1.00,4.14,-87.00
04:45 - 05:00,56.74,16.35,-1.00,4.81,-76.00
05:00 - 05:15,57.71,36.54,-1.00,3.17,-83.00
05:15 - 05:30,77.89,31.74,-1.00,3.85,-69.00
05:30 - 05:45,81.74,-7.00,-1.00,-3.00,-56.00
05:45 - 06:00,90.40,-14.00,-1.00,-1.00,-72.00
06:00 - 06:15,26.93,-15.00,-1.00,0.00,-70.00
06:15 - 06:30,33.66,-39.00,-1.00,1.92,-85.00
06:30 - 06:45,19.24,-29.00,-1.00,1.92,-115.00
06:45 - 07:00,41.36,-23.00,-1.00,1.92,-100.00
07:00 - 07:15,-6.00,23.08,-1.00,1.92,-28.00
07:15 - 07:30,-15.00,22.12,-1.00,1.92,-23.00
07:30 - 07:45,-15.00,12.50,-1.00,0.96,-60.00
07:45 - 08:00,-10.00,18.28,-1.00,1.92,-5.00
08:00 - 08:15,85.59,6.73,-1.00,0.00,-113.00
08:15 - 08:30,101.94,6.73,-1.00,0.00,-2.00
08:30 - 08:45,137.52,16.35,-1.00,12.02,-7.00
08:45 - 09:00,128.86,25.97,-1.00,12.02,-1.00
09:00 - 09:15,146.17,-28.00,-0.30,8.66,11.54
09:15 - 09:30,157.71,-25.00,-0.30,8.66,26.93
09:30 - 09:45,151.94,-16.00,-0.30,9.62,44.24
09:45 - 10:00,145.21,-20.00,-0.30,9.62,27.89
10:00 - 10:15,171.18,-30.00,-0.30,6.73,20.20
10:15 - 10:30,172.14,-25.00,-0.30,4.81,59.63
10:30 - 10:45,178.86,-40.00,-0.30,3.85,84.63
10:45 - 11:00,168.30,-40.00,-0.30,3.85,81.74
11:00 - 11:15,52.89,30.77,-0.30,3.85,72.13
11:15 - 11:30,35.58,26.93,-0.30,3.85,70.20
11:30 - 11:45,79.82,57.70,-0.30,2.89,70.20
11:45 - 12:00,85.58,48.09,-0.30,2.89,69.24
12:00 - 12:15,146.18,25.00,0.00,6.06,75.01
12:15 - 12:30,162.53,22.12,-0.30,5.77,74.05
12:30 - 12:45,215.42,5.77,-0.30,6.92,60.59
12:45 - 13:00,232.73,14.43,-0.30,6.54,56.74
13:00 - 13:15,233.69,0.00,-0.30,7.02,14.43
13:15 - 13:30,225.04,0.00,-0.30,6.92,31.74
13:30 - 13:45,281.78,0.00,-0.30,6.83,28.85
13:45 - 14:00,242.35,0.00,-0.30,6.73,28.85
14:00 - 14:15,185.61,9.62,-0.30,6.73,39.43
14:15 - 14:30,141.37,9.62,-0.30,6.73,37.51
14:30 - 14:45,73.09,-14.00,-0.30,6.73,24.04
14:45 - 15:00,61.55,-14.00,-0.30,6.73,27.89
15:00 - 15:15,25.01,0.00,-0.30,6.73,24.04
15:15 - 15:30,-63.00,0.00,-0.30,6.73,23.08
15:30 - 15:45,-79.00,-5.00,-0.30,6.73,15.39
15:45 - 16:00,-91.00,-10.00,-0.30,7.69,81.75
16:00 - 16:15,-90.00,-15.00,-0.30,9.81,67.32
