Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-93.00,-10.00,-2.20,7.69,0.00,-20.00
00:15 - 00:30,-71.00,-10.00,-2.20,7.41,0.00,-20.00
00:30 - 00:45,-56.00,-10.00,-2.20,7.21,0.00,-35.00
00:45 - 01:00,-57.00,0.00,-2.20,7.02,0.00,-30.00
01:00 - 01:15,0.00,0.00,-2.20,6.73,0.00,-35.00
01:15 - 01:30,0.00,0.00,-2.20,6.64,0.00,-30.00
01:30 - 01:45,29.82,0.00,-2.20,6.44,0.00,-40.00
01:45 - 02:00,36.54,0.00,-2.20,6.35,0.00,-35.00
02:00 - 02:15,40.39,0.00,-2.20,6.25,0.00,-25.00
02:15 - 02:30,41.36,0.00,-2.20,6.15,0.00,-25.00
02:30 - 02:45,0.00,-20.00,-2.20,6.06,0.00,-30.00
02:45 - 03:00,0.00,-20.00,-2.20,6.06,0.00,-30.00
03:00 - 03:15,0.00,0.00,-2.20,5.10,0.00,-35.00
03:15 - 03:30,0.00,0.00,-2.20,5.10,0.00,-35.00
03:30 - 03:45,9.61,0.00,-2.20,5.10,0.00,-40.00
03:45 - 04:00,20.20,0.00,-2.20,5.77,0.00,-40.00
04:00 - 04:15,-47.00,0.00,-2.20,6.73,0.00,-35.00
04:15 - 04:30,-74.00,0.00,-2.20,7.98,0.00,-35.00
04:30 - 04:45,-72.00,0.00,-2.20,8.66,0.00,-25.00
04:45 - 05:00,-53.00,0.00,-2.20,9.62,0.00,-20.00
05:00 - 05:15,0.00,-15.00,-2.20,6.73,0.00,-20.00
05:15 - 05:30,0.00,0.00,-2.20,8.94,0.00,9.62
05:30 - 05:45,8.65,-35.00,-2.20,2.12,0.00,-10.00
05:45 - 06:00,26.92,0.00,-2.20,5.10,0.00,-60.00
06:00 - 06:15,25.97,0.00,-2.20,7.69,0.00,-105.00
06:15 - 06:30,12.50,0.00,-2.20,10.10,0.00,0.00
06:30 - 06:45,9.62,4.81,-2.20,11.54,0.00,-165.00
06:45 - 07:00,22.12,9.62,-2.20,12.50,0.00,-155.00
