Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-78.00,-15.00,11.53,1.83,-117.00
00:15 - 00:30,-93.00,-10.00,11.53,0.38,-117.00
00:30 - 00:45,-68.00,0.00,11.53,0.00,-58.00
00:45 - 01:00,-54.00,0.00,10.57,0.00,-59.00
01:00 - 01:15,-63.00,0.00,10.57,0.00,-66.00
01:15 - 01:30,-61.00,0.00,10.57,0.00,-68.00
01:30 - 01:45,-68.00,-15.00,10.38,0.00,-51.00
01:45 - 02:00,-65.00,-15.00,9.90,0.00,-47.00
02:00 - 02:15,-87.00,-8.00,9.90,0.00,-46.00
02:15 - 02:30,-88.00,-5.00,9.90,0.00,-44.00
02:30 - 02:45,-99.00,-16.00,9.90,0.00,-46.00
02:45 - 03:00,-94.00,-15.00,9.80,0.00,-49.00
03:00 - 03:15,-85.00,-12.00,9.80,0.00,-50.00
03:15 - 03:30,-67.00,0.00,9.80,0.00,-50.00
03:30 - 03:45,-77.00,0.00,9.90,0.00,-50.00
03:45 - 04:00,-78.00,0.00,9.90,0.00,-52.00
04:00 - 04:15,-81.00,0.00,9.90,0.00,-56.00
04:15 - 04:30,-80.00,0.00,9.90,0.00,-56.00
04:30 - 04:45,-81.00,-11.00,9.90,0.00,-54.00
04:45 - 05:00,-107.00,-18.00,10.57,0.00,-55.00
05:00 - 05:15,-134.00,-19.00,4.80,0.00,-53.00
05:15 - 05:30,-127.00,-17.00,4.80,0.00,-59.00
05:30 - 05:45,-129.00,-9.00,4.80,0.00,-64.00
05:45 - 06:00,-124.00,-8.00,6.73,0.00,-75.00
06:00 - 06:15,-113.00,-15.00,7.69,0.00,-48.00
06:15 - 06:30,-76.00,-15.00,8.65,0.00,-83.00
06:30 - 06:45,6.73,0.00,9.60,3.94,-86.00
06:45 - 07:00,2.88,0.00,11.53,0.00,-200.00
07:00 - 07:15,0.00,9.61,11.53,0.00,-198.00
07:15 - 07:30,0.00,0.00,13.36,0.00,54.76
07:30 - 07:45,3.84,-17.00,15.38,0.00,-27.00
07:45 - 08:00,13.45,-15.00,15.37,0.00,-44.00
08:00 - 08:15,27.87,-20.00,16.33,0.00,-51.00
08:15 - 08:30,41.32,4.80,17.29,0.00,-290.00
08:30 - 08:45,24.98,4.80,19.22,1.44,-68.00
08:45 - 09:00,24.02,4.80,19.22,0.67,-73.00
09:00 - 09:15,3.84,17.30,15.37,0.00,-105.00
09:15 - 09:30,36.52,29.78,15.37,0.00,-104.00
09:30 - 09:45,22.10,47.08,15.37,0.00,-83.00
09:45 - 10:00,52.84,31.71,15.37,0.00,-76.00
10:00 - 10:15,87.44,29.78,14.41,0.00,-49.00
10:15 - 10:30,94.16,31.71,14.41,0.00,34.59
10:30 - 10:45,104.73,30.75,14.41,0.00,88.39
10:45 - 11:00,106.65,44.20,14.41,0.00,-102.00
11:00 - 11:15,109.53,68.22,10.09,0.00,49.00
11:15 - 11:30,114.34,88.39,8.65,0.00,60.53
11:30 - 11:45,160.46,122.02,12.49,0.00,36.51
11:45 - 12:00,137.40,119.14,11.53,0.00,17.29
12:00 - 12:15,126.83,125.86,11.53,0.00,-58.00
12:15 - 12:30,100.88,112.41,10.57,0.00,-72.00
12:30 - 12:45,60.53,112.41,9.61,0.00,-72.00
12:45 - 13:00,46.12,80.70,9.61,0.00,-76.00
13:00 - 13:15,21.14,53.80,10.09,0.00,-62.00
13:15 - 13:30,12.49,32.67,9.61,0.00,-82.00
13:30 - 13:45,-11.00,11.53,9.61,0.00,-42.00
13:45 - 14:00,-16.00,5.76,9.13,0.00,-39.00
14:00 - 14:15,-25.00,0.00,9.61,0.00,-50.00
14:15 - 14:30,-53.00,0.00,9.13,0.00,-60.00
14:30 - 14:45,-10.00,0.00,8.65,0.00,-80.00
14:45 - 15:00,-12.00,0.00,8.17,0.00,-40.00
15:00 - 15:15,49.96,40.35,7.69,0.00,-26.00
15:15 - 15:30,60.53,36.51,7.69,0.00,-89.00
15:30 - 15:45,70.14,4.80,7.69,0.00,-122.00
15:45 - 16:00,26.90,0.00,7.88,0.00,-123.00
16:00 - 16:15,24.02,9.61,1.92,0.00,-98.00
16:15 - 16:30,36.52,5.76,2.88,0.00,-94.00
16:30 - 16:45,56.69,0.00,3.84,0.00,-45.00
16:45 - 17:00,33.63,-37.00,4.80,0.00,95.12
17:00 - 17:15,-5.00,-30.00,6.73,0.00,0.00
17:15 - 17:30,-6.00,-20.00,8.46,0.00,-19.00
17:30 - 17:45,18.26,-13.00,9.51,0.00,-32.00
17:45 - 18:00,-10.00,-25.00,10.09,0.00,-29.00
18:00 - 18:15,-52.00,0.00,11.53,0.00,-101.00
18:15 - 18:30,-16.00,0.00,12.49,4.52,-97.00
18:30 - 18:45,16.34,-32.00,14.89,0.00,-64.00
18:45 - 19:00,28.83,-43.00,15.85,1.92,-60.00
19:00 - 19:15,0.00,-30.00,16.33,0.00,99.93
19:15 - 19:30,9.61,-23.00,16.33,0.00,101.85
19:30 - 19:45,9.61,-11.00,16.33,0.00,91.28
