Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,57.99,-35.00,0.00,-1.50,8.70,-31.00,1.93,0.00,28.99
00:15 - 00:30,-13.00,-28.00,0.00,-1.50,8.70,-34.00,1.45,0.29,14.49
00:30 - 00:45,61.84,0.00,0.00,-1.50,8.70,-38.00,0.58,0.29,38.66
00:45 - 01:00,43.49,0.00,0.00,-1.50,8.70,-41.00,0.10,0.29,33.82
01:00 - 01:15,0.00,0.00,0.00,-1.50,8.70,-39.00,0.00,0.29,32.86
01:15 - 01:30,0.00,0.00,0.00,-1.50,8.31,-41.00,0.00,0.29,32.86
01:30 - 01:45,0.00,0.00,0.00,-1.50,8.21,-42.00,0.00,0.29,40.59
01:45 - 02:00,0.00,0.00,0.00,-1.50,8.12,-44.00,0.00,0.29,27.06
02:00 - 02:15,27.06,24.16,0.00,-1.50,7.92,-44.00,0.00,0.29,2.90
02:15 - 02:30,13.53,53.15,0.00,-1.50,7.73,-43.00,0.00,0.29,10.63
02:30 - 02:45,25.14,24.16,0.00,-1.50,7.63,-43.00,0.00,0.29,6.76
02:45 - 03:00,25.13,9.66,0.00,-1.50,7.63,-45.00,0.00,0.29,5.80
03:00 - 03:15,0.00,-5.00,0.00,-1.50,7.54,-44.00,0.00,0.29,20.29
03:15 - 03:30,0.00,-10.00,0.00,-1.50,7.54,-44.00,0.00,0.29,14.49
03:30 - 03:45,17.40,-21.00,0.00,-1.50,7.54,-45.00,0.00,0.29,19.32
03:45 - 04:00,18.36,-13.00,0.00,-1.50,7.54,-45.00,0.00,0.29,24.16
04:00 - 04:15,32.86,9.66,0.00,-1.50,7.54,-45.00,0.00,0.29,6.76
04:15 - 04:30,43.48,14.50,0.00,-1.50,7.54,-45.00,0.00,0.29,0.97
04:30 - 04:45,35.75,11.60,0.00,-1.50,7.54,-43.00,0.00,0.29,0.00
04:45 - 05:00,33.83,7.73,0.00,-1.50,7.54,-43.00,0.00,0.29,1.93
05:00 - 05:15,33.83,6.76,0.00,-1.50,7.15,-41.00,0.00,0.29,-6.00
05:15 - 05:30,33.83,12.56,0.00,-1.50,7.54,-41.00,0.00,0.29,-11.00
05:30 - 05:45,34.79,0.00,0.00,-1.50,9.08,-39.00,0.00,0.29,-26.00
05:45 - 06:00,9.66,0.00,0.00,-1.50,9.66,-41.00,0.10,0.29,-12.00
06:00 - 06:15,13.53,0.00,0.00,-1.50,9.66,-41.00,0.00,0.29,-24.00
06:15 - 06:30,12.57,0.00,0.00,-1.50,9.66,-43.00,0.00,0.29,-12.00
06:30 - 06:45,8.70,0.00,0.00,-1.50,10.63,-42.00,0.00,0.29,-25.00
06:45 - 07:00,7.73,0.00,0.00,-1.50,11.60,-41.00,0.00,0.29,-25.00
07:00 - 07:15,13.53,0.00,0.00,-1.50,11.60,-42.00,0.00,0.29,-30.00
07:15 - 07:30,8.70,19.32,0.00,-1.50,11.60,-41.00,0.00,0.29,-30.00
07:30 - 07:45,48.32,-11.00,0.00,-1.50,10.63,-39.00,0.00,0.29,-30.00
07:45 - 08:00,62.81,-43.00,0.00,-1.50,10.63,-28.00,0.10,0.29,-10.00
08:00 - 08:15,50.25,-27.00,0.00,-1.50,10.63,-15.00,0.00,0.29,-20.00
08:15 - 08:30,43.49,-45.00,0.00,-1.50,9.66,0.00,0.00,0.29,-15.00
08:30 - 08:45,-4.00,-51.00,0.00,-1.50,8.70,0.00,0.00,0.29,-40.00
08:45 - 09:00,-22.00,-47.00,0.00,-1.50,9.66,0.00,0.00,0.29,-30.00
09:00 - 09:15,-30.00,-53.00,0.00,-0.50,10.63,0.00,0.00,0.29,-30.00
09:15 - 09:30,-3.00,-45.00,0.00,-0.50,13.34,0.00,0.00,0.29,-70.00
09:30 - 09:45,27.06,-45.00,0.00,-0.50,13.82,0.00,0.00,0.29,-30.00
09:45 - 10:00,30.92,-42.00,0.00,-0.50,14.50,0.00,0.00,0.29,-25.00
10:00 - 10:15,42.52,-29.00,0.00,-0.50,12.56,0.00,0.00,0.29,-30.00
10:15 - 10:30,59.92,-5.00,0.00,-0.50,12.56,0.00,0.00,0.29,-20.00
10:30 - 10:45,-13.00,-21.00,0.00,-0.50,11.60,0.00,0.00,0.29,9.66
10:45 - 11:00,-31.00,-11.00,0.00,-0.50,11.60,0.00,0.00,0.29,0.00
11:00 - 11:15,-11.00,14.50,0.00,-0.50,11.60,0.00,0.00,0.29,19.32
11:15 - 11:30,-16.00,22.22,0.00,-0.50,11.60,0.00,0.00,0.29,19.33
11:30 - 11:45,-16.00,27.06,0.00,-0.50,11.60,0.00,0.00,0.29,57.98
11:45 - 12:00,-23.00,33.82,0.00,-0.50,14.50,0.00,0.00,0.29,62.82
12:00 - 12:15,-34.00,40.59,0.00,-0.50,15.46,0.00,0.00,0.29,59.92
12:15 - 12:30,-36.00,47.35,0.00,-0.50,14.50,0.00,0.00,0.29,59.92
12:30 - 12:45,0.00,34.79,0.00,-0.50,17.40,0.00,0.00,0.29,77.31
12:45 - 13:00,7.73,40.59,0.00,-0.50,14.50,0.00,0.00,0.29,77.31
13:00 - 13:15,14.50,44.45,0.00,-0.50,14.01,0.00,0.00,0.29,82.15
13:15 - 13:30,16.43,41.56,0.00,-0.50,12.95,0.00,0.00,0.29,82.14
13:30 - 13:45,17.40,52.19,0.00,-0.50,13.43,0.00,0.00,0.29,96.62
13:45 - 14:00,0.00,39.62,0.00,-0.50,12.56,0.00,0.00,0.29,101.48
14:00 - 14:15,0.00,46.39,0.00,-0.50,12.56,0.00,0.00,0.29,33.82
14:15 - 14:30,0.00,33.82,0.00,-0.50,13.05,0.00,0.00,0.29,28.99
14:30 - 14:45,43.49,57.98,0.00,-0.50,13.53,0.00,0.00,0.29,101.47
14:45 - 15:00,28.03,52.19,0.00,-0.50,14.01,0.00,0.00,0.29,86.97
15:00 - 15:15,32.86,47.35,0.00,-0.50,15.46,0.00,0.00,0.29,86.98
15:15 - 15:30,46.39,51.22,0.00,-0.50,14.98,0.00,0.00,0.29,82.14
