Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-13.00,-10.00,-1.00,13.41,0.00,-127.00
00:15 - 00:30,-40.00,-5.00,-1.00,13.41,0.00,-122.00
00:30 - 00:45,-17.00,-5.00,-1.00,13.41,0.00,-130.00
00:45 - 01:00,-25.00,-5.00,-1.00,12.45,0.00,-130.00
01:00 - 01:15,0.00,0.00,-1.00,12.45,0.00,-142.00
01:15 - 01:30,0.00,0.00,-1.00,12.45,0.00,-136.00
01:30 - 01:45,-8.00,0.00,-1.00,11.78,0.00,-121.00
01:45 - 02:00,-6.00,0.00,-1.00,11.78,0.00,-124.00
02:00 - 02:15,-10.00,0.00,-1.00,11.78,0.00,-112.00
02:15 - 02:30,-12.00,0.00,-1.00,11.30,0.00,-112.00
02:30 - 02:45,-15.00,7.66,-1.00,10.83,0.00,-125.00
02:45 - 03:00,-15.00,9.58,-1.00,10.83,0.00,-125.00
03:00 - 03:15,-9.00,0.00,-1.00,10.83,0.00,-126.00
03:15 - 03:30,-10.00,0.00,-1.00,10.83,0.00,-128.00
03:30 - 03:45,-12.00,0.00,-1.00,10.83,0.00,-129.00
03:45 - 04:00,-13.00,0.00,-1.00,10.83,0.00,-130.00
04:00 - 04:15,-20.00,0.00,-1.50,10.83,0.00,-123.00
04:15 - 04:30,-20.00,0.00,-1.50,10.83,0.00,-127.00
04:30 - 04:45,-26.00,-13.00,-1.50,11.50,0.00,-124.00
04:45 - 05:00,-25.00,-18.00,-1.50,12.45,0.00,-124.00
05:00 - 05:15,-29.00,-18.00,-1.50,6.71,0.00,-119.00
05:15 - 05:30,-25.00,-19.00,-1.50,6.71,0.00,-27.00
05:30 - 05:45,-32.00,-17.00,-1.50,8.62,0.00,-41.00
05:45 - 06:00,-28.00,-19.00,-1.50,9.58,0.00,-62.00
06:00 - 06:15,0.00,28.74,-1.50,11.50,0.00,-75.00
06:15 - 06:30,0.00,23.95,-1.50,11.50,0.00,-79.00
06:30 - 06:45,-26.00,13.42,-1.50,12.45,0.00,-10.00
06:45 - 07:00,-23.00,11.50,-1.50,14.37,0.00,-85.00
07:00 - 07:15,-84.00,-52.00,-1.50,14.37,0.00,-204.00
07:15 - 07:30,-71.00,-47.00,-1.50,16.29,0.00,-85.00
07:30 - 07:45,-80.00,-46.00,-1.50,16.29,0.00,-147.00
07:45 - 08:00,-27.00,-45.00,-1.50,18.20,0.00,-157.00
08:00 - 08:15,10.54,-58.00,-1.50,20.12,0.00,-167.00
08:15 - 08:30,6.71,-62.00,-1.50,21.07,0.00,-160.00
08:30 - 08:45,-26.00,-76.00,-1.50,20.83,0.00,-135.00
08:45 - 09:00,-21.00,-80.00,-1.50,21.08,0.00,-121.00
09:00 - 09:15,-33.00,-59.00,-1.50,18.20,0.00,-114.00
09:15 - 09:30,-26.00,-46.00,-1.50,18.20,0.00,-166.00
09:30 - 09:45,-72.00,-100.00,-1.50,18.20,0.00,-196.00
09:45 - 10:00,-82.00,-108.00,-1.50,19.16,0.00,-204.00
10:00 - 10:15,-98.00,-105.00,-0.50,17.24,0.00,-95.00
10:15 - 10:30,-105.00,-92.00,-0.50,17.24,0.00,-40.00
10:30 - 10:45,-213.00,-98.00,-0.50,16.29,0.00,-25.00
10:45 - 11:00,-139.00,-70.00,-0.50,16.29,0.00,28.74
11:00 - 11:15,-66.00,-33.00,-0.50,13.41,0.00,-45.00
11:15 - 11:30,-90.00,-25.00,-0.50,13.41,0.00,9.58
11:30 - 11:45,-156.00,-37.00,-0.50,12.45,0.00,-30.00
11:45 - 12:00,-161.00,-38.00,-0.50,12.45,0.00,-25.00
12:00 - 12:15,-136.00,-25.00,-0.50,8.62,0.00,-40.00
12:15 - 12:30,-161.00,-10.00,-0.50,7.66,0.00,-60.00
12:30 - 12:45,-155.00,-12.00,-0.50,7.38,0.00,-50.00
12:45 - 13:00,-138.00,-17.00,-0.50,6.99,0.00,-55.00
13:00 - 13:15,-126.00,-18.00,-0.50,6.71,0.00,-60.00
13:15 - 13:30,-112.00,0.00,-0.50,6.32,0.00,-60.00
13:30 - 13:45,-97.00,0.00,-0.50,5.46,-11.00,-75.00
13:45 - 14:00,-74.00,0.00,-0.50,5.08,-14.00,-85.00
14:00 - 14:15,-58.00,0.00,-0.50,4.50,-17.00,-80.00
14:15 - 14:30,-53.00,0.00,-0.50,4.22,-18.00,-80.00
14:30 - 14:45,-44.00,0.00,-0.50,2.40,-19.00,-75.00
14:45 - 15:00,-49.00,-5.00,-0.50,2.40,-19.00,4.79
15:00 - 15:15,-79.00,-14.00,-0.50,1.92,-20.00,-35.00
15:15 - 15:30,-63.00,-11.00,-0.50,1.92,-20.00,-60.00
15:30 - 15:45,-61.00,-15.00,-0.50,1.92,-20.00,-70.00
15:45 - 16:00,-75.00,-11.00,-0.50,2.87,-21.00,-65.00
16:00 - 16:15,-96.00,-38.00,-0.50,3.83,-21.00,-90.00
16:15 - 16:30,-120.00,-39.00,-0.50,4.79,-12.00,-85.00
16:30 - 16:45,-67.00,-21.00,-0.50,4.79,0.00,-12.00
16:45 - 17:00,-102.00,-57.00,-0.50,4.79,0.00,25.87
17:00 - 17:15,-68.00,-99.00,-0.50,5.75,0.00,28.74
17:15 - 17:30,-3.00,-89.00,-0.50,6.71,0.00,31.61
17:30 - 17:45,-100.00,-94.00,-0.50,7.66,0.00,-18.00
17:45 - 18:00,48.86,-124.00,-0.50,8.62,0.00,-73.00
18:00 - 18:15,27.78,0.00,-0.50,9.58,0.00,-124.00
18:15 - 18:30,42.15,0.00,-0.50,10.54,0.00,-166.00
18:30 - 18:45,34.48,0.00,-0.50,11.50,0.00,-170.00
18:45 - 19:00,43.11,0.00,-0.50,12.45,0.00,-152.00
19:00 - 19:15,22.99,0.00,-0.50,13.41,0.00,-146.00
19:15 - 19:30,15.33,0.00,-0.50,13.41,0.00,-118.00
19:30 - 19:45,34.49,-14.00,-0.50,13.41,0.00,-58.00
19:45 - 20:00,58.44,-15.00,-0.50,14.37,0.00,-68.00
20:00 - 20:15,45.98,0.00,-0.50,14.37,0.00,-4.00
20:15 - 20:30,77.60,0.00,-0.50,14.37,0.00,85.26
20:30 - 20:45,-7.00,0.00,-0.50,14.37,0.00,131.25
20:45 - 21:00,-36.00,0.00,-0.50,13.41,0.00,125.50
21:00 - 21:15,-78.00,-19.00,-0.50,13.41,0.00,-39.00
21:15 - 21:30,-20.00,0.00,-0.50,13.41,0.00,-81.00
21:30 - 21:45,-72.00,-25.00,-0.50,13.41,0.00,-69.00
21:45 - 22:00,-55.00,-30.00,-0.50,13.41,0.00,-74.00
22:00 - 22:15,-91.00,-39.00,-0.50,12.93,0.00,-79.00
22:15 - 22:30,-127.00,-42.00,-0.50,12.45,0.00,-67.00
22:30 - 22:45,-162.00,-58.00,-0.50,12.45,0.00,-69.00
22:45 - 23:00,-99.00,-57.00,-0.50,11.50,0.00,-60.00
23:00 - 23:15,-95.00,-44.00,-0.50,10.54,0.00,-83.00
23:15 - 23:30,-84.00,-40.00,-0.50,10.54,0.00,-97.00
23:30 - 23:45,-111.00,-40.00,-0.50,9.58,0.00,-113.00
23:45 - 24:00,-75.00,-50.00,-0.50,8.62,0.00,-145.00
