Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,139.31,4.84,1.93,-25.00,-13.00
00:15 - 00:30,131.57,4.84,1.93,-26.00,33.86
00:30 - 00:45,138.33,-60.00,0.97,-28.00,24.19
00:45 - 01:00,139.31,-61.00,0.97,-47.00,5.80
01:00 - 01:15,63.85,35.79,0.00,-60.00,-28.00
01:15 - 01:30,84.16,99.65,0.00,-71.00,-25.00
01:30 - 01:45,129.64,98.67,0.00,-78.00,-53.00
01:45 - 02:00,136.41,80.29,0.00,-79.00,-45.00
02:00 - 02:15,160.57,82.23,0.00,-60.00,-55.00
02:15 - 02:30,164.46,78.36,0.00,-62.00,-65.00
02:30 - 02:45,160.59,35.79,-1.00,-63.00,-56.00
02:45 - 03:00,161.56,35.79,-1.00,-64.00,-55.00
03:00 - 03:15,89.00,24.19,-1.00,-58.00,-56.00
03:15 - 03:30,53.21,0.00,-1.00,-57.00,-34.00
03:30 - 03:45,32.90,5.80,-2.00,-57.00,-26.00
03:45 - 04:00,52.24,0.00,-2.00,-57.00,-31.00
04:00 - 04:15,44.50,87.07,-2.00,-57.00,51.27
04:15 - 04:30,59.01,89.97,-2.00,-57.00,37.73
04:30 - 04:45,31.92,23.22,-3.00,-57.00,60.95
04:45 - 05:00,47.41,6.77,-3.00,-57.00,40.63
05:00 - 05:15,0.00,5.80,-3.00,-58.00,14.52
05:15 - 05:30,19.35,3.87,-3.00,-57.00,-8.00
05:30 - 05:45,53.21,0.00,-4.00,-46.00,-7.00
05:45 - 06:00,26.12,0.00,-4.00,-45.00,0.97
06:00 - 06:15,-2.00,80.29,-4.00,-45.00,12.58
06:15 - 06:30,-36.00,71.58,-4.00,-45.00,24.19
06:30 - 06:45,51.28,9.67,-4.00,-45.00,43.53
06:45 - 07:00,13.54,0.00,-3.00,-44.00,43.54
07:00 - 07:15,-57.00,0.00,-3.00,-44.00,22.25
07:15 - 07:30,-47.00,0.00,-3.00,-44.00,12.58
07:30 - 07:45,-56.00,0.00,-3.00,-44.00,33.86
07:45 - 08:00,-47.00,-33.00,-2.00,-44.00,33.86
08:00 - 08:15,25.16,9.67,-6.00,-44.00,-7.00
08:15 - 08:30,29.99,14.51,-6.00,-44.00,-6.00
08:30 - 08:45,0.00,106.41,-7.00,-44.00,0.97
08:45 - 09:00,10.64,-10.00,-6.00,-44.00,11.61
09:00 - 09:15,25.15,0.00,0.97,-104.00,40.63
09:15 - 09:30,22.25,0.00,0.00,-102.00,58.04
09:30 - 09:45,29.99,15.48,0.00,-102.00,97.71
09:45 - 10:00,38.70,16.45,0.00,-136.00,39.66
10:00 - 10:15,104.49,58.04,0.00,-132.00,43.53
10:15 - 10:30,121.89,68.69,0.00,-128.00,66.75
10:30 - 10:45,118.02,35.79,0.97,-124.00,78.36
10:45 - 11:00,115.11,42.57,0.97,-121.00,78.36
11:00 - 11:15,117.06,52.24,0.97,-116.00,133.49
11:15 - 11:30,122.86,65.78,1.93,-112.00,143.18
11:30 - 11:45,161.55,111.25,0.00,-109.00,101.58
11:45 - 12:00,162.52,120.93,0.00,0.00,101.58
12:00 - 12:15,211.86,100.61,0.00,-105.00,116.09
12:15 - 12:30,227.34,98.67,0.00,-103.00,116.09
12:30 - 12:45,162.52,105.45,0.00,-102.00,96.74
12:45 - 13:00,178.00,100.61,0.00,-101.00,96.74
13:00 - 13:15,121.89,88.03,0.97,-99.00,87.07
13:15 - 13:30,122.86,80.29,0.97,-98.00,82.23
13:30 - 13:45,70.62,86.09,0.97,-97.00,67.72
13:45 - 14:00,27.09,75.45,0.97,-97.00,48.37
14:00 - 14:15,39.66,94.81,2.90,-99.00,-20.00
14:15 - 14:30,48.37,91.91,2.90,-97.00,58.04
14:30 - 14:45,0.00,76.43,2.90,-95.00,-7.00
14:45 - 15:00,0.00,73.52,2.90,-92.00,30.96
15:00 - 15:15,42.57,87.06,2.90,-92.00,24.19
15:15 - 15:30,27.09,84.16,3.87,-54.00,19.35
15:30 - 15:45,53.21,109.32,3.87,-55.00,43.53
15:45 - 16:00,185.75,106.41,3.87,-54.00,43.53
16:00 - 16:15,201.22,118.02,-3.00,-54.00,62.88
16:15 - 16:30,187.68,100.61,-3.00,-54.00,58.04
16:30 - 16:45,189.61,95.77,-3.00,-54.00,48.37
16:45 - 17:00,178.97,99.64,-3.00,-54.00,48.37
17:00 - 17:15,166.40,102.54,1.93,-37.00,53.21
17:15 - 17:30,154.79,83.20,1.93,-39.00,43.53
17:30 - 17:45,83.21,77.39,1.93,-42.00,9.67
17:45 - 18:00,72.56,53.21,1.93,-45.00,0.00
18:00 - 18:15,260.24,53.21,1.93,-49.00,9.67
18:15 - 18:30,255.40,48.37,1.93,-54.00,-10.00
18:30 - 18:45,213.80,42.57,1.93,-56.00,-25.00
18:45 - 19:00,209.93,38.70,1.93,-57.00,-30.00
19:00 - 19:15,207.03,40.63,2.90,-57.00,-39.00
19:15 - 19:30,221.53,38.70,2.90,-58.00,-35.00
19:30 - 19:45,147.05,7.74,2.90,-37.00,-10.00
19:45 - 20:00,138.34,11.61,2.90,-37.00,-19.00
20:00 - 20:15,133.50,7.74,0.97,-39.00,-25.00
20:15 - 20:30,126.73,14.51,0.97,-40.00,-25.00
20:30 - 20:45,147.04,11.61,0.97,-43.00,-15.00
20:45 - 21:00,155.75,7.74,0.97,-44.00,-15.00
21:00 - 21:15,191.54,11.61,0.97,-45.00,-10.00
21:15 - 21:30,205.09,10.64,0.97,-37.00,7.74
21:30 - 21:45,177.03,0.00,3.87,-40.00,-5.00
21:45 - 22:00,185.74,0.00,3.87,-40.00,38.70
22:00 - 22:15,148.01,11.61,3.87,-10.00,-10.00
22:15 - 22:30,161.56,0.00,3.87,-10.00,-25.00
22:30 - 22:45,116.09,0.00,3.87,-10.00,-60.00
22:45 - 23:00,132.53,0.00,3.87,-10.00,-60.00
23:00 - 23:15,99.64,-12.00,3.87,-10.00,-35.00
23:15 - 23:30,104.48,9.67,3.87,-10.00,-65.00
23:30 - 23:45,102.54,24.19,2.90,-10.00,-80.00
23:45 - 24:00,95.77,0.00,2.90,-10.00,-100.00
