Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,58.60,-15.00,13.26,0.00,-30.00
00:15 - 00:30,18.26,9.61,12.87,0.00,-6.00
00:30 - 00:45,-18.00,0.00,12.01,0.00,9.61
00:45 - 01:00,-61.00,0.00,11.81,0.00,7.69
01:00 - 01:15,-108.00,-15.00,11.72,0.00,-35.00
01:15 - 01:30,-109.00,-10.00,11.05,0.00,-35.00
01:30 - 01:45,-153.00,-20.00,10.76,0.00,-50.00
01:45 - 02:00,-148.00,-20.00,10.57,0.00,-62.00
02:00 - 02:15,-60.00,-33.00,10.57,0.00,-88.00
02:15 - 02:30,-57.00,-35.00,10.57,0.00,-85.00
02:30 - 02:45,-36.00,-26.00,9.90,0.00,-75.00
02:45 - 03:00,-35.00,-27.00,9.80,0.00,-74.00
03:00 - 03:15,-39.00,-32.00,10.09,0.00,-65.00
03:15 - 03:30,-8.00,-33.00,10.18,0.00,-65.00
03:30 - 03:45,-15.00,-25.00,10.18,0.00,-77.00
03:45 - 04:00,-19.00,-33.00,10.57,0.00,-76.00
04:00 - 04:15,-12.00,-41.00,10.86,0.00,-79.00
04:15 - 04:30,-54.00,-46.00,11.34,0.00,-81.00
04:30 - 04:45,-49.00,-60.00,11.53,0.00,-76.00
04:45 - 05:00,-80.00,-17.00,12.49,0.00,-78.00
05:00 - 05:15,-78.00,-68.00,7.49,0.00,-63.00
05:15 - 05:30,-67.00,-19.00,8.94,0.00,-49.00
05:30 - 05:45,-98.00,-43.00,11.05,0.00,-45.00
05:45 - 06:00,-72.00,-40.00,13.45,0.00,-61.00
06:00 - 06:15,-58.00,-47.00,15.37,0.00,-50.00
06:15 - 06:30,8.65,-44.00,17.29,0.00,-98.00
06:30 - 06:45,17.29,-31.00,18.26,0.00,-131.00
06:45 - 07:00,0.00,-35.00,21.62,0.00,-288.00
07:00 - 07:15,-37.00,-34.00,23.64,0.00,-130.00
07:15 - 07:30,-18.00,5.76,24.60,0.00,-135.00
07:30 - 07:45,0.00,19.22,26.90,0.00,-142.00
07:45 - 08:00,23.95,11.53,26.62,0.00,-126.00
