Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-25.00,-17.00,-1.30,4.80,-8.00
00:15 - 00:30,20.18,-24.00,-1.30,4.80,-2.00
00:30 - 00:45,19.22,-23.00,-1.30,4.80,-16.00
00:45 - 01:00,12.49,-22.00,-1.30,4.80,-14.00
01:00 - 01:15,15.37,-30.00,-1.30,4.80,-27.00
01:15 - 01:30,14.41,-45.00,-1.30,4.80,-56.00
01:30 - 01:45,-9.00,-45.00,-1.30,4.80,-42.00
01:45 - 02:00,-52.00,-55.00,-1.30,4.80,-42.00
02:00 - 02:15,-8.00,-47.00,-1.30,4.80,-53.00
02:15 - 02:30,-45.00,-38.00,-1.30,4.80,-46.00
02:30 - 02:45,-58.00,-46.00,-1.30,4.80,-68.00
02:45 - 03:00,-16.00,-38.00,-1.30,4.80,-70.00
03:00 - 03:15,-14.00,-50.00,-1.30,4.80,-74.00
03:15 - 03:30,-8.00,-53.00,-1.30,4.80,-74.00
03:30 - 03:45,0.00,-47.00,-1.30,4.80,-72.00
03:45 - 04:00,0.00,-48.00,-1.30,4.80,-72.00
04:00 - 04:15,5.76,-43.00,-1.30,5.77,-71.00
04:15 - 04:30,5.76,-45.00,-1.30,6.73,-70.00
04:30 - 04:45,0.96,-23.00,-1.30,7.69,-61.00
04:45 - 05:00,14.41,-24.00,-1.30,7.69,-63.00
05:00 - 05:15,15.37,-15.00,-1.30,9.03,-60.00
05:15 - 05:30,38.43,-13.00,-1.30,11.53,-55.00
05:30 - 05:45,73.97,-21.00,-1.30,13.55,-51.00
05:45 - 06:00,98.95,-29.00,-1.30,14.03,-98.00
06:00 - 06:15,-33.00,-18.00,-1.30,15.37,-10.00
06:15 - 06:30,-34.00,-15.00,-1.30,16.33,-71.00
06:30 - 06:45,-32.00,0.00,-1.30,17.29,-79.00
06:45 - 07:00,12.49,0.00,-1.30,17.77,-76.00
07:00 - 07:15,40.35,0.00,-1.30,18.73,-52.00
07:15 - 07:30,34.59,0.00,-1.30,19.21,-2.00
07:30 - 07:45,56.68,-10.00,-1.30,19.21,11.53
07:45 - 08:00,42.27,-10.00,-1.30,19.21,26.90
08:00 - 08:15,35.55,-20.00,-1.30,18.64,53.79
08:15 - 08:30,31.70,-10.00,-1.30,17.58,51.88
08:30 - 08:45,54.76,0.00,-1.30,17.68,52.84
08:45 - 09:00,22.10,0.00,-1.30,17.68,28.81
09:00 - 09:15,75.90,-22.00,-0.30,13.93,19.21
09:15 - 09:30,76.85,-22.00,-0.30,13.74,22.10
09:30 - 09:45,61.48,7.69,-0.30,13.55,82.62
09:45 - 10:00,72.05,11.53,-0.30,13.55,61.48
10:00 - 10:15,77.81,9.61,-0.30,12.49,76.86
10:15 - 10:30,67.25,10.57,-0.30,12.39,84.54
10:30 - 10:45,37.47,0.00,-0.30,12.30,57.64
10:45 - 11:00,34.59,0.00,-0.30,11.72,76.85
11:00 - 11:15,0.00,8.65,-0.30,8.83,0.00
