Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-258.00,-75.00,0.00,15.40,-60.00,2.70,-15.30,-59.00
00:15 - 00:30,-293.00,-93.00,0.00,15.40,-60.00,1.16,0.00,-66.00
00:30 - 00:45,-351.00,-131.00,0.00,15.41,-59.00,0.00,0.00,-11.00
00:45 - 01:00,-394.00,-141.00,0.00,14.45,-60.00,0.00,0.00,-22.00
01:00 - 01:15,-398.00,-40.00,0.00,14.45,-60.00,0.00,0.00,-40.00
01:15 - 01:30,-403.00,-46.00,0.00,14.45,-60.00,0.00,0.00,-35.00
01:30 - 01:45,-390.00,-66.00,0.00,13.48,-61.00,0.00,0.00,-28.00
01:45 - 02:00,-383.00,-70.00,0.00,13.48,-64.00,0.00,0.00,-26.00
02:00 - 02:15,-298.00,-59.00,0.00,13.00,-63.00,0.00,0.00,-17.00
02:15 - 02:30,-247.00,-56.00,0.00,13.00,-64.00,0.00,0.00,-25.00
02:30 - 02:45,-195.00,-67.00,0.00,13.00,-65.00,0.00,0.00,21.19
02:45 - 03:00,-45.00,-64.00,0.00,12.52,-67.00,0.00,0.00,25.04
03:00 - 03:15,100.15,-50.00,0.00,12.52,-68.00,0.00,0.00,23.11
03:15 - 03:30,91.49,-54.00,0.00,12.52,-68.00,0.00,0.00,23.11
03:30 - 03:45,97.26,-60.00,0.00,12.52,-69.00,0.00,0.00,22.15
03:45 - 04:00,85.70,-65.00,0.00,12.52,-70.00,0.00,0.00,21.19
04:00 - 04:15,110.74,-47.00,0.00,11.56,-71.00,0.00,0.00,48.15
04:15 - 04:30,89.55,-46.00,0.00,11.56,-73.00,0.00,0.00,62.60
04:30 - 04:45,65.48,-53.00,0.00,11.56,-73.00,0.00,0.00,83.78
04:45 - 05:00,31.78,-112.00,0.00,11.56,-75.00,0.00,0.00,108.81
05:00 - 05:15,-248.00,-42.00,0.00,11.56,-74.00,0.00,0.00,-111.00
05:15 - 05:30,-123.00,-43.00,0.00,11.56,-76.00,0.00,0.00,34.66
05:30 - 05:45,26.96,-25.00,0.00,11.56,-80.00,0.00,0.00,45.26
05:45 - 06:00,-116.00,-18.00,0.00,11.56,-83.00,0.00,0.00,-10.00
06:00 - 06:15,159.86,-11.00,0.00,11.56,-88.00,0.00,0.00,171.41
06:15 - 06:30,-95.00,-10.00,0.00,11.56,-85.00,0.00,0.00,-27.00
06:30 - 06:45,-52.00,19.26,0.00,12.52,-82.00,0.00,0.00,46.22
06:45 - 07:00,-55.00,19.26,0.00,12.52,-87.00,0.00,0.00,52.96
07:00 - 07:15,-210.00,34.67,0.00,13.48,-73.00,0.00,0.00,36.59
07:15 - 07:30,-92.00,-26.00,0.00,13.48,-71.00,0.00,0.00,36.60
07:30 - 07:45,-36.00,-13.00,0.00,13.48,-71.00,0.10,0.00,-67.00
07:45 - 08:00,-25.00,-31.00,0.00,14.45,-71.00,0.00,0.00,-22.00
08:00 - 08:15,0.00,-13.00,0.00,7.70,-72.00,0.00,0.00,23.12
08:15 - 08:30,0.00,-11.00,0.00,8.67,-74.00,0.00,0.00,10.59
08:30 - 08:45,0.00,0.00,0.00,7.70,-75.00,0.00,0.00,9.63
08:45 - 09:00,-9.00,0.00,0.00,8.67,-76.00,0.00,0.00,9.63
09:00 - 09:15,-7.00,0.00,0.00,5.78,-185.00,0.00,0.00,-9.00
09:15 - 09:30,-9.00,0.00,0.00,5.78,-177.00,0.00,0.00,3.85
09:30 - 09:45,-18.00,-11.00,0.00,5.78,-165.00,0.00,0.00,-14.00
09:45 - 10:00,-8.00,-21.00,0.00,6.74,-159.00,0.00,0.00,-18.00
10:00 - 10:15,-18.00,-31.00,0.00,5.78,-148.00,0.00,0.00,-23.00
10:15 - 10:30,-13.00,-24.00,0.00,5.78,-136.00,0.00,0.00,-23.00
10:30 - 10:45,-106.00,-50.00,0.00,5.78,-128.00,0.00,0.00,-20.00
10:45 - 11:00,-115.00,-54.00,0.00,6.74,-121.00,0.00,0.00,-23.00
11:00 - 11:15,-139.00,-57.00,0.00,6.74,-117.00,0.00,0.00,-16.00
11:15 - 11:30,-137.00,-57.00,0.00,7.70,-113.00,0.00,0.00,-17.00
11:30 - 11:45,-137.00,-80.00,0.00,7.70,-110.00,0.00,0.00,-89.00
11:45 - 12:00,-129.00,-75.00,0.00,8.67,-108.00,0.00,0.00,-94.00
12:00 - 12:15,-127.00,-61.00,0.00,7.70,-105.00,0.00,0.00,-115.00
12:15 - 12:30,-121.00,-56.00,0.00,7.70,-103.00,0.00,0.00,-65.00
12:30 - 12:45,-115.00,-55.00,0.00,7.70,-104.00,0.00,0.00,-85.00
12:45 - 13:00,-120.00,-52.00,0.00,7.70,-105.00,0.00,0.00,-80.00
13:00 - 13:15,-56.00,-48.00,0.00,5.78,-103.00,0.00,0.00,-45.00
13:15 - 13:30,-53.00,-40.00,0.00,4.82,-105.00,0.00,0.00,-45.00
13:30 - 13:45,-33.00,-22.00,0.00,3.85,-108.00,0.00,0.00,-35.00
13:45 - 14:00,-39.00,-23.00,0.00,3.85,-111.00,0.00,0.00,-30.00
14:00 - 14:15,22.15,-35.00,-0.50,7.70,-114.00,0.00,0.00,-10.00
14:15 - 14:30,25.04,-15.00,-0.50,7.70,-117.00,0.00,0.00,-10.00
14:30 - 14:45,21.18,-60.00,-0.50,9.63,-75.00,0.00,0.00,4.82
14:45 - 15:00,90.52,-11.00,-0.50,9.63,-75.00,0.00,0.00,-70.00
15:00 - 15:15,126.14,30.82,-0.10,12.52,-72.00,0.00,0.00,62.60
15:15 - 15:30,168.52,36.59,-0.10,12.52,-72.00,0.00,0.00,24.08
15:30 - 15:45,-67.00,117.49,-0.10,12.52,-74.00,0.00,0.00,6.74
15:45 - 16:00,-52.00,28.88,-0.10,12.52,-79.00,0.00,0.00,4.82
16:00 - 16:15,-97.00,0.00,-0.10,14.45,-79.00,0.00,0.00,21.18
16:15 - 16:30,-85.00,0.00,-0.10,14.44,-78.00,0.00,0.00,1.93
16:30 - 16:45,-383.00,-123.00,-0.10,13.48,-83.00,0.00,0.00,-55.00
16:45 - 17:00,-353.00,-108.00,-0.10,12.52,-87.00,0.00,0.00,-110.00
17:00 - 17:15,-255.00,-68.00,-0.10,16.37,-41.00,0.00,0.00,24.08
17:15 - 17:30,-220.00,-51.00,-0.10,15.41,-48.00,0.00,0.00,43.33
17:30 - 17:45,-150.00,0.00,-0.10,15.41,-52.00,0.00,0.00,86.67
17:45 - 18:00,-137.00,0.00,-0.10,16.37,-58.00,0.00,0.00,86.67
18:00 - 18:15,-206.00,-42.00,-0.10,17.33,-95.00,0.00,0.00,86.67
18:15 - 18:30,-202.00,0.00,-0.10,17.33,-104.00,0.00,0.00,77.04
18:30 - 18:45,-261.00,-63.00,-0.10,17.33,-114.00,0.00,0.00,-40.00
18:45 - 19:00,70.30,-64.00,-0.10,17.33,-123.00,0.00,0.00,81.86
19:00 - 19:15,-57.00,-83.00,-0.10,18.29,-25.00,3.47,0.00,-100.00
19:15 - 19:30,-41.00,-75.00,-0.10,18.30,-29.00,4.04,0.00,-100.00
19:30 - 19:45,-38.00,-98.00,-0.10,18.30,-29.00,3.08,0.00,-100.00
19:45 - 20:00,-10.00,-109.00,-0.10,18.29,-31.00,4.24,0.00,-90.00
20:00 - 20:15,-72.00,-116.00,-0.10,18.29,-34.00,5.01,0.00,-80.00
20:15 - 20:30,-53.00,-108.99,-0.10,18.30,-38.00,7.51,0.00,-75.00
20:30 - 20:45,-41.00,-124.00,-0.10,18.30,-40.00,10.98,0.00,-90.00
20:45 - 21:00,-41.00,-128.00,-0.10,18.30,-41.00,10.98,0.00,-80.00
21:00 - 21:15,-28.00,-149.00,-0.10,17.34,-44.00,9.24,0.00,-120.00
21:15 - 21:30,5.78,-139.00,-0.10,17.33,-44.00,6.55,0.00,-100.00
21:30 - 21:45,0.00,-149.00,-0.10,15.41,-46.00,6.93,0.00,-150.00
21:45 - 22:00,0.00,-144.00,-0.10,15.41,-48.00,5.20,0.00,-150.00
22:00 - 22:15,-23.00,-159.00,-0.50,14.45,-51.00,3.85,0.00,-150.00
22:15 - 22:30,-17.00,-154.00,-0.50,14.44,-48.00,4.53,0.00,-140.00
22:30 - 22:45,-69.00,-155.00,-0.50,14.45,-49.00,6.64,0.00,-170.00
22:45 - 23:00,-30.00,-156.00,-0.50,14.44,-48.00,4.82,0.00,-170.00
23:00 - 23:15,-61.00,-83.00,-0.50,14.44,-46.00,6.55,0.00,-205.00
23:15 - 23:30,-66.00,-38.00,-0.50,14.44,-46.00,8.19,0.00,-205.00
23:30 - 23:45,-62.00,-75.00,-0.50,13.48,-43.00,3.66,0.00,-215.00
23:45 - 24:00,-77.00,-82.00,-0.50,13.48,-44.00,0.10,0.00,-215.00
