Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,19.24,-1.00,6.54,0.00,6.73
00:15 - 00:30,17.30,14.43,-1.00,6.06,0.00,2.89
00:30 - 00:45,36.55,0.00,-1.00,5.58,0.00,-8.00
00:45 - 01:00,75.98,0.00,-1.00,5.48,0.00,-12.00
01:00 - 01:15,28.86,0.00,-1.00,5.00,0.00,-6.00
01:15 - 01:30,16.35,-5.00,-1.00,4.81,0.00,-19.00
01:30 - 01:45,0.00,-15.00,-1.00,4.52,0.00,9.62
01:45 - 02:00,0.00,-15.00,-1.00,4.33,0.00,10.58
02:00 - 02:15,-7.00,-10.00,-1.00,4.23,0.00,-32.00
02:15 - 02:30,-15.00,-10.00,-1.00,4.23,0.00,-41.00
02:30 - 02:45,-17.00,0.00,-1.00,4.23,0.00,-54.00
02:45 - 03:00,-18.00,0.00,-1.00,4.23,0.00,-56.00
03:00 - 03:15,0.00,0.00,-1.00,4.23,0.00,-56.00
03:15 - 03:30,0.00,0.00,-1.00,4.23,0.00,-53.00
03:30 - 03:45,0.00,0.00,-1.00,4.23,0.00,-56.00
03:45 - 04:00,0.00,0.00,-1.00,4.42,0.00,-57.00
04:00 - 04:15,24.04,0.00,-1.00,4.81,0.00,-55.00
04:15 - 04:30,45.20,0.00,-1.00,5.10,0.00,-49.00
04:30 - 04:45,0.00,0.00,-1.00,5.77,0.00,-64.00
04:45 - 05:00,0.00,0.00,-1.00,5.96,0.00,-47.00
05:00 - 05:15,0.00,0.00,-1.00,3.65,0.00,-9.00
05:15 - 05:30,16.35,0.00,-1.00,5.77,0.00,-51.00
05:30 - 05:45,69.25,0.00,-1.00,0.00,0.00,-51.00
05:45 - 06:00,115.42,0.00,-1.00,0.67,0.00,0.96
06:00 - 06:15,110.61,0.00,-1.00,2.69,0.00,9.62
06:15 - 06:30,152.93,0.00,-1.00,4.04,0.00,26.93
06:30 - 06:45,149.08,9.62,-1.00,5.77,0.00,30.78
06:45 - 07:00,151.01,0.00,-1.00,6.73,0.00,-15.00
07:00 - 07:15,130.80,30.78,-1.00,7.69,0.00,51.94
07:15 - 07:30,110.62,22.12,-1.00,7.69,0.00,27.89
07:30 - 07:45,44.70,26.81,-1.00,8.04,0.00,0.00
07:45 - 08:00,50.79,34.66,-1.00,8.22,0.00,-22.00
08:00 - 08:15,30.47,46.07,-1.00,7.44,0.00,15.59
08:15 - 08:30,31.95,51.12,-1.00,6.84,0.00,24.92
08:30 - 08:45,53.73,72.48,-1.00,17.91,0.00,57.99
08:45 - 09:00,48.09,69.25,-1.00,20.20,0.00,73.09
09:00 - 09:15,33.66,11.54,-0.30,16.35,0.00,21.16
09:15 - 09:30,58.67,17.31,-0.30,16.35,0.00,14.43
09:30 - 09:45,69.25,0.00,-0.30,16.16,0.00,31.74
09:45 - 10:00,52.90,0.00,-0.30,15.97,0.00,27.89
10:00 - 10:15,39.43,-12.00,-0.30,15.10,0.00,-11.00
10:15 - 10:30,48.09,-13.00,-0.30,13.85,0.00,-22.00
10:30 - 10:45,9.62,-43.00,-0.30,13.46,0.00,0.00
10:45 - 11:00,19.23,-48.00,-0.30,13.47,0.00,-70.00
11:00 - 11:15,23.08,-12.00,-0.30,15.39,0.00,-20.00
11:15 - 11:30,40.39,-11.00,-0.30,14.72,0.00,11.54
11:30 - 11:45,45.20,-30.00,-0.30,13.47,0.00,14.43
11:45 - 12:00,49.05,-24.00,-0.30,12.79,0.00,0.00
12:00 - 12:15,18.27,13.47,-0.30,12.50,0.00,-5.00
12:15 - 12:30,26.93,9.62,-0.30,12.21,0.00,4.81
12:30 - 12:45,0.00,22.12,-0.30,11.54,0.00,4.81
12:45 - 13:00,20.19,13.47,-0.30,11.54,0.00,19.24
13:00 - 13:15,-11.00,0.00,-0.30,11.54,0.00,0.00
13:15 - 13:30,-11.00,0.00,-0.30,11.25,0.00,0.00
13:30 - 13:45,0.00,4.81,-0.30,10.29,0.00,14.43
13:45 - 14:00,0.00,4.81,-0.30,9.14,0.00,19.23
14:00 - 14:15,19.24,14.43,-0.30,10.58,0.00,52.89
14:15 - 14:30,0.00,0.00,-0.30,8.66,0.00,57.70
14:30 - 14:45,64.44,0.00,-0.30,8.66,0.00,38.47
14:45 - 15:00,54.83,10.58,-0.30,8.46,0.00,33.66
15:00 - 15:15,67.33,6.73,-0.30,7.69,0.00,48.09
15:15 - 15:30,78.87,9.62,-0.30,7.69,0.00,38.47
15:30 - 15:45,80.79,9.62,-0.30,7.41,0.00,48.09
15:45 - 16:00,110.60,0.00,-0.30,8.18,0.00,57.71
16:00 - 16:15,109.64,14.43,-0.30,10.00,0.00,9.62
16:15 - 16:30,80.79,21.16,-0.30,10.58,0.00,-40.00
16:30 - 16:45,126.95,-5.00,-0.30,11.35,0.00,57.71
16:45 - 17:00,49.57,-30.00,-0.30,9.67,0.00,46.21
17:00 - 17:15,74.46,-35.00,-0.30,6.47,0.00,39.92
17:15 - 17:30,114.51,-4.00,-0.30,4.74,0.00,46.64
17:30 - 17:45,61.85,5.56,-0.30,2.46,0.96,96.30
17:45 - 18:00,39.94,3.99,-0.30,2.99,0.36,95.86
18:00 - 18:15,-10.00,19.71,-0.30,2.68,0.76,100.05
18:15 - 18:30,4.12,23.28,-0.30,3.22,0.70,150.41
18:30 - 18:45,0.00,13.72,-0.30,4.12,0.96,156.43
18:45 - 19:00,14.86,24.27,-0.30,5.46,0.24,84.92
19:00 - 19:15,67.40,49.42,-0.30,11.23,0.45,-10.00
19:15 - 19:30,93.57,48.88,-0.30,11.87,3.42,0.00
