genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
12,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3028168,0,1.4937813,
13,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.233387,0.7541688,0.3734632,0.3028168,0,1.4937813,
14,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.233387,0.7541688,0.3734632,0.3028168,0,1.4937813,
15,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
16,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
17,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
18,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
19,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
20,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.7541303,0,1.3384536,
21,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3028168,0,1.3384536,
22,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3028168,0,1.3384536,
23,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.3384536,
24,0,0,0,2.6102615,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.3384536,
25,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,3.10622125,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.3384536,
26,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,3.429987,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.3384536,
27,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.1827266,
28,0,0,0,2.597914,0,0,0,3.9375952,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8103008,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.1827266,
29,0,0,0,2.597914,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.2288594,0.730961,0.364188,0.3173753,0,1.3384536,
30,0,0,0,2.597914,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,0.7657771,,0,,0.233387,0.730961,0.364188,0.2766115,0,1.3384536,
31,0,0,0,2.597914,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
32,0,0,0,2.597914,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.191637,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
33,0,0,0,2.5727251,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
34,0,0,0,2.5727251,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
35,0,0,0,2.5727251,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
36,0,0,0,2.5727251,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,2.1781342,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
37,0,0,0,2.5480301,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
38,0,0,0,2.5480301,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
39,0,0,0,2.5480301,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
40,0,0,0,2.5480301,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
41,0,0,0,2.5104937,0,0,0,3.9251828,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
42,0,0,0,2.5104937,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
43,0,0,0,2.4981462,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
44,0,0,0,2.4981462,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.99104235,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
45,0,0,0,2.4734512,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
46,0,0,0,2.4734512,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
47,0,0,0,2.4734512,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
48,0,0,0,2.4734512,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
49,0,0,0,2.4601159,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
50,0,0,0,2.4601159,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
51,0,0,0,2.4601159,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
52,0,0,0,2.4601159,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,1.84264575,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
53,0,0,0,2.4477684,0,0,0,3.8941518,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,2.24534805,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
54,0,0,0,2.4477684,0,0,0,3.8569146,,0,0,2.215818,0.94634155,0,0,0,5.0952055,1.8199896,1.7234514,1.5933456,0,4.44068185,,,0,0,,,,2.5127971,,0,,1.14172905,6.661941,,,,,,,2.8004669,1.86715155,1.6538456,0,4.0880664,2.66094125,0.90192795,1.89470875,1.8997968,,,0,0,0.7383684,,,2.55757755,,0,,0,1.5228191,,0,,0.233387,0.7541688,0.3734632,0.9404791,0,1.3384536,
