genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
12,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
13,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
14,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
15,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
16,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,8.3830032,5.3833395,
17,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
18,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
19,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
20,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,8.3830032,5.3833395,
21,0,0,0,7.0510055,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,30.8473594,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
22,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,4.13889905,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,31.7973656,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.517041,6.9803195,4.3710876,0,8.3830032,5.3833395,
23,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,3.3115599,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,32.271525,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
24,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.5977633,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,3.3115599,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,32.7456844,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
25,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,33.2206875,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.517041,6.9803195,4.3710876,0,8.1957018,5.3833395,
26,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,33.6956906,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
27,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,34.16985,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
28,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,5.3715508,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,34.6440094,1.77895575,,,23.565795,,0,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
29,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,1.77895575,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
30,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,1.77895575,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
31,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.17296495,19.6557075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
32,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,4.741594,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.17296495,19.6557075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
33,0,0,0,6.90922925,0,0,0,10.99481625,,2.2003696,2.1328736,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.17296495,19.6557075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
34,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,2.1328736,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,206.07027155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
35,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,1.6823378,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,206.07027155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,2.7921982,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
36,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,3.0819074,8.3416025,3.509792,182.39002155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,2.7501892,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
