Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-52.00,59.76,12.53,-40.00,0.00,67.46
00:15 - 00:30,11.57,45.30,12.53,-40.00,0.00,91.55
00:30 - 00:45,-8.00,22.17,12.53,-40.00,0.00,77.10
00:45 - 01:00,-13.00,3.86,11.57,-40.00,0.00,81.91
01:00 - 01:15,-41.00,129.14,11.57,-40.00,0.00,62.65
01:15 - 01:30,-26.00,134.93,10.60,-40.00,0.00,48.19
01:30 - 01:45,-42.00,106.98,10.60,-40.00,0.00,24.10
01:45 - 02:00,-39.00,91.56,9.64,-40.00,0.00,4.82
02:00 - 02:15,107.94,72.29,8.67,-40.00,0.00,19.28
02:15 - 02:30,141.69,66.50,8.67,-40.00,0.00,28.91
02:30 - 02:45,183.13,8.67,8.67,-40.00,0.00,28.91
02:45 - 03:00,170.60,0.00,8.67,-40.00,0.00,28.91
03:00 - 03:15,153.25,71.32,8.67,-40.00,0.00,28.91
03:15 - 03:30,143.61,73.25,7.71,-40.00,0.00,28.91
03:30 - 03:45,164.81,53.01,7.71,-40.00,0.00,26.02
03:45 - 04:00,157.10,52.05,7.71,-40.00,0.00,28.91
04:00 - 04:15,182.16,62.65,7.71,-40.00,0.00,77.10
04:15 - 04:30,168.66,62.65,7.71,-40.00,0.00,38.55
04:30 - 04:45,149.40,61.68,7.71,-40.00,0.00,28.91
04:45 - 05:00,103.13,62.65,7.71,-40.00,0.00,38.55
05:00 - 05:15,41.44,9.64,7.71,-40.00,0.00,19.28
05:15 - 05:30,36.62,14.46,6.75,-40.00,0.00,14.46
05:30 - 05:45,46.25,25.06,6.75,-40.00,0.00,19.28
05:45 - 06:00,26.02,36.62,6.75,-50.00,0.00,19.28
06:00 - 06:15,0.00,48.19,6.75,-46.00,0.00,57.82
06:15 - 06:30,0.00,58.79,7.71,-44.00,0.00,67.47
06:30 - 06:45,13.49,64.57,7.71,-89.00,0.00,130.12
06:45 - 07:00,0.00,58.79,7.71,-81.00,0.00,134.93
07:00 - 07:15,54.94,98.31,7.71,-73.00,0.00,125.29
07:15 - 07:30,35.66,79.99,7.71,-63.00,0.00,72.29
07:30 - 07:45,13.49,49.15,7.71,-52.99,0.00,77.11
07:45 - 08:00,-10.00,41.44,6.75,-42.00,0.00,107.95
08:00 - 08:15,-22.00,34.70,-2.00,-43.00,0.00,91.56
08:15 - 08:30,-14.00,34.70,-4.00,-28.00,0.00,81.92
08:30 - 08:45,-35.00,54.94,0.00,-10.00,0.00,77.10
08:45 - 09:00,-45.00,55.90,0.96,-10.00,0.00,77.11
09:00 - 09:15,-30.00,58.79,3.86,-10.00,0.00,81.92
09:15 - 09:30,-22.00,22.17,2.89,0.00,0.00,86.74
09:30 - 09:45,41.44,8.67,4.82,0.00,0.00,130.12
09:45 - 10:00,63.61,8.67,4.82,0.00,0.00,130.12
10:00 - 10:15,59.76,-22.00,4.82,0.00,0.00,86.74
10:15 - 10:30,61.68,0.00,5.78,0.00,0.00,86.75
10:30 - 10:45,42.41,9.64,1.93,0.00,0.00,91.55
10:45 - 11:00,45.30,14.46,0.96,0.00,0.00,91.56
11:00 - 11:15,112.76,11.57,-1.00,0.00,0.00,77.10
11:15 - 11:30,127.23,21.20,-2.00,0.00,0.00,86.74
11:30 - 11:45,128.18,67.47,-3.00,0.00,0.00,94.45
11:45 - 12:00,141.68,72.29,-5.00,0.00,0.00,84.81
12:00 - 12:15,132.04,82.89,-4.50,0.00,0.00,57.83
12:15 - 12:30,139.76,94.45,-5.00,0.00,0.00,61.68
12:30 - 12:45,169.62,123.37,-5.00,0.00,0.00,67.47
12:45 - 13:00,180.23,129.15,-5.00,0.00,0.00,62.65
13:00 - 13:15,143.60,136.86,4.82,0.00,0.00,67.47
13:15 - 13:30,144.56,141.68,4.82,0.00,0.00,57.83
13:30 - 13:45,108.91,154.20,2.89,0.00,0.00,72.29
13:45 - 14:00,143.61,163.84,2.89,0.00,0.00,63.61
14:00 - 14:15,219.75,231.30,1.93,0.00,0.00,67.47
14:15 - 14:30,264.08,244.81,0.96,0.00,0.00,81.92
14:30 - 14:45,351.79,254.44,0.96,0.00,0.00,106.02
14:45 - 15:00,344.09,269.86,0.96,0.00,0.00,86.74
15:00 - 15:15,440.46,263.12,-2.00,0.00,0.00,150.35
15:15 - 15:30,452.99,273.72,-2.00,0.00,0.00,155.17
15:30 - 15:45,315.16,325.76,-2.00,0.00,0.00,159.03
15:45 - 16:00,284.32,323.84,-2.00,0.00,0.00,144.57
16:00 - 16:15,168.67,293.95,-5.00,0.00,0.00,72.29
16:15 - 16:30,156.14,288.17,-5.00,0.00,0.00,43.37
16:30 - 16:45,215.89,281.43,-5.00,0.00,0.00,19.28
16:45 - 17:00,163.85,262.15,-3.00,0.00,0.00,28.91
17:00 - 17:15,180.23,271.79,6.75,0.00,0.00,38.55
17:15 - 17:30,196.62,283.35,6.75,0.00,0.00,38.55
17:30 - 17:45,202.40,239.98,7.23,0.00,0.00,38.55
17:45 - 18:00,193.72,250.59,7.23,0.00,0.00,53.01
18:00 - 18:15,144.57,222.64,7.23,-9.00,0.00,33.73
18:15 - 18:30,144.57,187.94,10.60,-25.00,0.00,106.02
18:30 - 18:45,148.43,189.86,6.36,-36.00,0.00,118.55
