Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,32.71,-37.00,7.02,0.00,-42.00
00:15 - 00:30,-6.00,-59.00,6.35,0.00,-65.00
00:30 - 00:45,-18.00,-56.00,6.06,0.00,-73.00
00:45 - 01:00,-40.00,-60.00,5.77,0.00,-67.00
01:00 - 01:15,20.21,-76.00,5.48,0.00,-63.00
01:15 - 01:30,0.00,-55.00,5.10,0.00,-67.00
01:30 - 01:45,-71.00,-70.00,4.04,0.00,-42.00
01:45 - 02:00,-87.00,-80.00,3.85,0.00,-43.00
02:00 - 02:15,-40.00,-75.00,3.85,0.00,-62.00
02:15 - 02:30,-22.00,-72.00,3.85,0.00,-61.00
02:30 - 02:45,-8.00,-58.00,3.85,0.00,-73.00
02:45 - 03:00,-12.00,-56.00,3.85,0.00,-69.00
03:00 - 03:15,-12.00,-59.00,3.85,0.00,-66.00
03:15 - 03:30,-13.00,-54.00,3.85,0.00,-64.00
03:30 - 03:45,-26.00,-62.00,3.85,0.00,-59.00
03:45 - 04:00,-17.00,-62.00,4.23,0.00,-56.00
04:00 - 04:15,-5.00,-54.00,4.33,0.00,-59.00
04:15 - 04:30,0.00,-52.00,5.00,0.00,-54.00
04:30 - 04:45,0.00,-77.00,5.58,0.00,-46.00
04:45 - 05:00,-77.00,-73.00,6.93,0.00,-40.00
05:00 - 05:15,-66.00,-85.00,5.58,0.00,-33.00
05:15 - 05:30,-51.00,-105.00,8.47,0.00,20.20
05:30 - 05:45,34.63,-99.00,3.85,0.00,22.13
05:45 - 06:00,63.50,-51.00,6.73,0.00,6.73
06:00 - 06:15,-72.00,-82.00,9.62,0.00,-1.00
06:15 - 06:30,11.54,-155.00,12.51,0.00,-1.00
06:30 - 06:45,-61.00,-145.00,11.35,0.00,-33.00
06:45 - 07:00,-65.00,-102.00,12.51,0.00,-61.00
07:00 - 07:15,-50.00,-89.00,13.47,0.00,-56.00
07:15 - 07:30,-91.00,-66.00,13.75,1.64,-59.00
07:30 - 07:45,-114.00,-70.00,14.43,4.91,-12.00
07:45 - 08:00,-80.00,-72.00,15.87,4.14,-1.00
08:00 - 08:15,0.00,-47.00,10.47,2.24,-44.00
08:15 - 08:30,0.00,-36.00,10.36,3.42,-11.00
08:30 - 08:45,14.05,-42.00,12.23,4.49,-4.00
08:45 - 09:00,191.15,-56.00,14.87,7.09,-7.00
09:00 - 09:15,112.26,-20.00,9.18,2.35,3.84
09:15 - 09:30,142.50,-7.00,9.79,2.23,19.58
09:30 - 09:45,128.37,3.75,7.92,0.00,12.02
09:45 - 10:00,141.12,-5.00,8.58,0.00,0.00
10:00 - 10:15,117.62,0.00,10.13,0.00,7.39
10:15 - 10:30,139.50,3.05,11.45,0.00,19.49
10:30 - 10:45,189.83,5.84,13.51,0.00,21.90
10:45 - 11:00,270.31,70.23,17.03,0.00,27.90
11:00 - 11:15,165.47,29.82,18.18,0.00,105.82
11:15 - 11:30,165.46,-37.00,17.70,0.00,105.82
11:30 - 11:45,190.48,-54.00,16.35,0.00,28.86
11:45 - 12:00,138.53,-26.00,15.58,0.00,-20.00
12:00 - 12:15,76.96,-19.00,17.32,0.00,9.62
12:15 - 12:30,40.40,-12.00,17.32,0.00,9.62
12:30 - 12:45,36.56,0.00,19.24,0.00,67.34
12:45 - 13:00,0.00,0.00,19.24,0.00,86.58
13:00 - 13:15,-40.00,0.00,18.76,0.00,75.04
13:15 - 13:30,-32.00,0.00,17.32,0.00,76.96
13:30 - 13:45,-32.00,0.00,16.35,0.00,76.96
13:45 - 14:00,-40.00,0.00,16.35,0.00,62.53
14:00 - 14:15,0.00,-51.00,16.35,0.00,72.15
14:15 - 14:30,0.00,-54.00,15.39,0.00,52.91
14:30 - 14:45,0.00,-42.00,15.39,0.00,33.67
14:45 - 15:00,0.00,-37.00,15.39,0.00,33.67
15:00 - 15:15,0.00,-9.00,15.39,0.10,-15.00
15:15 - 15:30,0.00,-53.00,15.39,0.00,-110.00
