Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,61.79,10.62,-6.00,3.67,0.00,-20.00
00:15 - 00:30,67.59,10.62,-6.00,3.57,0.00,-20.00
00:30 - 00:45,81.10,17.38,-6.00,3.38,0.00,0.00
00:45 - 01:00,129.37,17.38,-6.00,3.19,0.00,0.00
01:00 - 01:15,94.62,43.45,-6.00,2.80,0.00,0.00
01:15 - 01:30,71.44,20.28,-6.00,2.80,0.00,-13.00
01:30 - 01:45,108.14,0.00,-6.00,2.80,0.00,21.24
01:45 - 02:00,65.65,0.00,-6.00,2.80,0.00,9.66
02:00 - 02:15,104.27,-15.00,-6.00,2.80,0.00,-5.00
02:15 - 02:30,100.41,-25.00,-6.00,2.80,0.00,-5.00
02:30 - 02:45,100.41,0.00,-6.00,2.80,0.00,0.00
02:45 - 03:00,97.52,0.00,-6.00,2.70,0.00,0.00
03:00 - 03:15,104.28,0.00,-6.00,2.70,0.00,-5.00
03:15 - 03:30,106.21,0.00,-6.00,2.70,0.00,-5.00
03:30 - 03:45,101.38,0.00,-6.00,2.70,0.00,-12.00
03:45 - 04:00,99.45,0.00,-6.00,2.70,0.00,-12.00
04:00 - 04:15,99.45,0.00,-6.00,2.70,0.00,-12.00
04:15 - 04:30,107.17,0.00,-6.00,2.80,0.00,-51.00
04:30 - 04:45,79.17,-6.00,-6.00,3.28,0.00,-73.00
04:45 - 05:00,71.44,-9.00,-6.00,3.77,0.00,-79.00
05:00 - 05:15,28.96,0.00,-6.00,4.54,0.00,-39.00
05:15 - 05:30,22.20,-9.00,-6.00,5.12,0.00,-45.00
05:30 - 05:45,28.00,-14.00,-6.00,5.99,0.00,-47.00
05:45 - 06:00,21.24,-9.00,-6.00,6.95,0.00,-44.00
06:00 - 06:15,35.73,-26.00,-6.00,7.43,0.00,-41.00
06:15 - 06:30,29.93,-30.00,-6.00,7.53,0.00,-75.00
06:30 - 06:45,-3.00,-52.00,-6.00,7.82,0.00,-48.00
06:45 - 07:00,-61.00,-72.00,-6.00,8.01,0.00,-51.00
07:00 - 07:15,-123.00,-29.00,-6.00,8.40,0.00,-54.00
07:15 - 07:30,-129.00,-49.00,-6.00,8.69,0.00,-26.00
07:30 - 07:45,-36.00,-34.00,-6.00,8.50,0.00,-5.00
07:45 - 08:00,0.00,-7.00,-6.00,8.11,0.00,-6.00
08:00 - 08:15,-13.00,-7.00,-6.00,7.53,0.00,-32.00
08:15 - 08:30,-15.00,-4.00,-6.00,7.05,0.00,-73.00
08:30 - 08:45,0.00,-30.00,-6.00,6.66,0.00,-80.00
08:45 - 09:00,0.00,-20.00,-4.08,6.37,0.00,-121.00
09:00 - 09:15,36.69,-14.00,0.00,6.47,0.00,-145.00
09:15 - 09:30,21.24,-25.00,0.00,6.47,0.00,-149.00
09:30 - 09:45,0.00,0.00,0.00,6.18,0.00,-157.00
09:45 - 10:00,-34.00,-7.00,0.00,6.76,0.00,-94.00
10:00 - 10:15,-34.00,-15.00,0.00,7.82,0.00,-102.00
10:15 - 10:30,-12.00,-15.00,-5.50,7.82,0.00,-94.00
10:30 - 10:45,-29.00,-15.00,-3.54,7.63,0.00,-130.00
10:45 - 11:00,-21.00,-20.00,-5.50,7.53,0.00,-130.00
11:00 - 11:15,17.38,-10.00,0.00,7.53,0.00,-150.00
11:15 - 11:30,8.69,-10.00,0.00,7.92,0.00,-160.00
11:30 - 11:45,8.69,0.00,-5.50,7.14,0.00,-140.00
11:45 - 12:00,-40.00,0.00,-5.50,9.94,0.00,-140.00
12:00 - 12:15,-76.00,0.00,-0.51,2.90,-10.00,-130.00
12:15 - 12:30,-32.00,0.00,-5.50,3.09,-10.00,-130.00
