Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-297.00,-140.00,-0.50,24.15,-48.00,0.00,0.00,-95.00
00:15 - 00:30,-240.00,-144.00,-0.50,24.15,-48.00,0.00,0.00,-35.00
00:30 - 00:45,-143.00,-167.00,-0.50,24.15,-49.00,0.00,0.00,26.08
00:45 - 01:00,-47.00,-188.00,-0.50,24.15,-49.00,0.00,0.00,-3.00
01:00 - 01:15,-116.00,-209.00,-0.50,23.18,-47.00,0.00,0.00,9.66
01:15 - 01:30,-205.00,-232.00,-0.50,23.18,-47.00,0.00,0.00,9.66
01:30 - 01:45,-240.00,-139.00,-0.50,23.18,-49.00,0.00,0.00,0.00
01:45 - 02:00,-225.00,-141.00,-0.50,22.22,-51.00,0.00,0.00,0.00
02:00 - 02:15,-241.00,-212.00,-0.50,22.22,-21.00,0.00,0.00,-11.00
02:15 - 02:30,-242.00,-220.00,-0.50,22.22,-21.00,0.00,0.00,-36.00
02:30 - 02:45,-223.00,-225.00,-0.50,21.25,-20.00,0.00,0.00,-59.00
02:45 - 03:00,-193.00,-206.00,-0.50,21.25,-17.00,0.00,0.00,-45.00
03:00 - 03:15,-170.00,-105.00,-0.50,21.25,-17.00,0.00,0.00,-36.00
03:15 - 03:30,-166.99,-76.00,-0.50,20.29,-17.00,0.00,0.00,-19.00
03:30 - 03:45,-185.00,-52.00,-0.50,20.29,-14.00,0.00,0.00,-50.00
03:45 - 04:00,-208.00,-50.00,-0.50,20.29,-13.00,0.00,0.00,-70.00
04:00 - 04:15,-202.00,-87.00,-0.50,20.29,-17.00,0.00,0.00,9.66
04:15 - 04:30,-224.00,-85.00,-0.50,20.29,-17.00,0.00,0.00,0.00
04:30 - 04:45,-221.00,-75.00,-0.50,19.32,-16.00,0.00,0.00,2.90
04:45 - 05:00,-231.00,-39.00,-0.50,19.32,-15.00,0.00,0.00,-10.00
05:00 - 05:15,-219.00,-5.00,-0.50,19.32,-16.00,0.00,0.00,-4.00
05:15 - 05:30,-238.00,-7.00,-0.50,19.32,-17.00,0.00,0.00,-22.00
05:30 - 05:45,-221.00,0.00,-0.50,19.32,-17.00,0.00,0.00,-38.00
05:45 - 06:00,-211.00,0.00,-0.50,19.32,-17.00,0.00,0.00,-57.00
06:00 - 06:15,-236.00,-22.00,-0.50,19.32,-16.00,0.00,0.00,-70.00
06:15 - 06:30,-246.00,-23.00,-0.50,19.32,-15.00,0.00,0.00,-80.00
06:30 - 06:45,-236.00,0.00,-0.50,19.32,-15.00,0.00,0.00,-115.00
06:45 - 07:00,-250.00,-37.00,-0.50,20.29,-15.00,0.00,0.00,-137.00
07:00 - 07:15,-399.00,-29.00,-0.50,20.29,-16.00,0.00,0.00,-140.00
