Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,38.55,35.66,1.06,-1.80,9.35,-10.00,0.29,-48.00
00:15 - 00:30,28.91,29.88,1.06,-1.80,9.16,-10.00,0.29,-67.00
00:30 - 00:45,57.83,14.46,1.06,-1.80,8.96,-10.00,0.29,-68.00
00:45 - 01:00,63.61,14.46,1.06,-1.80,8.96,-10.00,0.29,-67.00
01:00 - 01:15,67.46,42.41,1.06,-1.80,8.77,-10.00,0.29,-40.00
01:15 - 01:30,64.58,44.33,1.06,-1.80,8.67,-10.00,0.29,-4.00
01:30 - 01:45,-13.00,29.87,1.06,-1.80,8.58,-10.00,0.29,-43.00
01:45 - 02:00,-21.00,28.91,1.06,-1.80,8.48,-10.00,0.29,-56.00
02:00 - 02:15,-39.00,0.00,1.06,-1.80,8.48,-10.00,0.29,-28.00
02:15 - 02:30,23.13,0.00,1.06,-1.80,8.39,-10.00,0.29,-14.00
02:30 - 02:45,52.04,0.00,1.06,-1.80,8.29,-10.00,0.29,-41.00
02:45 - 03:00,49.16,0.00,1.06,-1.80,8.19,-10.00,0.29,-59.00
03:00 - 03:15,56.87,0.00,1.06,-1.80,8.19,-10.00,0.29,-16.00
03:15 - 03:30,68.43,0.00,1.06,-1.80,8.19,-10.00,0.29,-22.00
03:30 - 03:45,71.32,0.00,1.06,-1.80,8.19,-10.00,0.29,-33.00
03:45 - 04:00,71.32,0.00,1.06,-1.80,8.19,-10.00,0.29,-40.00
04:00 - 04:15,50.12,0.00,1.06,-1.80,8.29,-10.00,0.29,-58.00
04:15 - 04:30,29.88,0.00,1.06,-1.80,8.67,-10.00,0.29,-62.00
04:30 - 04:45,30.84,0.00,1.06,-1.80,8.96,-10.00,0.29,-67.00
04:45 - 05:00,53.97,0.00,1.06,-1.80,9.54,-10.00,0.29,-49.00
05:00 - 05:15,58.79,0.00,1.06,-1.80,10.70,-10.00,0.29,-49.00
05:15 - 05:30,66.50,0.00,1.06,-1.80,11.18,-10.00,0.29,-51.00
05:30 - 05:45,74.21,0.00,1.06,-1.80,13.11,-10.00,0.29,-35.00
05:45 - 06:00,65.53,0.00,1.06,-1.80,15.04,-10.00,0.29,-42.00
06:00 - 06:15,47.23,0.00,1.06,-1.80,15.71,-10.00,0.29,-38.00
06:15 - 06:30,38.55,0.00,1.06,-1.80,16.29,-10.00,0.29,-39.00
06:30 - 06:45,52.05,0.00,1.06,-1.80,16.48,-10.00,0.29,-32.00
06:45 - 07:00,65.54,0.00,1.06,-1.80,16.38,-10.00,0.29,-30.00
07:00 - 07:15,63.61,-10.00,1.06,-1.80,16.19,-10.00,0.29,-19.00
07:15 - 07:30,52.05,-10.00,1.06,-1.80,15.32,-10.00,0.29,-22.00
07:30 - 07:45,53.01,0.00,1.06,-1.80,14.94,-10.00,0.29,-30.00
07:45 - 08:00,29.88,-15.00,1.06,-1.80,14.07,-10.00,0.29,-38.00
08:00 - 08:15,57.82,-31.00,1.06,-1.80,13.40,-10.00,0.29,-27.00
08:15 - 08:30,34.69,-21.00,1.06,-1.80,13.40,0.00,0.29,-19.00
08:30 - 08:45,26.99,-39.00,1.06,-1.80,13.59,0.00,0.29,-14.00
08:45 - 09:00,14.45,-20.00,1.06,-1.80,13.11,0.00,0.29,-36.00
09:00 - 09:15,0.00,-33.00,1.06,-0.80,14.46,-20.00,0.29,-20.00
09:15 - 09:30,0.00,-35.00,1.06,-0.80,14.36,-15.00,0.29,51.08
09:30 - 09:45,50.11,0.00,1.06,-0.80,13.98,0.00,0.29,-15.00
09:45 - 10:00,51.08,0.00,1.06,-0.80,13.69,0.00,0.29,2.89
10:00 - 10:15,69.39,15.42,1.06,-0.80,13.40,0.00,0.29,-2.00
10:15 - 10:30,92.53,28.91,1.06,-0.80,13.78,0.00,0.29,-2.00
10:30 - 10:45,92.53,0.00,1.06,-0.80,13.01,0.00,0.29,-35.00
10:45 - 11:00,78.06,0.00,1.06,-0.80,13.98,0.00,0.29,-4.00
11:00 - 11:15,113.73,9.64,1.06,-0.80,14.84,0.00,0.29,4.82
11:15 - 11:30,104.09,9.64,1.06,-0.80,15.71,0.00,0.29,9.64
11:30 - 11:45,49.15,0.00,1.06,-0.80,14.94,0.00,0.29,19.28
11:45 - 12:00,37.59,0.00,1.06,-0.80,13.49,0.00,0.29,19.28
12:00 - 12:15,25.06,14.46,1.06,-0.80,12.53,0.00,0.29,53.00
12:15 - 12:30,33.73,0.00,1.06,-0.80,12.14,0.00,0.29,81.93
12:30 - 12:45,47.23,0.00,1.06,-0.80,12.05,0.00,0.29,115.65
12:45 - 13:00,41.44,0.00,1.06,-0.80,13.49,0.00,0.29,115.66
13:00 - 13:15,48.19,0.00,1.06,-0.80,12.05,0.00,0.29,139.75
13:15 - 13:30,48.19,0.00,1.06,-0.80,11.08,0.00,0.29,139.75
13:30 - 13:45,13.49,0.00,1.06,-0.80,9.64,0.00,0.29,125.29
13:45 - 14:00,18.31,0.00,1.06,-0.80,8.67,0.00,0.29,125.30
14:00 - 14:15,8.67,0.00,1.06,-0.80,8.67,0.00,0.29,139.76
14:15 - 14:30,20.24,0.00,1.06,-0.80,8.67,0.00,0.29,139.75
14:30 - 14:45,9.64,0.00,1.06,-0.80,9.16,0.00,0.29,154.20
14:45 - 15:00,9.64,0.00,1.06,-0.80,11.08,0.00,0.29,159.03
15:00 - 15:15,23.13,0.00,1.06,-0.80,12.53,0.00,0.29,144.57
15:15 - 15:30,26.99,0.00,1.06,-0.80,11.57,0.00,0.29,144.56
15:30 - 15:45,39.52,14.46,1.06,-0.80,10.60,0.00,0.29,91.55
15:45 - 16:00,35.66,9.64,1.06,-0.80,11.08,0.00,0.29,62.65
16:00 - 16:15,34.69,14.46,1.06,-0.80,11.57,0.00,0.29,14.46
16:15 - 16:30,29.88,16.38,1.06,-0.80,13.01,0.00,0.29,-50.00
16:30 - 16:45,53.97,32.77,1.06,-0.80,13.49,0.00,0.29,-145.00
16:45 - 17:00,59.76,49.15,1.06,-0.80,13.49,0.00,0.29,115.66
17:00 - 17:15,23.13,49.15,1.06,-0.80,13.98,0.00,0.29,-30.00
17:15 - 17:30,22.17,77.10,1.06,-0.80,14.46,0.00,0.29,-25.00
17:30 - 17:45,-8.00,32.77,0.58,-0.80,14.94,0.00,0.29,-50.00
17:45 - 18:00,-42.00,17.35,0.58,-0.80,15.42,0.00,0.00,-55.00
18:00 - 18:15,-38.00,59.75,0.58,-0.80,15.42,0.00,0.00,-40.00
18:15 - 18:30,-33.00,69.39,0.58,-0.80,15.42,0.00,0.00,-70.00
18:30 - 18:45,-18.00,67.60,0.48,-0.80,12.72,0.00,0.00,-65.00
18:45 - 19:00,-9.00,56.79,0.41,-0.80,10.74,0.00,0.00,-85.00
19:00 - 19:15,0.00,94.81,0.56,-0.80,13.95,0.00,0.00,-90.00
19:15 - 19:30,0.00,94.45,0.58,-0.80,14.46,0.00,0.00,-110.00
19:30 - 19:45,4.82,92.52,0.58,-0.80,13.49,0.00,0.05,-90.00
19:45 - 20:00,14.46,106.98,0.58,-0.80,13.49,0.00,0.29,-80.00
20:00 - 20:15,37.59,110.84,1.06,-0.80,12.53,0.00,0.29,28.91
20:15 - 20:30,0.00,86.74,1.06,-0.80,12.53,0.00,0.29,33.73
20:30 - 20:45,15.42,90.60,1.06,-0.80,11.57,0.00,0.29,33.73
20:45 - 21:00,14.46,88.66,1.06,-0.80,11.57,0.00,0.29,48.19
21:00 - 21:15,5.78,91.56,1.06,-0.80,11.57,0.00,0.29,43.37
21:15 - 21:30,13.49,87.70,1.06,-0.80,11.57,0.00,0.29,57.83
21:30 - 21:45,0.00,68.43,1.06,-0.80,10.60,0.00,0.29,33.73
21:45 - 22:00,0.00,72.29,1.06,-0.80,10.60,0.00,0.29,43.37
22:00 - 22:15,47.23,71.32,1.06,-1.80,8.67,0.00,0.29,33.73
22:15 - 22:30,61.68,73.26,1.06,-1.80,8.67,0.00,0.29,38.55
22:30 - 22:45,53.97,59.76,1.06,-1.80,8.67,0.00,0.29,34.70
22:45 - 23:00,50.12,51.08,1.06,-1.80,8.67,0.00,0.29,32.77
23:00 - 23:15,53.98,44.33,1.06,-1.80,7.71,0.00,0.29,13.49
23:15 - 23:30,50.11,42.41,1.06,-1.80,7.71,0.00,0.29,17.35
23:30 - 23:45,-21.00,9.64,1.06,-1.80,7.71,0.00,0.29,4.82
23:45 - 24:00,-41.00,9.64,1.06,-1.80,7.71,0.00,0.29,-8.00
