Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,49.16,109.90,0.77,-1.80,7.71,0.00,0.29,-40.00
00:15 - 00:30,39.52,103.15,0.77,-1.80,7.71,0.00,0.29,38.56
00:30 - 00:45,49.16,101.22,0.77,-1.80,7.33,0.00,0.29,33.74
00:45 - 01:00,51.09,106.04,0.77,-1.80,7.33,0.00,0.29,33.74
01:00 - 01:15,58.80,167.74,0.77,-1.80,6.75,0.00,0.29,38.56
01:15 - 01:30,75.19,185.09,0.77,-1.80,6.75,0.00,0.29,43.38
01:30 - 01:45,58.80,178.34,0.77,-1.80,6.75,0.00,0.29,53.02
01:45 - 02:00,58.80,177.38,0.77,-1.80,6.75,0.00,0.29,53.02
02:00 - 02:15,46.27,51.09,0.77,-1.80,6.75,0.00,0.29,57.84
02:15 - 02:30,5.78,42.42,0.77,-1.80,6.75,0.00,0.29,67.48
02:30 - 02:45,54.95,42.42,0.77,-1.80,6.75,0.00,0.29,57.83
02:45 - 03:00,63.62,35.67,0.77,-1.80,6.75,0.00,0.29,67.48
03:00 - 03:15,54.95,51.09,0.77,-1.80,6.75,0.00,0.29,72.30
03:15 - 03:30,61.70,62.66,0.77,-1.80,6.75,0.00,0.29,67.47
03:30 - 03:45,69.41,57.84,0.77,-1.80,6.75,0.00,0.29,43.38
03:45 - 04:00,73.26,52.06,0.77,-1.80,6.75,0.00,0.29,43.38
04:00 - 04:15,68.45,39.52,0.77,-1.80,6.75,0.00,0.29,38.56
04:15 - 04:30,68.45,39.52,0.77,-1.80,6.75,0.00,0.29,38.56
04:30 - 04:45,67.48,22.17,0.77,-1.80,6.75,0.00,0.29,38.56
04:45 - 05:00,65.56,22.17,0.77,-1.80,7.71,0.00,0.29,38.56
05:00 - 05:15,63.62,30.85,0.77,-1.80,7.71,0.00,0.29,33.74
05:15 - 05:30,112.79,50.13,0.77,-1.80,7.71,0.00,0.29,33.74
05:30 - 05:45,115.68,48.20,0.77,-1.80,8.68,0.00,0.29,33.74
05:45 - 06:00,144.60,46.27,0.77,-1.80,9.64,0.00,0.29,33.74
06:00 - 06:15,173.52,44.34,0.77,-1.80,9.64,0.00,0.29,33.74
06:15 - 06:30,109.90,23.14,0.77,-1.80,10.60,0.00,0.29,24.10
06:30 - 06:45,113.76,62.66,0.77,-1.80,10.60,0.00,0.29,-5.00
06:45 - 07:00,106.04,57.84,0.77,-1.80,11.18,0.00,0.29,-5.00
07:00 - 07:15,94.47,67.48,0.77,-1.80,11.18,0.00,0.29,9.64
07:15 - 07:30,72.30,62.66,0.77,-1.80,11.57,0.00,0.29,9.64
07:30 - 07:45,65.55,33.74,0.77,-1.80,11.57,0.00,0.29,77.12
07:45 - 08:00,80.98,30.85,0.77,-1.80,11.57,0.00,0.29,81.93
08:00 - 08:15,53.99,26.99,0.77,-1.80,10.60,0.00,0.29,48.20
08:15 - 08:30,65.55,26.03,0.77,-1.80,10.60,0.00,0.29,48.20
08:30 - 08:45,92.55,20.24,0.77,-1.80,10.60,0.00,0.29,28.92
08:45 - 09:00,77.12,24.10,0.77,-1.80,10.60,0.00,0.29,19.28
09:00 - 09:15,93.51,48.20,0.77,-1.00,10.60,0.00,0.29,33.74
09:15 - 09:30,96.40,55.91,0.77,-1.00,10.60,0.10,0.29,77.12
09:30 - 09:45,21.21,19.28,0.77,-1.00,9.64,0.00,0.29,101.22
09:45 - 10:00,1.93,17.35,0.77,-1.00,9.64,0.00,0.29,106.04
10:00 - 10:15,16.39,24.10,0.77,-1.00,8.68,0.00,0.29,43.37
10:15 - 10:30,7.71,24.10,0.77,-1.00,8.68,0.00,0.29,43.38
10:30 - 10:45,38.56,14.46,0.77,-1.00,7.71,0.00,0.29,53.02
10:45 - 11:00,35.67,16.39,0.77,-1.00,6.75,0.00,0.29,53.01
11:00 - 11:15,31.81,19.28,0.77,-1.00,6.75,0.00,0.29,24.10
11:15 - 11:30,28.92,28.92,0.77,-1.00,5.78,0.00,0.29,24.10
11:30 - 11:45,11.57,28.92,0.77,-1.00,5.78,0.00,0.29,0.00
11:45 - 12:00,5.78,38.56,0.77,-1.00,4.82,0.00,0.29,0.00
12:00 - 12:15,0.00,47.23,0.77,-1.00,6.75,0.00,0.29,0.00
12:15 - 12:30,0.00,51.09,0.77,-1.00,6.27,0.00,0.29,0.00
12:30 - 12:45,0.00,35.67,0.77,-1.00,5.78,0.00,0.29,0.00
12:45 - 13:00,0.00,31.81,0.77,-1.00,5.30,0.00,0.29,0.00
13:00 - 13:15,-15.00,20.25,0.77,-1.00,5.78,0.00,0.29,-20.00
13:15 - 13:30,-14.00,12.54,0.77,-1.00,5.78,0.00,0.29,0.00
13:30 - 13:45,0.00,3.86,0.77,-1.00,5.78,0.00,0.29,43.38
13:45 - 14:00,0.00,8.68,0.77,-1.00,5.78,0.00,0.29,43.38
14:00 - 14:15,-15.00,23.14,0.77,-1.00,6.27,0.00,0.29,28.91
14:15 - 14:30,-13.00,37.59,0.77,-1.00,6.75,0.00,0.29,9.64
14:30 - 14:45,18.32,38.56,0.77,-1.00,7.23,0.00,0.29,9.64
14:45 - 15:00,21.21,57.84,0.77,-1.00,7.71,0.00,0.29,0.00
15:00 - 15:15,16.39,67.48,0.77,-1.00,7.71,0.00,0.29,-15.00
15:15 - 15:30,5.78,77.12,0.77,-1.00,8.19,0.00,0.29,115.69
15:30 - 15:45,1.93,104.11,0.77,-1.00,8.68,0.00,0.29,-60.00
15:45 - 16:00,3.86,115.68,0.77,-1.00,10.60,0.00,0.29,-60.00
16:00 - 16:15,0.00,129.17,0.77,-1.00,11.57,0.00,0.29,-31.00
16:15 - 16:30,0.00,147.49,0.77,-1.00,12.05,3.86,0.29,-11.00
16:30 - 16:45,0.00,181.23,0.77,-1.00,13.50,0.00,0.29,9.64
16:45 - 17:00,0.00,209.18,0.77,-1.00,13.50,0.00,0.29,106.04
17:00 - 17:15,17.35,289.20,0.29,-1.00,13.98,0.00,0.14,43.38
17:15 - 17:30,56.88,216.89,0.29,-1.00,13.98,0.00,0.00,48.20
