Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,30.59,0.00,-0.80,13.38,0.00,-89.00
00:15 - 00:30,-25.00,0.00,-0.80,12.71,0.00,-88.00
00:30 - 00:45,-66.00,13.38,-0.80,12.33,0.00,-79.00
00:45 - 01:00,-92.00,11.47,-0.80,11.85,0.00,-82.00
01:00 - 01:15,-103.00,4.78,-0.80,11.85,0.00,-82.00
01:15 - 01:30,-99.00,1.91,-0.80,11.47,0.00,-82.00
01:30 - 01:45,-122.00,0.00,-0.80,11.18,0.00,-128.00
01:45 - 02:00,-118.00,0.00,-0.80,10.99,0.00,-128.00
02:00 - 02:15,-115.00,0.00,-0.80,10.90,0.00,-129.00
02:15 - 02:30,-113.00,0.00,-0.80,10.90,0.00,-129.00
02:30 - 02:45,-102.00,0.00,-0.80,10.80,0.00,-130.00
02:45 - 03:00,-101.00,0.00,-0.80,10.71,0.00,-130.00
03:00 - 03:15,-105.00,0.00,-0.80,10.71,0.00,-150.00
03:15 - 03:30,-113.00,0.00,-0.80,10.80,0.00,-151.00
03:30 - 03:45,-137.00,0.00,-0.80,10.80,0.00,-154.00
03:45 - 04:00,-138.00,0.00,-0.80,11.38,0.00,-154.00
04:00 - 04:15,-137.00,0.00,-0.80,12.04,0.00,-137.00
04:15 - 04:30,-137.00,0.00,-0.80,12.04,0.00,-136.00
04:30 - 04:45,-144.00,0.00,-0.80,12.43,0.00,-132.00
04:45 - 05:00,-144.00,0.00,-0.80,12.71,0.00,-132.00
05:00 - 05:15,-119.00,0.00,-0.80,7.36,0.00,-80.00
05:15 - 05:30,-91.00,0.00,-0.80,9.46,0.00,-80.00
05:30 - 05:45,-33.00,0.00,-0.80,11.76,0.00,-86.00
05:45 - 06:00,2.87,-18.00,-0.80,14.81,0.00,-88.00
06:00 - 06:15,0.00,0.00,-0.80,17.97,0.00,-97.00
06:15 - 06:30,30.59,0.00,-0.80,19.40,0.00,-130.00
06:30 - 06:45,71.69,10.51,-0.80,22.18,0.00,-38.00
06:45 - 07:00,69.78,14.34,-0.80,23.42,4.01,-144.00
07:00 - 07:15,27.67,14.96,-0.80,18.70,0.37,-228.00
07:15 - 07:30,36.36,19.15,-0.80,10.72,0.50,-243.00
07:30 - 07:45,53.57,56.59,-0.80,4.55,0.29,-242.00
07:45 - 08:00,88.51,78.63,-0.80,4.64,0.00,-210.00
08:00 - 08:15,76.52,-25.00,-0.80,4.34,0.04,-170.00
08:15 - 08:30,56.34,-17.00,-0.80,5.08,0.60,-155.00
08:30 - 08:45,-79.00,-21.00,-0.80,9.26,0.39,-137.00
08:45 - 09:00,-67.00,-45.00,-0.80,12.02,0.00,-133.00
09:00 - 09:15,-27.00,-109.00,-0.80,12.60,0.00,-133.00
09:15 - 09:30,-38.00,-94.00,-0.80,14.85,0.00,-151.00
09:30 - 09:45,-61.00,-106.00,-0.80,22.94,0.00,-263.00
09:45 - 10:00,-51.00,-102.00,-0.80,22.94,0.00,-251.00
10:00 - 10:15,-64.00,-60.00,0.00,21.79,0.00,-343.00
10:15 - 10:30,-72.00,-30.00,0.00,21.32,0.00,-337.00
10:30 - 10:45,-68.00,-10.00,0.00,20.84,0.00,-230.00
10:45 - 11:00,-53.00,-30.00,0.00,20.65,0.00,-200.00
11:00 - 11:15,-46.00,-45.00,0.00,23.71,0.00,-165.00
11:15 - 11:30,-10.00,-38.00,0.00,23.42,0.00,-175.00
11:30 - 11:45,-52.00,-25.00,0.00,20.07,0.00,-190.00
11:45 - 12:00,-47.00,-30.00,0.00,19.12,0.00,-230.00
12:00 - 12:15,-146.00,-40.00,0.00,16.25,0.00,-210.00
12:15 - 12:30,-164.00,-50.00,0.00,16.25,0.00,-215.00
12:30 - 12:45,-149.00,-62.00,0.00,14.34,0.00,-240.00
12:45 - 13:00,-149.00,-51.00,0.00,13.38,0.00,-230.00
13:00 - 13:15,-135.00,-73.00,0.00,11.47,0.00,-305.00
13:15 - 13:30,-166.00,-71.00,0.00,10.51,0.00,-320.00
13:30 - 13:45,-140.00,-55.00,0.00,10.51,0.00,-320.00
13:45 - 14:00,-157.00,-42.00,0.00,9.56,0.00,-325.00
14:00 - 14:15,-126.00,-30.00,0.00,8.60,0.00,-275.00
14:15 - 14:30,-133.00,-35.00,0.00,8.60,0.00,-270.00
14:30 - 14:45,-14.00,-45.00,0.00,8.60,0.00,-235.00
14:45 - 15:00,-69.00,-35.00,0.00,8.60,0.00,-255.00
15:00 - 15:15,-95.00,-15.00,0.00,8.60,0.00,-220.00
15:15 - 15:30,-114.00,0.00,0.00,8.60,0.00,-200.00
15:30 - 15:45,-125.00,0.00,0.00,8.60,0.00,-205.00
15:45 - 16:00,-99.00,-30.00,0.00,8.60,0.00,0.00
16:00 - 16:15,-124.00,-32.00,0.00,10.51,0.00,-65.00
16:15 - 16:30,-133.00,-104.00,0.00,10.51,0.00,-155.00
16:30 - 16:45,-139.00,-114.00,0.00,11.47,0.00,-230.00
16:45 - 17:00,-136.00,-107.00,0.00,11.40,0.00,-255.00
17:00 - 17:15,-86.00,-101.00,0.00,13.21,0.00,-222.00
17:15 - 17:30,-64.00,-100.00,0.00,10.25,1.99,-186.00
17:30 - 17:45,-45.00,-73.00,0.00,8.46,1.19,-170.00
17:45 - 18:00,-23.00,-76.00,0.00,6.17,0.72,-130.00
18:00 - 18:15,-16.00,29.57,0.00,1.67,0.73,-89.00
18:15 - 18:30,0.59,41.61,0.00,1.25,0.31,-79.00
18:30 - 18:45,-44.00,32.34,0.00,1.25,0.31,-104.00
18:45 - 19:00,-23.00,23.04,0.00,1.25,0.08,-95.00
19:00 - 19:15,0.00,7.86,0.00,1.34,0.34,-86.00
19:15 - 19:30,0.00,0.00,0.00,1.67,0.11,-100.00
19:30 - 19:45,27.68,-26.00,0.00,3.99,1.05,-111.00
19:45 - 20:00,49.38,-17.00,0.00,8.75,2.83,-144.00
20:00 - 20:15,49.71,-30.00,0.00,12.43,5.16,-90.00
20:15 - 20:30,100.37,-22.00,0.00,12.43,0.00,-40.00
20:30 - 20:45,176.84,-17.00,0.00,23.90,0.00,77.43
20:45 - 21:00,35.37,-19.00,0.00,23.90,0.00,100.37
21:00 - 21:15,31.55,0.00,0.00,22.94,0.00,15.29
21:15 - 21:30,91.76,0.00,0.00,21.99,0.00,-7.00
21:30 - 21:45,162.50,0.00,0.00,20.84,0.00,21.03
21:45 - 22:00,209.35,0.00,0.00,20.07,0.00,9.56
22:00 - 22:15,-29.00,11.47,0.00,18.93,0.00,-83.00
22:15 - 22:30,51.61,38.24,0.00,17.02,0.00,32.50
22:30 - 22:45,80.29,35.37,0.00,14.34,0.00,38.24
22:45 - 23:00,77.43,36.32,0.00,13.38,0.00,49.71
23:00 - 23:15,79.35,31.54,0.00,10.51,0.00,39.19
23:15 - 23:30,54.49,30.59,0.00,10.32,0.00,11.47
23:30 - 23:45,37.28,21.99,0.00,8.60,0.00,35.37
23:45 - 24:00,20.07,20.07,0.00,7.65,0.00,52.58
