Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,175.46,0.00,0.67,-1.50,10.31,0.29,36.63
00:15 - 00:30,174.49,0.00,0.67,-1.50,10.31,0.29,30.85
00:30 - 00:45,167.74,0.00,0.67,-1.50,10.31,0.29,19.28
00:45 - 01:00,178.35,0.00,0.67,-1.50,10.12,0.29,19.28
01:00 - 01:15,161.95,0.00,0.67,-1.50,9.16,0.29,19.28
01:15 - 01:30,158.10,0.00,0.67,-1.50,8.97,0.29,19.28
01:30 - 01:45,165.81,0.00,0.67,-1.50,8.97,0.29,0.00
01:45 - 02:00,167.74,0.00,0.67,-1.50,8.68,0.29,-20.00
02:00 - 02:15,157.13,-28.00,0.67,-1.50,6.75,0.29,9.64
02:15 - 02:30,156.17,-30.00,0.67,-1.50,6.75,0.29,4.82
02:30 - 02:45,153.28,-18.00,0.67,-1.50,8.19,0.29,-15.00
02:45 - 03:00,150.39,-15.00,0.67,-1.50,7.71,0.29,-30.00
03:00 - 03:15,152.32,-25.00,0.67,-1.50,7.71,0.29,-25.00
03:15 - 03:30,155.21,-30.00,0.67,-1.50,7.42,0.29,-15.00
03:30 - 03:45,151.35,0.00,0.67,-1.50,7.42,0.29,-32.00
03:45 - 04:00,149.43,0.00,0.67,-1.50,7.42,0.29,-30.00
04:00 - 04:15,158.10,0.00,0.67,-1.50,7.42,0.29,54.95
04:15 - 04:30,161.96,0.00,0.67,-1.50,7.42,0.29,0.00
04:30 - 04:45,157.14,0.00,0.67,-1.50,7.71,0.29,0.00
04:45 - 05:00,157.14,0.00,0.67,-1.50,7.71,0.29,0.00
05:00 - 05:15,89.65,0.00,0.67,-1.50,8.68,0.29,-4.00
05:15 - 05:30,93.51,0.00,0.67,-1.50,8.97,0.29,39.52
05:30 - 05:45,119.54,0.00,0.67,-1.50,9.64,0.29,27.96
05:45 - 06:00,128.22,0.00,0.67,-1.50,10.12,0.29,-28.00
06:00 - 06:15,142.68,0.00,0.67,-1.50,10.60,0.29,-45.00
06:15 - 06:30,146.53,0.00,0.67,-1.50,10.99,0.29,33.74
06:30 - 06:45,134.00,0.00,0.67,-1.50,12.05,0.29,-60.00
06:45 - 07:00,82.91,0.00,0.67,-1.50,12.82,0.29,-78.00
07:00 - 07:15,123.39,0.00,0.67,-1.50,13.50,0.29,7.71
07:15 - 07:30,105.08,0.00,0.67,-1.50,13.69,0.29,19.28
07:30 - 07:45,80.01,0.00,0.67,-1.50,13.88,0.29,101.23
07:45 - 08:00,99.30,0.00,0.67,-1.50,12.82,0.29,57.84
08:00 - 08:15,99.30,9.64,0.67,-1.50,12.05,0.29,67.48
08:15 - 08:30,107.01,9.64,0.67,-1.50,12.53,0.29,77.12
08:30 - 08:45,64.59,0.00,0.67,-1.50,12.53,0.29,-25.00
08:45 - 09:00,52.06,0.00,0.67,-1.50,12.24,0.29,-40.00
09:00 - 09:15,69.41,-36.00,0.67,-0.50,11.09,0.29,-70.00
09:15 - 09:30,45.32,-42.00,0.67,-0.50,10.60,0.29,28.92
09:30 - 09:45,26.03,-51.00,0.67,-0.50,11.38,0.29,19.28
09:45 - 10:00,76.16,-15.00,0.67,-0.50,11.38,0.29,19.28
10:00 - 10:15,93.51,-12.00,0.67,-0.50,9.64,0.29,32.78
10:15 - 10:30,103.16,0.00,0.67,-0.50,10.60,0.29,19.28
10:30 - 10:45,80.98,-12.00,0.67,-0.50,10.60,0.29,-19.00
10:45 - 11:00,82.91,-12.00,0.67,-0.50,11.57,0.29,80.01
11:00 - 11:15,20.25,-20.00,0.67,-0.50,10.60,0.29,-53.00
11:15 - 11:30,20.24,-26.00,0.67,-0.50,8.68,0.29,-59.00
11:30 - 11:45,12.54,0.00,0.67,-0.50,9.64,0.29,-56.00
11:45 - 12:00,33.75,0.00,0.67,-0.50,10.12,0.29,-57.00
