Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,100.26,0.00,0.77,-1.50,5.78,0.00,0.29,75.19
00:15 - 00:30,98.33,0.00,0.77,-1.50,5.78,0.00,0.29,66.52
00:30 - 00:45,111.82,0.00,0.77,-1.50,5.30,0.00,0.29,59.77
00:45 - 01:00,111.83,0.00,0.77,-1.50,5.30,0.00,0.29,41.45
01:00 - 01:15,123.40,0.00,0.77,-1.50,5.30,0.00,0.29,29.88
01:15 - 01:30,122.43,0.00,0.77,-1.50,5.30,0.00,0.29,16.39
01:30 - 01:45,57.84,0.00,0.77,-1.50,5.30,0.00,0.29,3.86
01:45 - 02:00,71.33,0.00,0.77,-1.50,5.21,0.00,0.29,-10.00
02:00 - 02:15,99.29,0.00,0.77,-1.50,5.11,0.00,0.29,4.82
02:15 - 02:30,108.93,0.00,0.77,-1.50,5.11,0.00,0.29,11.57
02:30 - 02:45,130.14,0.00,0.77,-1.50,5.01,0.00,0.29,-2.00
02:45 - 03:00,127.24,0.00,0.77,-1.50,4.92,0.00,0.29,-13.00
03:00 - 03:15,89.65,0.00,0.77,-1.50,4.92,0.00,0.29,-5.00
03:15 - 03:30,78.08,0.00,0.77,-1.50,4.82,0.00,0.29,-5.00
03:30 - 03:45,73.26,0.00,0.77,-1.50,4.82,0.00,0.29,-5.00
03:45 - 04:00,73.26,0.00,0.77,-1.50,4.82,0.00,0.29,-5.00
04:00 - 04:15,80.97,0.00,0.77,-1.50,4.92,0.00,0.29,-5.00
04:15 - 04:30,80.02,0.00,0.77,-1.50,5.01,0.00,0.29,-5.00
04:30 - 04:45,37.60,0.00,0.77,-1.50,5.30,0.00,0.29,4.82
04:45 - 05:00,47.24,0.00,0.77,-1.50,5.69,0.00,0.29,2.89
05:00 - 05:15,42.42,-10.00,0.77,-1.50,6.17,0.00,0.29,-13.00
05:15 - 05:30,46.27,-10.00,0.77,-1.50,7.62,0.00,0.29,-7.00
05:30 - 05:45,92.54,0.00,0.77,-1.50,8.97,0.00,0.29,-18.00
05:45 - 06:00,88.69,7.71,0.77,-1.50,10.41,0.00,0.29,-16.00
06:00 - 06:15,75.20,0.00,0.77,-1.50,11.66,0.00,0.29,-17.00
06:15 - 06:30,68.44,0.00,0.77,-1.50,12.15,0.00,0.29,-15.00
06:30 - 06:45,0.00,0.00,0.77,-1.50,12.34,0.00,0.29,-22.00
06:45 - 07:00,0.00,0.00,0.77,-1.50,12.92,0.00,0.29,-24.00
07:00 - 07:15,-53.00,-10.00,0.77,-1.50,13.01,0.00,0.29,-34.00
07:15 - 07:30,-50.00,-8.00,0.77,-1.50,12.34,0.00,0.29,-29.00
07:30 - 07:45,-78.00,-52.00,0.77,-1.50,12.82,0.00,0.29,-97.00
07:45 - 08:00,-21.00,-50.00,0.77,-1.50,12.73,0.00,0.29,-102.00
08:00 - 08:15,49.16,-60.00,0.77,-1.50,11.57,0.00,0.29,-98.00
08:15 - 08:30,53.98,-60.00,0.77,-1.50,11.57,0.00,0.29,-99.00
08:30 - 08:45,89.65,-25.00,0.77,-1.50,12.82,0.00,0.29,-102.00
08:45 - 09:00,47.24,-35.00,0.77,-1.50,12.53,0.00,0.29,-82.00
09:00 - 09:15,82.90,0.00,0.77,-0.50,11.57,0.00,0.29,-40.00
09:15 - 09:30,93.50,0.00,0.77,-0.50,11.09,0.00,0.29,-27.00
09:30 - 09:45,127.24,0.00,0.77,-0.50,10.03,0.00,0.29,-16.00
09:45 - 10:00,125.33,0.00,0.77,-0.50,10.31,0.00,0.29,0.00
10:00 - 10:15,114.72,0.00,0.77,-0.50,12.53,0.00,0.29,-22.00
10:15 - 10:30,115.68,0.00,0.77,-0.50,11.28,0.00,0.29,-25.00
10:30 - 10:45,134.00,0.00,0.77,-0.50,14.46,0.00,0.29,-18.00
10:45 - 11:00,131.10,0.00,0.77,-0.50,14.27,0.00,0.29,-18.00
11:00 - 11:15,171.59,11.57,0.77,-0.50,13.50,0.00,0.29,28.92
11:15 - 11:30,166.77,14.46,0.77,-0.50,13.50,0.00,0.29,24.10
11:30 - 11:45,177.38,57.84,0.77,-0.50,9.64,0.00,0.29,53.02
11:45 - 12:00,168.70,57.84,0.77,-0.50,9.64,0.00,0.29,53.02
12:00 - 12:15,49.17,49.16,0.77,-0.50,12.53,0.00,0.29,28.92
12:15 - 12:30,37.60,53.02,0.77,-0.50,12.53,0.00,0.29,28.92
12:30 - 12:45,23.14,14.46,0.77,-0.50,10.60,0.00,0.29,33.74
12:45 - 13:00,18.32,0.00,0.77,-0.50,12.63,0.00,0.29,24.09
13:00 - 13:15,73.27,0.00,0.77,-0.50,11.18,0.00,0.29,-50.00
13:15 - 13:30,74.23,0.00,0.77,-0.50,12.24,0.00,0.29,-60.00
13:30 - 13:45,54.95,0.00,0.77,-0.50,9.06,0.00,0.29,19.28
