genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,89.7139925,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,9.79718355,,,,,,,0,0.49761855,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,2.2066,,,38.0628325,,0,,0,0,,,2.9098839,2.7347859,3.68744255,0,7.172198,4.64047485,
2,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,89.7139925,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0.49761855,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,2.2066,,,38.0628325,,0,,0,0,,,2.9098839,2.7347859,3.68744255,0,7.172198,4.64047485,
3,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,89.7139925,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0.49761855,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,2.2066,,,38.0628325,,0,,0,0,,,2.9098839,2.7347859,3.68744255,0,7.172198,4.64047485,
4,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,89.7139925,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0.49761855,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,2.2066,,,38.0628325,,0,,0,0,,,2.9098839,2.7347859,3.68744255,0,7.172198,4.64047485,
5,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,0.4652109,0,0,0,0,8.3372542,89.7139925,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,1.9556757,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,2.2066,,,38.0628325,,0,,0.107569,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
6,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,0.4652109,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,1.9556757,0,0,7.0844114,0,16.5886413,27.85171125,,,1.866392,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
7,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,0.4652109,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,1.9556757,0,0,7.0844114,0,16.5886413,27.85171125,,,3.734181,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
8,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,0.4652109,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,24.48672655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,1.9556757,0,0,7.0844114,0,16.5886413,27.85171125,,,11.089386,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
9,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,25.55482655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0,0,0,7.0844114,0,16.5886413,27.85171125,,,11.089386,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
10,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,25.55482655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0,0,0,7.0844114,0,16.5886413,27.85171125,,,11.089386,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
11,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,25.55482655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0,0,0,7.0844114,0,16.5886413,27.85171125,,,11.089386,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
12,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,3.92557,1.8393375,0,0,0,0,8.3372542,90.28674655,0,2.3011296,1.63449,25.55482655,,,6.360541,20.71751,,,,0,,0,,0,6.5314557,,,,,,,0,0,0,0,7.0844114,0,16.5886413,27.85171125,,,3.734181,104.5875611,1.47145625,,,38.0628325,,0,,0.875919,0,,,2.9098839,2.7347859,3.68744255,0,6.785229,4.41565245,
