Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,162.17,0.00,-1.50,0.96,24.95
00:15 - 00:30,110.35,0.00,-1.50,0.77,16.31
00:30 - 00:45,92.13,0.00,-1.50,0.67,17.27
00:45 - 01:00,91.16,0.00,-1.50,0.58,23.99
01:00 - 01:15,108.43,0.00,-1.50,0.58,17.27
01:15 - 01:30,197.68,0.00,-1.50,0.48,26.87
01:30 - 01:45,195.76,27.83,-1.50,0.38,21.11
01:45 - 02:00,194.80,22.07,-1.50,0.29,15.35
02:00 - 02:15,198.63,27.83,-1.50,0.29,34.55
02:15 - 02:30,153.54,15.35,-1.50,0.29,27.83
02:30 - 02:45,133.39,19.19,-1.50,0.19,45.10
02:45 - 03:00,132.42,19.19,-1.50,0.00,35.51
03:00 - 03:15,122.83,22.07,-1.50,0.00,32.63
03:15 - 03:30,120.91,18.23,-1.50,0.00,31.67
03:30 - 03:45,114.20,14.39,-1.50,0.00,12.47
03:45 - 04:00,112.27,8.64,-1.50,0.00,8.64
04:00 - 04:15,112.27,8.64,-1.50,0.00,13.43
04:15 - 04:30,121.87,9.60,-1.50,0.48,13.43
04:30 - 04:45,122.82,7.68,-1.50,0.67,9.60
04:45 - 05:00,118.03,9.60,-1.50,0.86,7.68
05:00 - 05:15,53.73,9.60,-1.50,1.06,2.88
05:15 - 05:30,55.65,9.60,-1.50,1.15,0.96
05:30 - 05:45,61.42,16.31,-1.50,1.25,-10.00
05:45 - 06:00,53.75,15.35,-1.50,1.34,38.38
06:00 - 06:15,0.00,-7.00,-1.50,1.44,-18.00
06:15 - 06:30,0.00,-12.00,-1.50,1.54,-4.00
06:30 - 06:45,11.51,-7.00,-1.50,1.73,-3.00
06:45 - 07:00,7.67,-5.00,-1.50,1.73,-4.00
07:00 - 07:15,-33.00,-19.00,-1.50,1.54,-27.00
07:15 - 07:30,-33.00,-21.00,-1.50,1.34,-28.00
07:30 - 07:45,0.00,-11.00,-1.50,1.06,-10.00
07:45 - 08:00,0.00,-9.00,-1.50,0.67,-4.00
08:00 - 08:15,51.82,10.56,-1.50,0.38,-16.00
08:15 - 08:30,9.60,10.55,-1.50,0.00,-3.00
08:30 - 08:45,-14.00,10.56,-1.50,0.00,23.03
08:45 - 09:00,-34.00,0.00,-1.50,0.00,15.35
09:00 - 09:15,-42.00,0.00,-1.50,2.88,15.35
09:15 - 09:30,19.19,0.00,-1.50,2.40,23.03
09:30 - 09:45,40.30,0.00,-1.50,2.02,-15.00
09:45 - 10:00,27.83,0.00,-1.50,1.63,17.27
10:00 - 10:15,13.43,0.00,-1.50,1.06,17.27
10:15 - 10:30,18.24,0.00,-1.50,0.48,13.43
10:30 - 10:45,69.09,-29.00,-1.50,0.00,19.19
10:45 - 11:00,75.81,-28.00,-1.00,-0.50,13.43
11:00 - 11:15,36.46,-14.00,0.00,0.00,9.60
11:15 - 11:30,23.03,-9.00,0.00,0.00,14.39
11:30 - 11:45,39.34,-20.00,0.00,0.00,47.98
11:45 - 12:00,34.55,-20.00,-1.00,-0.60,52.77
12:00 - 12:15,32.63,0.00,-0.16,-0.11,57.57
12:15 - 12:30,28.79,0.00,-1.00,-0.50,47.98
12:30 - 12:45,0.00,0.00,-1.00,-0.40,38.38
12:45 - 13:00,-10.00,0.00,-1.00,-0.20,38.38
13:00 - 13:15,-26.00,0.00,0.00,-0.50,33.59
13:15 - 13:30,-42.00,0.00,0.00,-0.50,9.60
13:30 - 13:45,-24.00,0.00,0.00,-1.00,52.78
13:45 - 14:00,-16.00,0.00,-1.00,-1.50,0.00
14:00 - 14:15,12.47,0.00,-1.00,-1.20,23.99
14:15 - 14:30,31.67,0.00,-1.00,-0.70,23.99
14:30 - 14:45,60.45,31.67,-1.00,-0.50,28.79
14:45 - 15:00,61.42,27.83,-0.80,-0.20,38.38
15:00 - 15:15,52.77,29.75,-0.80,0.00,52.78
15:15 - 15:30,28.79,29.75,-0.80,0.67,4.80
15:30 - 15:45,252.38,47.98,-0.80,1.34,115.15
15:45 - 16:00,271.57,45.10,-0.80,2.30,71.97
16:00 - 16:15,233.18,52.78,-0.80,2.97,76.77
16:15 - 16:30,220.70,53.74,-0.80,4.32,76.77
16:30 - 16:45,234.13,57.58,-0.80,5.28,57.58
16:45 - 17:00,240.85,57.58,-0.80,6.43,28.79
17:00 - 17:15,232.22,70.05,-0.80,7.39,47.98
17:15 - 17:30,176.58,63.33,-0.80,7.77,38.38
17:30 - 17:45,147.78,68.13,-0.80,8.92,28.79
17:45 - 18:00,187.12,75.81,-0.80,9.88,4.80
18:00 - 18:15,182.32,116.11,-0.80,10.08,0.00
18:15 - 18:30,189.04,124.75,-0.80,10.27,0.00
18:30 - 18:45,197.68,115.15,-0.80,10.27,0.00
18:45 - 19:00,183.28,105.56,-0.80,9.60,-9.00
19:00 - 19:15,162.16,53.74,-0.80,9.12,9.60
19:15 - 19:30,163.13,40.30,-0.80,8.64,9.60
