Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-10.00,0.00,-1.00,5.00,-14.00,-85.00
00:15 - 00:30,-53.00,0.00,-1.00,4.62,-14.00,-85.00
00:30 - 00:45,-88.00,0.00,-1.00,4.33,-14.00,-48.00
00:45 - 01:00,-87.00,0.00,-1.00,4.14,-14.00,-46.00
01:00 - 01:15,-98.00,0.00,-1.00,3.94,-14.00,-53.00
01:15 - 01:30,-97.00,0.00,-1.00,3.85,-14.00,-51.00
01:30 - 01:45,-91.00,0.00,-1.00,3.75,-14.00,-46.00
01:45 - 02:00,-89.00,0.00,-1.00,3.56,-14.00,-45.00
02:00 - 02:15,-52.00,0.00,-1.00,3.56,-14.00,-45.00
02:15 - 02:30,-53.00,0.00,-1.00,3.56,-14.00,-45.00
02:30 - 02:45,-65.00,0.00,-1.00,3.56,-14.00,-51.00
02:45 - 03:00,-65.00,0.00,-1.00,3.56,-14.00,-52.00
03:00 - 03:15,-74.00,0.00,-1.00,3.56,-16.00,-51.00
03:15 - 03:30,-75.00,0.00,-1.00,3.65,-17.00,-50.00
03:30 - 03:45,-77.00,0.00,-1.00,3.75,-17.00,-51.00
03:45 - 04:00,-78.00,0.00,-1.00,3.85,-17.00,-52.00
04:00 - 04:15,-87.00,0.00,-1.00,4.04,-17.00,-48.00
04:15 - 04:30,-77.00,0.00,-1.00,4.23,-17.00,-48.00
04:30 - 04:45,-68.00,0.00,-1.00,4.52,-16.00,-46.00
04:45 - 05:00,-68.00,0.00,-1.00,5.39,-16.00,-47.00
05:00 - 05:15,-55.00,0.00,-1.00,6.35,-16.00,-41.00
05:15 - 05:30,-60.00,0.00,-1.00,6.83,-14.00,-46.00
05:30 - 05:45,-23.00,0.00,-1.00,7.41,-13.00,-28.00
05:45 - 06:00,9.62,0.00,-1.00,8.56,-10.00,-57.00
06:00 - 06:15,31.73,0.00,-1.00,4.91,-17.00,-56.00
06:15 - 06:30,29.81,0.00,-1.00,6.83,-13.00,-37.00
06:30 - 06:45,38.47,-14.00,-1.00,7.79,-11.00,-75.00
06:45 - 07:00,25.01,-22.00,-1.00,8.75,-8.00,-133.00
07:00 - 07:15,11.54,-91.00,-1.00,10.39,0.00,-5.00
07:15 - 07:30,-10.00,-34.00,-1.00,11.64,0.00,-65.00
07:30 - 07:45,0.00,-44.00,-1.00,12.15,0.00,-69.00
07:45 - 08:00,-61.00,-35.00,-1.00,10.96,0.00,-53.00
08:00 - 08:15,-45.00,-45.00,-1.00,13.47,0.00,-65.00
08:15 - 08:30,-38.00,-43.00,-1.00,14.52,0.00,-35.00
08:30 - 08:45,-13.00,-61.00,-1.00,15.58,0.00,-40.00
08:45 - 09:00,-13.00,-67.00,-1.00,15.87,0.00,-56.00
09:00 - 09:15,-52.00,-56.00,-1.00,16.16,0.00,-45.00
09:15 - 09:30,-14.00,-63.00,-1.00,16.25,0.00,-43.00
09:30 - 09:45,-116.00,5.77,-1.00,16.64,-15.00,-130.00
09:45 - 10:00,-50.00,0.00,-1.00,16.54,-15.00,-75.00
10:00 - 10:15,30.77,0.00,-0.50,20.97,-15.00,-100.00
10:15 - 10:30,66.36,0.00,-0.50,20.20,-15.00,-103.00
10:30 - 10:45,67.32,0.00,-0.50,18.76,-15.00,-80.00
10:45 - 11:00,58.67,0.00,-0.50,18.18,-15.00,-88.00
11:00 - 11:15,48.09,-53.00,-0.50,17.50,-15.00,-39.00
11:15 - 11:30,43.28,-62.00,-0.50,16.93,-15.00,-42.00
11:30 - 11:45,34.63,-35.00,-0.50,16.06,-15.00,-92.00
11:45 - 12:00,29.82,-35.00,-0.50,15.29,-17.00,-110.00
12:00 - 12:15,100.03,-11.00,-0.50,14.14,-17.00,-52.00
12:15 - 12:30,150.04,-10.00,-0.50,13.27,-18.00,-40.00
12:30 - 12:45,151.00,-12.00,-0.50,12.12,-17.00,30.78
12:45 - 13:00,112.53,-20.00,-0.50,11.93,-18.00,28.85
13:00 - 13:15,79.83,0.00,-0.50,11.16,-18.00,-5.00
13:15 - 13:30,30.78,0.00,-0.50,9.81,-18.00,-125.00
13:30 - 13:45,0.00,0.00,-0.50,9.14,-18.00,-109.00
13:45 - 14:00,-32.00,0.00,-0.50,8.18,-18.00,-112.00
14:00 - 14:15,0.00,0.00,-0.50,7.69,-18.00,-124.00
14:15 - 14:30,0.00,0.00,-0.50,6.73,-18.00,-7.00
14:30 - 14:45,-16.00,0.00,-0.50,5.77,-18.00,-16.00
14:45 - 15:00,-18.00,0.00,-0.50,5.77,-18.00,-21.00
15:00 - 15:15,-18.00,-11.00,-0.50,5.77,-18.00,-38.00
15:15 - 15:30,-15.00,-11.00,-0.50,5.77,-19.00,-35.00
15:30 - 15:45,-37.00,0.00,-0.50,5.77,-18.00,-59.00
15:45 - 16:00,-33.00,0.00,-0.50,5.77,-19.00,-90.00
16:00 - 16:15,-51.00,0.00,-0.50,6.73,-19.00,-128.00
16:15 - 16:30,-55.00,0.00,-0.50,7.69,-19.00,-122.00
16:30 - 16:45,-50.00,-15.00,-0.50,7.69,-18.00,-121.00
16:45 - 17:00,-8.00,-55.00,-0.50,7.69,-18.00,-116.00
17:00 - 17:15,29.81,-20.00,-0.50,4.81,-10.00,-192.00
17:15 - 17:30,61.56,-52.00,-0.50,5.77,-10.00,-144.00
17:30 - 17:45,44.24,-33.00,-0.50,5.77,0.00,-167.00
17:45 - 18:00,26.93,-21.00,-0.50,6.73,0.00,-199.00
18:00 - 18:15,8.66,0.00,-0.50,7.69,0.00,-168.00
18:15 - 18:30,26.93,0.00,-0.50,8.66,0.00,-128.00
18:30 - 18:45,-18.00,42.32,-0.50,10.58,0.00,-117.00
18:45 - 19:00,-10.00,39.43,-0.50,10.58,0.00,-110.00
19:00 - 19:15,-33.00,9.62,-0.50,10.58,0.00,-118.00
19:15 - 19:30,-139.00,9.62,-0.50,11.54,0.00,-133.00
19:30 - 19:45,-25.00,0.00,-0.50,11.54,0.00,-138.00
19:45 - 20:00,-9.00,0.00,-0.50,11.54,0.00,-197.00
20:00 - 20:15,11.54,3.85,-0.50,15.39,0.00,-92.00
20:15 - 20:30,35.58,14.43,-0.50,15.39,0.00,-68.00
20:30 - 20:45,58.66,2.89,-0.50,14.91,0.00,-94.00
20:45 - 21:00,78.86,8.66,-0.50,14.43,0.00,-89.00
21:00 - 21:15,90.41,0.00,-0.50,14.43,0.00,-92.00
21:15 - 21:30,108.68,0.00,-0.50,13.47,0.00,-84.00
21:30 - 21:45,44.25,-7.00,-0.50,12.98,0.00,-18.00
21:45 - 22:00,74.06,-7.00,-0.50,11.54,0.00,-43.00
22:00 - 22:15,75.02,0.00,-0.50,10.58,0.00,-72.00
22:15 - 22:30,68.29,4.81,-0.50,10.29,0.00,-85.00
22:30 - 22:45,70.21,-9.00,-0.50,10.58,-10.00,-87.00
22:45 - 23:00,72.13,-9.00,-0.50,9.62,-10.00,-89.00
23:00 - 23:15,60.59,-15.00,-0.50,8.66,-15.00,-107.00
23:15 - 23:30,15.39,-14.00,-0.50,7.69,-15.00,-93.00
23:30 - 23:45,21.16,-11.00,-0.50,6.73,-20.00,-60.00
23:45 - 24:00,-14.00,-11.00,-0.50,5.77,-20.00,42.32
