Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,136.29,163.17,13.15,-15.00,-105.00
00:15 - 00:30,125.73,143.97,12.67,-15.00,-60.00
00:30 - 00:45,182.36,139.17,12.09,-15.00,11.52
00:45 - 01:00,169.88,100.78,11.52,-15.00,-130.00
01:00 - 01:15,179.48,65.27,11.04,-15.00,-80.00
01:15 - 01:30,233.23,60.47,10.56,-15.00,-30.00
01:30 - 01:45,153.57,52.79,10.08,-15.00,43.19
01:45 - 02:00,118.05,14.40,9.60,-15.00,33.59
02:00 - 02:15,114.21,0.00,9.12,-15.00,18.24
02:15 - 02:30,117.09,0.00,8.64,-15.00,-14.00
02:30 - 02:45,117.09,0.00,8.16,-15.00,-27.00
02:45 - 03:00,114.21,0.00,7.68,-15.00,-26.00
03:00 - 03:15,96.93,20.16,7.20,-15.00,-28.00
03:15 - 03:30,94.06,14.40,6.72,-15.00,-28.00
03:30 - 03:45,114.21,5.76,6.24,-16.00,-42.00
03:45 - 04:00,111.33,10.56,5.76,-15.00,-41.00
04:00 - 04:15,113.26,0.00,5.28,-16.00,-38.00
04:15 - 04:30,107.50,0.00,4.80,-15.00,-46.99
04:30 - 04:45,115.18,0.00,4.51,-16.00,-70.00
04:45 - 05:00,119.01,0.00,4.32,-16.00,-53.00
05:00 - 05:15,46.07,-32.00,4.32,-16.00,-13.00
05:15 - 05:30,-21.00,-28.00,4.51,-16.00,-69.00
05:30 - 05:45,-58.00,0.00,4.80,-15.00,-35.00
05:45 - 06:00,-58.00,0.00,5.76,-18.00,51.83
06:00 - 06:15,-24.00,25.91,15.07,-20.00,18.24
06:15 - 06:30,-66.00,45.12,15.93,-22.00,24.95
06:30 - 06:45,-66.00,35.51,15.84,-23.00,-14.00
06:45 - 07:00,-17.00,23.99,16.32,-26.00,-142.00
07:00 - 07:15,-44.00,-18.00,16.80,-34.00,-213.00
07:15 - 07:30,0.00,-26.00,16.80,-33.00,-76.00
07:30 - 07:45,21.11,-36.00,16.80,-29.00,-16.00
07:45 - 08:00,47.03,30.71,16.32,-29.00,-61.00
08:00 - 08:15,119.97,36.47,16.32,-27.00,-94.00
08:15 - 08:30,108.47,78.70,14.68,-26.00,-38.00
08:30 - 08:45,65.26,57.59,17.76,-9.00,-46.00
08:45 - 09:00,64.30,52.79,18.24,-9.00,-50.00
09:00 - 09:15,96.94,94.06,18.91,-17.00,-75.00
09:15 - 09:30,116.13,86.38,18.24,-13.00,-91.00
09:30 - 09:45,137.25,100.78,19.20,0.00,-25.00
09:45 - 10:00,227.46,70.07,20.16,0.00,-20.00
10:00 - 10:15,226.51,47.99,20.73,0.00,0.00
10:15 - 10:30,234.19,47.99,21.40,0.00,0.00
10:30 - 10:45,232.27,119.98,17.95,0.00,28.79
10:45 - 11:00,233.23,143.97,16.80,0.00,28.79
11:00 - 11:15,213.08,124.77,13.82,0.00,24.00
11:15 - 11:30,224.59,130.53,12.48,0.00,19.20
11:30 - 11:45,260.11,128.61,11.13,0.00,14.40
11:45 - 12:00,180.44,115.18,9.89,0.00,28.79
12:00 - 12:15,129.57,62.39,11.52,0.00,9.60
12:15 - 12:30,133.40,68.15,11.52,0.00,14.40
12:30 - 12:45,111.33,57.59,11.52,0.00,-20.00
12:45 - 13:00,96.94,59.51,10.56,0.00,-30.00
13:00 - 13:15,130.53,52.79,21.12,0.00,-25.00
13:15 - 13:30,121.89,57.59,21.12,0.00,-10.00
13:30 - 13:45,175.63,71.03,21.12,0.00,-5.00
13:45 - 14:00,167.00,85.42,21.12,0.00,-15.00
14:00 - 14:15,174.68,110.38,21.12,0.00,4.80
14:15 - 14:30,172.76,140.13,21.12,0.00,14.40
14:30 - 14:45,170.84,188.12,21.12,0.00,24.00
14:45 - 15:00,198.68,215.95,21.12,0.00,38.39
15:00 - 15:15,191.00,222.67,21.12,0.00,95.98
15:15 - 15:30,212.12,233.22,21.12,0.00,91.18
15:30 - 15:45,175.64,204.44,22.08,0.00,91.18
15:45 - 16:00,142.05,172.76,22.08,0.00,76.78
16:00 - 16:15,165.08,140.13,21.12,0.00,86.38
16:15 - 16:30,145.89,148.76,21.12,0.00,67.19
16:30 - 16:45,134.37,163.16,20.16,0.00,71.99
16:45 - 17:00,149.73,177.55,21.12,0.00,67.19
17:00 - 17:15,74.86,177.57,11.52,-16.00,89.26
17:15 - 17:30,102.70,191.95,9.60,-26.00,71.99
17:30 - 17:45,116.14,218.83,8.64,-37.00,3.79
17:45 - 18:00,87.34,203.47,7.68,-33.00,67.19
18:00 - 18:15,52.79,129.57,4.80,-33.00,0.00
18:15 - 18:30,181.40,133.41,6.05,-34.00,0.00
18:30 - 18:45,164.12,126.69,7.68,-40.00,14.40
18:45 - 19:00,159.62,107.90,8.48,-44.00,-40.00
19:00 - 19:15,79.89,34.58,5.70,0.00,-79.00
19:15 - 19:30,72.85,30.44,4.63,0.00,-64.00
19:30 - 19:45,43.83,49.09,3.66,0.00,-81.00
19:45 - 20:00,77.03,37.85,3.42,0.00,-70.00
20:00 - 20:15,12.33,-27.00,3.33,0.00,-90.00
20:15 - 20:30,0.00,-69.00,3.35,0.00,-80.00
20:30 - 20:45,0.00,-74.00,4.36,0.00,-110.00
20:45 - 21:00,0.00,-70.00,4.35,0.00,-110.00
21:00 - 21:15,0.00,-123.00,5.50,0.00,-98.00
21:15 - 21:30,6.22,-112.00,5.44,0.00,-72.00
21:30 - 21:45,65.40,-93.00,5.52,0.00,-74.00
21:45 - 22:00,46.87,-65.00,5.47,0.00,-58.00
22:00 - 22:15,0.00,-50.00,5.11,0.00,-7.00
