Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-24.00,81.76,-1.00,5.96,-10.00,0.00,0.00
00:15 - 00:30,-68.00,76.94,-1.00,5.77,-10.00,0.00,0.00
00:30 - 00:45,-27.00,76.94,-1.00,5.58,-10.00,0.00,0.00
00:45 - 01:00,-22.00,76.94,-1.00,5.29,-15.00,0.00,0.00
01:00 - 01:15,-16.00,78.87,-1.00,5.10,-18.00,0.00,-35.00
01:15 - 01:30,-15.00,80.79,-1.00,5.10,-18.00,0.00,-35.00
01:30 - 01:45,-20.00,84.64,-1.00,5.10,-18.00,0.00,-42.00
01:45 - 02:00,-17.00,86.56,-1.00,5.00,-18.00,0.00,-22.00
02:00 - 02:15,-16.00,99.06,-1.00,4.91,-22.00,0.00,-18.00
02:15 - 02:30,-13.00,99.06,-1.00,4.81,-23.00,0.00,-17.00
02:30 - 02:45,-19.00,105.80,-1.00,4.71,-24.00,0.00,-20.00
02:45 - 03:00,-15.00,105.80,-1.00,4.71,-25.00,0.00,-20.00
03:00 - 03:15,-8.00,111.57,-1.00,4.71,-25.00,0.00,-7.00
03:15 - 03:30,0.00,111.57,-1.00,4.71,-25.00,0.00,-5.00
03:30 - 03:45,0.00,100.99,-1.00,4.71,-24.00,0.00,-3.00
03:45 - 04:00,0.00,99.07,-1.00,5.00,-25.00,0.00,-4.00
04:00 - 04:15,0.00,80.79,-1.00,5.19,-25.00,0.00,0.00
04:15 - 04:30,-7.00,80.79,-1.00,5.87,-25.00,0.00,0.00
04:30 - 04:45,0.00,87.52,-1.00,6.54,-25.00,0.00,0.00
04:45 - 05:00,0.00,29.82,-1.00,7.02,-24.00,0.00,0.00
05:00 - 05:15,-19.00,29.82,-1.00,8.75,-24.00,0.00,0.00
05:15 - 05:30,-12.00,25.97,-1.00,10.29,-23.00,0.00,0.00
05:30 - 05:45,46.17,68.29,-1.00,11.54,-21.00,0.00,0.00
05:45 - 06:00,37.51,86.56,-1.00,14.62,-19.00,0.00,-66.00
06:00 - 06:15,25.01,198.13,-1.00,12.89,-16.00,0.00,-110.00
06:15 - 06:30,70.21,131.77,-1.00,15.68,0.00,0.00,7.69
06:30 - 06:45,47.15,147.89,-1.00,11.56,0.00,0.00,-6.00
06:45 - 07:00,10.30,110.79,-1.00,9.48,0.00,2.68,-32.00
07:00 - 07:15,-106.00,92.55,-1.00,2.82,0.00,0.55,-17.00
07:15 - 07:30,-90.00,56.18,-1.00,1.61,0.00,0.40,-17.00
07:30 - 07:45,-38.00,46.74,-1.00,0.69,0.00,0.14,-25.00
07:45 - 08:00,-110.00,49.60,-1.00,0.76,0.00,0.12,-27.00
08:00 - 08:15,-134.00,171.09,-1.00,2.62,0.00,0.49,-22.00
08:15 - 08:30,-118.00,223.24,-1.00,3.40,0.00,0.27,-21.00
08:30 - 08:45,-157.00,186.22,-1.00,7.24,0.00,0.61,0.00
08:45 - 09:00,-139.00,217.74,-1.00,11.97,0.00,0.35,0.00
09:00 - 09:15,-117.00,201.76,-1.00,14.87,0.00,0.82,0.00
09:15 - 09:30,-99.00,191.71,-1.00,15.10,0.00,0.00,0.00
09:30 - 09:45,-89.00,120.22,-1.00,18.18,0.00,0.00,-18.00
09:45 - 10:00,-50.00,110.60,-1.00,16.93,0.00,0.00,-48.00
10:00 - 10:15,24.05,62.51,-0.50,20.97,-20.00,0.00,-10.00
10:15 - 10:30,-91.00,80.79,-0.50,20.68,-20.00,0.00,-10.00
10:30 - 10:45,-44.00,139.46,-0.50,19.43,-20.00,0.00,0.00
10:45 - 11:00,-25.00,134.65,-0.50,18.56,-20.00,0.00,-5.00
11:00 - 11:15,21.16,140.42,-0.50,18.08,-20.00,0.00,19.24
