Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,158.11,-20.00,0.00,6.75,0.00,9.64
00:15 - 00:30,150.40,-23.00,0.00,6.75,0.00,-4.00
00:30 - 00:45,139.79,0.00,0.00,6.75,0.00,0.00
00:45 - 01:00,141.72,0.00,0.00,6.75,0.00,-10.00
01:00 - 01:15,149.44,17.35,0.00,6.75,0.00,17.35
01:15 - 01:30,134.97,20.25,0.00,6.75,0.00,7.71
01:30 - 01:45,70.39,24.10,0.00,5.78,0.00,43.38
01:45 - 02:00,63.64,22.17,0.00,5.78,0.00,37.60
02:00 - 02:15,57.85,25.07,0.00,5.78,0.00,27.96
02:15 - 02:30,45.32,26.03,0.00,5.78,0.00,22.17
02:30 - 02:45,40.50,28.92,0.00,5.78,0.00,24.10
02:45 - 03:00,77.14,28.92,0.00,5.78,0.00,24.10
03:00 - 03:15,26.03,10.61,0.00,5.78,0.00,24.10
03:15 - 03:30,28.93,11.57,0.00,5.78,0.00,24.10
03:30 - 03:45,24.10,10.61,0.00,5.78,0.00,24.10
03:45 - 04:00,66.53,32.78,0.00,5.78,0.00,4.82
04:00 - 04:15,83.88,32.78,0.00,5.78,0.00,9.64
04:15 - 04:30,98.35,38.56,0.00,5.78,0.00,19.28
04:30 - 04:45,135.94,34.71,0.00,5.78,0.00,4.82
04:45 - 05:00,101.24,26.99,0.00,6.75,0.00,9.64
05:00 - 05:15,99.30,6.75,-1.30,6.75,0.00,24.10
05:15 - 05:30,107.99,5.78,-1.30,7.71,0.00,26.03
05:30 - 05:45,113.77,0.00,-1.30,7.71,0.00,26.03
05:45 - 06:00,130.15,0.00,-1.30,8.68,0.00,-8.00
06:00 - 06:15,-26.00,-5.00,-1.30,9.64,0.00,-23.00
06:15 - 06:30,-9.00,-5.00,-1.30,9.64,0.00,-28.00
06:30 - 06:45,-25.00,0.00,-1.30,9.64,0.00,-26.00
06:45 - 07:00,27.96,0.00,-1.30,9.64,0.00,-25.00
07:00 - 07:15,14.46,0.00,-1.30,10.61,0.00,-28.00
07:15 - 07:30,25.06,0.00,-1.30,10.61,0.00,-25.00
07:30 - 07:45,40.49,0.00,-1.30,10.61,0.00,0.00
07:45 - 08:00,57.84,0.00,-1.30,10.61,0.00,0.00
08:00 - 08:15,-8.00,-10.00,-1.30,9.64,0.00,12.53
08:15 - 08:30,-48.00,-10.00,-1.30,9.64,0.00,16.39
08:30 - 08:45,80.98,5.78,-1.30,9.16,0.00,48.21
08:45 - 09:00,117.62,21.21,-1.30,8.97,0.00,33.74
09:00 - 09:15,36.64,53.03,-0.30,5.40,0.00,77.12
09:15 - 09:30,26.99,60.74,-0.30,4.82,0.00,81.95
09:30 - 09:45,28.92,28.92,-0.30,4.34,0.00,86.77
09:45 - 10:00,68.45,24.10,-0.30,4.82,0.00,115.70
10:00 - 10:15,54.95,46.28,-0.30,0.96,0.00,120.52
10:15 - 10:30,97.37,16.39,-0.30,0.00,0.00,119.55
10:30 - 10:45,110.87,11.57,-0.30,0.00,0.00,96.41
10:45 - 11:00,97.37,13.50,-0.30,0.00,0.00,104.12
11:00 - 11:15,107.98,28.92,-0.30,0.00,0.00,106.05
11:15 - 11:30,99.30,42.42,-0.30,0.00,0.00,106.05
11:30 - 11:45,102.19,54.95,-0.30,0.00,0.00,106.06
11:45 - 12:00,97.37,56.88,-0.30,0.00,0.00,106.06
12:00 - 12:15,71.34,73.27,-0.30,0.00,0.00,115.70
12:15 - 12:30,65.56,68.45,-0.30,0.00,0.00,115.69
12:30 - 12:45,25.07,79.06,-0.30,-2.00,0.00,115.68
12:45 - 13:00,12.53,84.84,-0.30,-2.00,0.00,110.88
13:00 - 13:15,50.13,55.92,-0.30,-1.00,0.00,115.69
13:15 - 13:30,47.24,65.56,-0.30,-2.00,0.00,130.15
13:30 - 13:45,56.88,72.31,-0.30,-2.00,0.00,139.79
13:45 - 14:00,64.59,53.99,-0.30,-2.00,0.00,154.26
14:00 - 14:15,55.92,37.60,-0.30,-1.00,0.00,139.79
14:15 - 14:30,72.31,33.74,-0.30,1.64,0.00,134.97
14:30 - 14:45,63.63,9.64,-0.30,3.18,0.00,72.31
14:45 - 15:00,70.37,4.82,-0.30,3.57,0.00,57.85
15:00 - 15:15,53.03,-40.00,-0.30,3.18,0.00,24.10
15:15 - 15:30,74.24,-37.00,-0.30,3.18,0.00,33.74
15:30 - 15:45,40.49,-67.00,-0.30,4.05,0.00,14.46
15:45 - 16:00,23.14,-61.00,-0.30,4.05,0.00,-30.00
16:00 - 16:15,0.00,-55.00,-0.30,5.50,0.00,-20.00
16:15 - 16:30,0.00,-38.00,-0.30,5.78,0.00,-25.00
16:30 - 16:45,19.28,0.00,-0.30,6.27,0.00,-25.00
16:45 - 17:00,62.67,-25.00,-0.30,6.75,0.00,-5.00
17:00 - 17:15,105.08,-13.00,-0.30,8.68,0.00,6.75
17:15 - 17:30,79.06,-14.00,-0.30,9.64,0.00,-5.00
17:30 - 17:45,78.09,-28.00,-0.30,10.61,1.64,-15.00
17:45 - 18:00,64.60,-28.00,-0.30,11.09,3.37,-25.00
18:00 - 18:15,172.57,14.46,-0.30,11.57,2.51,4.82
18:15 - 18:30,162.94,33.74,-0.30,12.05,1.83,0.00
18:30 - 18:45,122.44,36.64,-0.30,12.05,0.87,-20.00
18:45 - 19:00,114.73,30.85,-0.30,12.05,0.00,-25.00
19:00 - 19:15,122.44,18.32,-0.30,12.53,0.00,-10.00
19:15 - 19:30,110.88,26.03,-0.30,12.53,0.00,-40.00
19:30 - 19:45,69.42,9.64,-0.30,12.53,0.00,-45.00
19:45 - 20:00,35.68,-35.00,-0.30,12.53,0.00,-60.00
20:00 - 20:15,28.92,-14.00,-0.30,12.05,0.00,-5.00
20:15 - 20:30,22.18,-12.00,-0.30,12.05,0.00,-10.00
20:30 - 20:45,58.81,0.00,-0.30,11.57,0.00,-5.00
20:45 - 21:00,69.41,0.00,-0.30,10.61,0.00,11.57
21:00 - 21:15,118.58,46.28,-0.30,9.64,0.00,-10.00
21:15 - 21:30,118.58,49.17,-0.30,8.68,0.00,-15.00
21:30 - 21:45,106.06,38.56,-0.30,7.71,0.00,-10.00
21:45 - 22:00,109.90,36.64,-0.30,6.75,0.00,-10.00
22:00 - 22:15,119.55,37.60,-1.30,5.78,0.00,11.57
22:15 - 22:30,117.62,24.10,-1.30,4.82,0.00,4.82
22:30 - 22:45,116.66,14.46,-1.30,3.86,0.00,28.92
22:45 - 23:00,131.11,53.03,-1.30,2.89,0.00,27.96
23:00 - 23:15,138.83,52.06,-1.30,1.93,0.00,26.99
23:15 - 23:30,136.90,51.10,-1.30,0.96,0.00,32.78
23:30 - 23:45,148.47,72.31,-1.30,0.96,0.00,27.96
23:45 - 24:00,145.58,62.67,-1.30,0.96,0.00,13.50
