Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-41.00,-17.00,7.70,0.00,-18.00
00:15 - 00:30,-69.00,-16.00,7.02,0.00,-37.00
00:30 - 00:45,-28.00,-22.00,6.35,0.00,-42.00
00:45 - 01:00,-54.00,-25.00,6.25,0.00,-43.00
01:00 - 01:15,-25.00,-27.00,5.87,0.00,-43.00
01:15 - 01:30,-44.00,-26.00,5.48,0.00,-42.00
01:30 - 01:45,0.00,0.00,4.33,0.00,-35.00
01:45 - 02:00,0.00,0.00,4.14,0.00,-30.00
02:00 - 02:15,0.00,17.31,4.14,0.00,-23.00
02:15 - 02:30,0.00,13.47,4.04,0.00,-22.00
02:30 - 02:45,9.62,19.24,3.94,0.00,-29.00
02:45 - 03:00,26.94,28.85,3.85,0.00,-27.00
03:00 - 03:15,0.00,18.28,3.85,0.00,-61.00
03:15 - 03:30,9.62,17.31,3.85,0.00,-55.00
03:30 - 03:45,34.64,0.00,3.94,0.00,-33.00
03:45 - 04:00,45.21,9.62,4.04,0.00,-32.00
04:00 - 04:15,0.00,12.50,4.14,0.00,-30.00
04:15 - 04:30,23.09,16.35,4.52,0.00,-29.00
04:30 - 04:45,45.21,28.86,4.81,0.00,-26.00
04:45 - 05:00,13.47,38.48,5.10,0.00,-21.00
05:00 - 05:15,0.00,24.05,2.41,0.00,10.58
05:15 - 05:30,0.00,31.75,2.50,0.00,9.62
05:30 - 05:45,26.94,40.40,-5.80,0.00,4.81
05:45 - 06:00,34.63,33.67,-4.30,0.00,4.81
06:00 - 06:15,-72.00,30.78,-4.30,0.00,-10.00
06:15 - 06:30,-55.00,23.08,-3.00,0.00,7.70
06:30 - 06:45,-64.00,-2.00,-1.00,0.00,-22.00
06:45 - 07:00,-66.00,-55.00,0.48,0.00,-22.00
07:00 - 07:15,-163.00,-26.00,1.73,0.00,-107.00
07:15 - 07:30,-143.00,-57.00,2.21,0.00,-38.00
07:30 - 07:45,-114.00,0.00,4.91,0.00,-102.00
07:45 - 08:00,-96.00,0.00,6.35,0.00,-90.00
08:00 - 08:15,-79.00,-14.00,6.73,0.00,-53.00
08:15 - 08:30,20.19,-12.00,7.22,0.10,-16.00
08:30 - 08:45,282.83,-25.00,17.12,0.00,4.81
08:45 - 09:00,452.15,-46.00,17.12,0.00,16.35
09:00 - 09:15,219.06,-29.00,12.88,0.00,50.62
09:15 - 09:30,268.26,-52.00,12.95,0.00,97.12
09:30 - 09:45,242.43,-39.00,13.66,0.00,169.31
09:45 - 10:00,248.20,-40.00,13.76,0.00,165.46
10:00 - 10:15,156.80,-18.00,12.03,0.00,-11.00
10:15 - 10:30,168.35,-18.00,11.93,0.00,-16.00
10:30 - 10:45,210.68,9.62,11.54,0.00,2.89
10:45 - 11:00,220.30,-7.00,10.39,0.00,-16.00
11:00 - 11:15,245.31,0.00,11.54,0.00,-65.00
11:15 - 11:30,241.46,0.00,10.97,0.00,-63.00
11:30 - 11:45,202.99,10.58,10.00,0.00,-71.00
11:45 - 12:00,195.29,10.58,9.14,0.00,-118.00
12:00 - 12:15,149.11,0.00,8.56,0.00,-20.00
12:15 - 12:30,112.56,-11.00,6.25,0.00,86.58
12:30 - 12:45,58.68,-30.00,5.96,0.00,32.71
12:45 - 13:00,0.00,-33.00,5.10,0.00,25.97
13:00 - 13:15,30.78,-40.00,5.58,0.00,-10.00
13:15 - 13:30,18.28,-35.00,5.96,0.00,-10.00
13:30 - 13:45,0.00,0.00,2.12,0.00,0.00
13:45 - 14:00,0.00,0.00,2.89,0.00,0.00
14:00 - 14:15,17.31,0.00,2.89,0.00,-15.00
14:15 - 14:30,17.31,0.00,2.89,0.00,-15.00
14:30 - 14:45,0.00,-10.00,2.89,0.00,-10.00
14:45 - 15:00,0.00,-10.00,2.41,0.00,-10.00
15:00 - 15:15,-17.00,0.00,1.92,0.00,9.62
15:15 - 15:30,-4.00,0.00,2.60,0.00,7.69
15:30 - 15:45,-15.00,0.00,2.89,0.00,4.81
15:45 - 16:00,-8.00,0.00,2.89,0.00,-5.00
16:00 - 16:15,-58.00,0.00,4.81,0.00,72.15
16:15 - 16:30,-75.00,-20.00,5.77,0.00,0.00
16:30 - 16:45,-140.00,-40.00,6.73,0.00,-10.00
16:45 - 17:00,-156.00,-43.00,7.70,0.00,-44.00
17:00 - 17:15,-114.00,-49.00,8.66,0.00,-45.00
17:15 - 17:30,-107.00,-51.00,8.00,0.00,-40.00
17:30 - 17:45,-62.00,-56.00,5.46,0.99,-50.00
17:45 - 18:00,-113.00,-59.00,6.45,0.00,-60.00
18:00 - 18:15,-175.00,0.00,5.05,0.00,-50.00
18:15 - 18:30,-141.00,-5.00,5.54,0.00,-35.00
18:30 - 18:45,-161.00,14.43,14.43,0.00,-35.00
18:45 - 19:00,-161.00,0.00,15.39,0.00,-30.00
19:00 - 19:15,-110.00,4.81,15.39,0.00,-20.00
19:15 - 19:30,-81.00,7.70,15.39,0.00,14.43
19:30 - 19:45,0.00,-20.00,21.16,0.00,-5.00
19:45 - 20:00,0.00,-25.00,20.20,0.00,-15.00
20:00 - 20:15,0.00,14.43,20.20,0.00,-50.00
20:15 - 20:30,22.13,20.20,20.20,0.00,-30.00
20:30 - 20:45,32.71,6.73,15.78,0.00,28.86
20:45 - 21:00,35.60,11.54,15.58,0.00,24.05
21:00 - 21:15,29.82,12.51,15.10,0.00,19.24
21:15 - 21:30,22.12,7.70,14.14,0.00,19.24
21:30 - 21:45,65.42,0.00,12.89,0.00,19.24
21:45 - 22:00,110.63,10.58,12.12,0.00,19.24
22:00 - 22:15,96.20,49.06,14.53,0.00,24.05
22:15 - 22:30,31.75,58.68,12.89,0.00,24.05
22:30 - 22:45,-36.00,62.53,11.54,0.00,48.10
22:45 - 23:00,0.00,40.40,10.20,0.00,43.29
23:00 - 23:15,58.69,15.39,9.33,0.00,38.48
23:15 - 23:30,78.88,8.66,8.66,0.00,14.43
23:30 - 23:45,53.88,0.00,7.50,0.00,-15.00
23:45 - 24:00,0.00,0.00,7.12,0.00,-45.00
