Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
21:30 - 21:45,-17.00,23.03,7.77,-10.00,0.00,10.55
21:45 - 22:00,-14.00,20.14,7.87,-10.00,0.00,14.39
22:00 - 22:15,19.19,31.66,10.74,-10.00,0.00,15.35
22:15 - 22:30,42.21,15.35,9.78,-12.00,0.00,18.23
22:30 - 22:45,37.41,33.58,9.59,-15.00,0.00,0.00
22:45 - 23:00,42.21,22.06,8.83,-18.00,0.00,0.00
23:00 - 23:15,47.96,31.66,8.35,-10.00,0.00,-9.00
23:15 - 23:30,49.89,22.06,7.96,-12.00,0.00,-11.00
23:30 - 23:45,86.34,12.47,7.67,-14.00,0.00,4.80
23:45 - 24:00,106.48,0.00,7.48,-15.00,0.00,3.84
