Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,21.11,-25.00,-1.50,10.08,-12.00,0.00,-16.00
00:15 - 00:30,0.00,-42.00,-1.50,10.08,-14.00,0.00,-13.00
00:30 - 00:45,-20.00,-38.00,-1.50,10.08,-15.00,0.00,0.00
00:45 - 01:00,-41.00,-39.00,-1.50,9.89,-16.00,0.00,0.00
01:00 - 01:15,-79.00,-43.00,-1.50,9.79,-18.00,0.00,4.80
01:15 - 01:30,-41.00,-44.00,-1.50,9.60,-19.00,0.00,0.96
01:30 - 01:45,-65.00,-30.00,-1.50,9.60,-14.00,0.00,14.40
01:45 - 02:00,-70.00,-32.00,-1.50,9.60,-14.00,0.00,14.40
02:00 - 02:15,-90.00,66.22,-1.50,9.60,-15.00,0.00,9.60
02:15 - 02:30,-35.00,62.38,-1.50,9.60,-16.00,0.00,10.56
02:30 - 02:45,-20.00,73.90,-1.50,9.60,-15.00,0.00,4.80
02:45 - 03:00,-22.00,75.82,-1.50,9.60,-15.00,0.00,4.80
03:00 - 03:15,-25.00,0.00,-1.50,9.60,-15.00,0.00,13.44
03:15 - 03:30,-23.00,73.90,-1.50,9.60,-16.00,0.00,-13.00
03:30 - 03:45,-18.00,64.30,-1.50,9.60,-15.00,0.29,9.60
03:45 - 04:00,-7.00,41.27,-1.50,9.60,-15.00,0.00,3.84
04:00 - 04:15,-34.00,54.71,-1.50,9.60,-16.00,0.00,-19.00
04:15 - 04:30,-26.00,42.23,-1.50,9.60,-15.00,0.00,-76.00
04:30 - 04:45,-44.00,32.63,-1.50,10.56,-16.00,0.00,18.24
04:45 - 05:00,-47.00,25.91,-1.50,11.52,-16.00,0.00,-40.00
05:00 - 05:15,-28.00,-5.00,-1.50,12.48,-14.00,0.00,5.76
05:15 - 05:30,-29.00,-44.00,-1.50,13.44,-13.00,0.00,-15.00
05:30 - 05:45,-19.00,-37.00,-1.50,14.40,-11.00,0.00,-28.00
05:45 - 06:00,-27.00,-37.00,-1.50,16.32,-10.00,0.00,-36.00
06:00 - 06:15,-130.00,-28.00,-1.50,18.24,-23.00,0.00,-96.00
06:15 - 06:30,-145.00,-41.00,-1.50,19.20,-20.00,0.00,-109.00
06:30 - 06:45,-197.00,-94.00,-1.50,21.12,-17.00,0.00,-114.00
06:45 - 07:00,-175.00,-104.00,-1.50,22.08,-13.00,0.00,-129.00
07:00 - 07:15,-147.00,-95.00,-1.50,23.04,0.00,0.00,-150.00
07:15 - 07:30,-140.00,-92.00,-1.50,24.00,0.00,0.00,-110.00
07:30 - 07:45,-141.00,-196.00,-1.50,24.00,0.00,0.00,-201.97
07:45 - 08:00,-79.00,-120.00,-1.50,24.00,0.00,0.00,-124.00
08:00 - 08:15,-166.00,-3.00,-1.50,24.95,0.00,0.00,-101.00
08:15 - 08:30,-109.00,-10.00,-1.50,24.95,0.00,0.00,-94.00
08:30 - 08:45,-35.00,0.00,-1.50,24.00,0.00,0.00,-60.00
08:45 - 09:00,-42.00,-8.00,-1.50,23.04,0.00,0.00,-66.00
09:00 - 09:15,-19.00,19.20,-1.50,23.03,0.00,0.00,-65.00
09:15 - 09:30,-55.00,13.44,-1.50,22.07,0.00,0.00,-69.00
09:30 - 09:45,-59.00,11.52,-1.50,21.69,0.00,0.00,-63.00
09:45 - 10:00,-59.00,17.28,-1.50,21.11,0.00,0.00,-59.00
10:00 - 10:15,-44.00,-30.00,-1.00,20.83,0.00,0.00,-40.00
10:15 - 10:30,-39.00,-27.00,-1.00,20.16,0.00,0.00,-37.00
10:30 - 10:45,-51.00,-42.00,-1.00,19.77,0.00,0.00,-45.00
10:45 - 11:00,-27.00,-44.00,-1.00,19.20,0.00,0.00,-49.00
11:00 - 11:15,-13.00,-60.00,-1.00,19.20,0.00,0.00,-45.00
11:15 - 11:30,-17.00,-61.00,-1.00,19.20,0.00,0.00,-48.00
11:30 - 11:45,-27.00,-71.00,-1.00,19.20,0.00,0.00,-55.00
11:45 - 12:00,-28.00,-69.00,-1.00,19.00,0.00,0.00,-55.00
12:00 - 12:15,-45.00,-78.00,-1.00,18.81,0.00,0.00,-65.00
12:15 - 12:30,-57.00,-76.00,-1.00,14.40,0.00,0.00,-65.00
12:30 - 12:45,-26.00,-90.00,-1.00,14.40,0.00,0.00,-80.00
12:45 - 13:00,-35.00,-57.00,-1.00,14.40,0.00,0.00,-50.00
13:00 - 13:15,-66.00,-45.00,-1.00,15.93,0.00,0.00,-80.00
13:15 - 13:30,-95.00,-29.00,-1.00,15.36,0.00,0.00,-110.00
13:30 - 13:45,-89.00,-34.00,-1.00,14.40,0.00,0.00,-104.00
13:45 - 14:00,-81.00,-35.00,-1.00,13.82,0.00,0.00,-138.00
14:00 - 14:15,-74.00,-40.00,-1.00,13.15,0.00,0.00,-82.00
14:15 - 14:30,-78.00,-41.00,-1.00,12.96,0.00,0.00,-85.00
14:30 - 14:45,-85.00,-38.00,-1.00,12.86,0.00,0.00,-72.00
14:45 - 15:00,-94.00,-38.00,-1.00,11.23,0.00,0.00,-76.00
15:00 - 15:15,-83.00,-80.00,-1.00,11.04,0.00,0.00,-120.00
15:15 - 15:30,-59.00,-82.00,-1.00,12.19,0.00,0.00,-125.00
15:30 - 15:45,-71.00,-102.00,-1.00,12.19,0.00,0.00,-134.00
15:45 - 16:00,-83.00,-63.00,-1.00,12.77,0.00,0.00,-136.00
16:00 - 16:15,-103.00,-57.00,-1.00,13.15,0.00,0.00,-108.00
16:15 - 16:30,-89.00,-47.00,-1.00,13.15,0.00,0.00,-105.00
16:30 - 16:45,-78.00,-59.00,-1.00,14.40,0.00,0.00,-75.00
16:45 - 17:00,-89.00,-113.00,-1.00,15.36,0.00,0.00,-65.00
17:00 - 17:15,-135.00,-124.00,-1.00,15.36,0.00,0.00,-50.00
17:15 - 17:30,-148.00,-124.00,-1.00,15.84,0.00,0.00,-60.00
17:30 - 17:45,-53.00,-118.00,-1.00,15.84,0.00,0.00,-170.00
17:45 - 18:00,-46.00,-220.00,-1.00,15.84,0.00,0.00,-58.00
18:00 - 18:15,-44.00,-126.00,-1.00,16.32,0.00,0.00,-90.00
18:15 - 18:30,-44.00,-137.00,-1.00,16.32,0.00,0.00,-110.00
18:30 - 18:45,-72.00,-142.00,-1.00,15.03,0.00,4.60,-138.00
18:45 - 19:00,-49.00,-144.00,-1.00,8.97,0.00,2.52,-115.00
19:00 - 19:15,10.04,-131.00,-1.00,3.99,0.00,0.65,-87.00
19:15 - 19:30,0.00,-149.00,-1.00,4.76,0.00,1.54,-82.00
19:30 - 19:45,-85.00,-170.00,-1.00,9.09,0.00,2.07,-112.00
19:45 - 20:00,-44.00,-172.00,-1.00,11.90,0.00,3.57,-119.00
20:00 - 20:15,-67.00,-90.00,-1.00,18.72,0.00,5.73,-137.00
20:15 - 20:30,-137.00,-94.00,-1.00,18.62,0.00,3.84,-115.00
20:30 - 20:45,-67.00,-100.00,-1.00,18.24,0.00,0.00,-77.00
20:45 - 21:00,-69.00,-116.00,-1.00,17.56,0.00,0.00,-67.00
21:00 - 21:15,-59.00,-102.00,-1.00,17.28,0.00,0.00,-68.00
21:15 - 21:30,-47.00,-103.00,-1.00,16.80,0.00,0.00,-60.00
