Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,229.38,0.00,7.23,0.00,0.00,-35.00
00:15 - 00:30,206.25,0.00,7.23,0.00,0.00,-80.00
00:30 - 00:45,163.84,0.00,6.75,0.00,0.00,-70.00
00:45 - 01:00,147.46,42.41,6.75,0.00,0.00,-65.00
01:00 - 01:15,175.42,38.55,5.78,0.00,0.00,-70.00
01:15 - 01:30,190.84,38.55,5.78,0.00,0.00,-65.00
01:30 - 01:45,50.12,5.78,5.78,0.00,0.00,-60.00
01:45 - 02:00,52.04,9.64,4.82,0.00,0.00,-55.00
02:00 - 02:15,30.84,9.64,4.82,0.00,0.00,-60.00
02:15 - 02:30,0.00,4.82,4.82,0.00,0.00,-55.00
02:30 - 02:45,9.64,0.00,4.34,0.00,0.00,-35.00
02:45 - 03:00,-3.00,0.00,4.34,0.00,0.00,-30.00
03:00 - 03:15,-22.00,50.11,4.34,-6.00,0.00,-10.00
03:15 - 03:30,-19.00,48.19,4.34,-6.00,0.00,-10.00
03:30 - 03:45,28.91,0.00,4.34,-6.00,0.00,-10.00
03:45 - 04:00,51.08,0.00,4.34,-6.00,0.00,-10.00
04:00 - 04:15,105.05,-45.00,3.86,-6.00,0.00,-30.00
04:15 - 04:30,111.80,-8.00,3.86,-6.00,0.00,-40.00
04:30 - 04:45,82.88,-10.00,3.86,-6.00,0.00,-45.00
04:45 - 05:00,79.03,-10.00,3.86,-6.00,0.00,-40.00
05:00 - 05:15,52.04,-25.00,3.86,-6.00,0.00,14.46
05:15 - 05:30,-8.00,-32.00,3.86,-6.00,0.00,4.81
05:30 - 05:45,-10.00,-21.00,4.82,-6.00,0.00,-20.00
05:45 - 06:00,-41.00,-15.00,5.30,-6.00,0.00,-25.00
06:00 - 06:15,-103.00,-44.00,13.78,-6.00,0.00,-15.00
06:15 - 06:30,12.53,-35.00,14.46,0.00,0.00,-15.00
06:30 - 06:45,-142.00,-60.00,16.38,0.00,0.00,0.00
06:45 - 07:00,-111.00,-40.00,17.35,0.00,0.00,-5.00
07:00 - 07:15,-51.00,14.46,17.35,0.00,0.00,-15.00
07:15 - 07:30,-7.00,0.00,17.35,0.00,0.00,-60.00
07:30 - 07:45,-9.00,0.00,12.53,0.00,0.00,4.82
07:45 - 08:00,-36.00,0.00,11.57,0.00,0.00,-70.00
08:00 - 08:15,-61.00,14.45,11.57,0.00,0.00,-25.00
08:15 - 08:30,-77.00,10.60,9.64,0.00,0.00,-30.00
08:30 - 08:45,-96.00,0.00,12.53,0.00,0.00,-50.00
08:45 - 09:00,-118.00,0.00,12.82,0.00,0.00,-70.00
09:00 - 09:15,-60.00,0.00,14.46,0.00,0.00,-75.00
09:15 - 09:30,18.31,4.82,14.46,0.00,0.00,-75.00
09:30 - 09:45,39.52,0.00,15.42,0.00,0.00,-55.00
09:45 - 10:00,136.86,0.00,15.42,0.00,0.00,-10.00
10:00 - 10:15,152.28,-25.00,14.46,0.00,0.00,-10.00
10:15 - 10:30,160.95,0.00,14.46,0.00,0.00,14.46
10:30 - 10:45,185.04,38.55,11.57,0.00,0.00,19.28
10:45 - 11:00,145.53,48.19,10.60,0.00,0.00,19.28
11:00 - 11:15,138.79,63.61,9.64,0.00,0.00,-55.00
11:15 - 11:30,143.61,76.14,8.67,0.00,0.00,-40.00
11:30 - 11:45,136.86,96.38,7.71,0.00,0.00,-51.00
11:45 - 12:00,144.57,101.20,5.78,0.00,0.00,-56.00
12:00 - 12:15,243.84,92.52,6.75,0.00,0.00,1.93
12:15 - 12:30,259.26,89.63,6.75,0.00,0.00,17.35
12:30 - 12:45,184.10,102.16,6.26,0.00,0.00,38.55
12:45 - 13:00,188.90,103.13,5.78,0.00,0.00,24.10
13:00 - 13:15,204.32,67.47,16.87,0.00,0.00,-35.00
13:15 - 13:30,207.22,73.25,16.38,0.00,0.00,-60.00
13:30 - 13:45,152.28,85.78,16.38,0.00,0.00,-15.00
13:45 - 14:00,133.97,108.91,15.42,0.00,0.00,33.73
14:00 - 14:15,156.14,125.29,15.42,0.00,0.00,-31.00
14:15 - 14:30,166.73,120.48,15.42,0.00,0.00,-15.00
14:30 - 14:45,204.33,152.28,15.42,0.00,0.00,-35.00
14:45 - 15:00,230.35,174.45,15.42,0.00,0.00,-20.00
15:00 - 15:15,232.27,154.21,14.46,0.00,0.00,-20.00
15:15 - 15:30,247.69,154.21,14.46,0.00,0.00,0.00
15:30 - 15:45,239.98,187.94,14.46,0.00,0.00,4.82
15:45 - 16:00,248.66,193.72,14.46,0.00,0.00,14.46
16:00 - 16:15,214.91,191.80,11.57,0.00,0.00,24.10
16:15 - 16:30,236.12,196.62,11.57,0.00,0.00,24.10
16:30 - 16:45,233.24,163.85,11.57,0.00,0.00,44.33
16:45 - 17:00,227.45,156.14,12.53,0.00,0.00,45.30
17:00 - 17:15,241.91,191.80,4.82,0.00,0.00,-5.00
17:15 - 17:30,203.36,212.04,4.82,0.00,0.00,-25.00
17:30 - 17:45,220.71,173.48,4.82,0.00,0.00,-45.00
17:45 - 18:00,170.59,167.70,4.82,0.00,0.00,-55.00
18:00 - 18:15,57.83,139.75,2.89,0.00,0.00,-75.00
18:15 - 18:30,198.54,141.68,3.86,0.00,0.00,-70.00
18:30 - 18:45,100.24,132.03,6.75,0.00,0.00,91.56
18:45 - 19:00,26.02,133.01,7.71,0.00,0.00,57.83
19:00 - 19:15,5.78,15.42,11.57,-10.00,-19.00,86.74
19:15 - 19:30,42.87,-16.00,8.87,-10.00,-19.00,29.57
19:30 - 19:45,87.71,4.17,5.22,-10.00,-7.20,-20.00
19:45 - 20:00,86.85,0.00,5.02,-10.00,-7.20,-20.00
20:00 - 20:15,104.61,-51.00,2.82,-10.00,0.00,-68.00
20:15 - 20:30,100.58,-49.00,2.58,-10.00,0.00,-60.00
20:30 - 20:45,237.55,-46.00,4.18,-10.00,0.00,-50.00
20:45 - 21:00,245.47,-55.00,4.30,-10.00,0.00,-55.00
21:00 - 21:15,79.25,-78.00,4.59,-10.00,0.00,-48.00
21:15 - 21:30,80.56,-73.00,4.35,-10.00,0.00,-48.00
21:30 - 21:45,82.92,-92.00,4.01,-10.00,0.00,-45.00
21:45 - 22:00,78.29,-82.00,3.86,-10.00,0.00,-45.00
22:00 - 22:15,52.31,-33.00,4.98,-10.00,0.00,-60.00
