Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,42.81,0.37,-70.00,0.12,0.57
00:15 - 00:30,0.00,0.00,0.39,-70.00,0.10,0.76
00:30 - 00:45,-67.00,-28.00,0.48,-70.00,0.04,0.93
00:45 - 01:00,-86.00,-68.00,0.56,-71.00,0.08,0.86
01:00 - 01:15,-86.00,-75.00,0.88,-70.00,0.12,3.42
01:15 - 01:30,-83.00,-79.00,0.98,-71.00,0.09,7.76
01:30 - 01:45,-166.00,-67.00,1.88,-71.00,0.00,0.74
01:45 - 02:00,-183.00,-66.00,2.27,-70.00,0.00,0.94
02:00 - 02:15,-183.00,-60.00,4.37,-71.00,0.00,-16.00
02:15 - 02:30,-204.00,-56.00,4.66,-72.00,0.00,-16.00
02:30 - 02:45,-221.00,-49.00,9.91,-72.00,0.18,-30.00
02:45 - 03:00,-246.00,-63.00,10.58,-72.00,0.00,-30.00
03:00 - 03:15,-176.00,57.68,9.62,-71.00,0.58,-22.00
03:15 - 03:30,-137.00,57.69,9.62,-71.00,0.67,-21.00
03:30 - 03:45,-93.00,46.15,9.62,-71.00,0.77,-10.00
03:45 - 04:00,-29.00,59.61,9.62,-72.00,0.38,-9.00
04:00 - 04:15,27.88,59.61,9.62,-71.00,0.00,-5.00
04:15 - 04:30,0.00,58.64,9.62,-71.00,0.10,-6.00
04:30 - 04:45,-14.00,52.87,9.62,-71.00,0.00,17.31
04:45 - 05:00,-27.00,53.84,9.62,-70.00,0.00,17.31
05:00 - 05:15,-41.00,55.77,10.58,-70.00,3.65,-4.00
05:15 - 05:30,-50.00,49.03,10.58,-70.00,3.85,-1.00
05:30 - 05:45,-86.00,52.88,11.54,-70.00,2.69,-17.00
05:45 - 06:00,-94.00,52.88,11.54,-71.00,1.54,-27.00
06:00 - 06:15,-90.00,38.22,9.94,-70.00,2.75,-32.00
06:15 - 06:30,-91.00,25.74,7.43,-71.00,1.77,-27.00
06:30 - 06:45,-117.00,20.21,6.57,-71.00,0.65,-30.00
06:45 - 07:00,-161.00,25.94,9.08,-70.00,0.00,33.73
07:00 - 07:15,-43.00,-36.00,13.46,-67.00,0.00,-44.00
07:15 - 07:30,-55.00,-15.00,13.46,-66.00,0.00,25.96
07:30 - 07:45,-59.00,-18.00,14.42,-66.00,0.10,56.73
07:45 - 08:00,-49.00,14.42,14.42,-67.00,0.00,65.39
08:00 - 08:15,-71.00,-6.00,11.53,-66.00,0.00,9.62
08:15 - 08:30,-65.00,-6.00,12.50,-67.00,0.00,37.50
08:30 - 08:45,-101.00,-19.00,13.46,-69.00,0.00,33.65
08:45 - 09:00,-106.00,-23.00,14.42,-66.00,0.00,11.54
09:00 - 09:15,-54.00,-17.00,12.50,-93.00,0.00,31.73
09:15 - 09:30,-38.00,-21.00,13.46,-80.00,0.00,17.31
09:30 - 09:45,-69.00,-30.00,13.46,-66.00,0.00,24.04
09:45 - 10:00,-82.00,-38.00,13.46,-55.00,0.00,28.85
10:00 - 10:15,0.00,-11.00,13.46,-46.00,0.00,86.54
10:15 - 10:30,23.08,0.00,13.46,-41.00,0.00,96.15
10:30 - 10:45,-22.00,0.00,13.46,-37.00,0.00,43.27
10:45 - 11:00,-19.00,0.00,13.46,-32.00,0.00,38.46
11:00 - 11:15,-52.00,-10.00,13.46,-29.00,0.00,38.46
11:15 - 11:30,-50.00,-15.00,13.46,-27.00,0.00,48.08
11:30 - 11:45,-46.00,-26.00,14.90,-25.00,0.00,52.89
11:45 - 12:00,-44.00,-45.00,14.90,-25.00,0.00,28.85
12:00 - 12:15,-64.00,-73.00,15.86,-24.00,0.00,48.08
12:15 - 12:30,-58.00,-84.00,15.86,-22.00,0.00,57.69
12:30 - 12:45,-56.00,-83.00,15.86,-20.00,0.00,72.12
12:45 - 13:00,-62.00,-84.00,15.86,-18.00,0.00,43.27
13:00 - 13:15,-98.00,-106.00,15.86,-17.00,0.00,-10.00
13:15 - 13:30,-100.00,-94.00,15.86,-18.00,0.00,19.23
13:30 - 13:45,-122.00,-96.00,16.83,-20.00,0.00,19.23
13:45 - 14:00,-119.00,-97.00,16.83,-21.00,0.00,14.42
14:00 - 14:15,-81.00,-70.00,18.27,-15.00,0.00,-5.00
14:15 - 14:30,-41.00,-61.00,18.27,-14.00,0.00,4.81
14:30 - 14:45,0.00,-100.00,19.23,-11.00,0.00,28.85
14:45 - 15:00,0.00,-46.00,19.23,-8.00,0.00,38.46
15:00 - 15:15,68.27,-113.00,20.19,-10.00,0.00,43.27
15:15 - 15:30,103.84,-68.00,20.19,-8.00,0.00,43.27
15:30 - 15:45,103.84,-75.00,20.19,-9.00,0.00,24.04
15:45 - 16:00,124.99,-65.00,20.19,-13.00,0.00,48.08
16:00 - 16:15,32.69,-35.00,22.11,-15.00,0.00,52.89
16:15 - 16:30,8.65,-30.00,22.11,-19.00,0.00,62.51
16:30 - 16:45,0.00,-19.00,21.15,-27.00,0.10,-55.00
16:45 - 17:00,0.00,-25.00,20.19,-32.00,0.00,72.11
17:00 - 17:15,0.00,-59.00,19.23,-40.00,0.00,29.81
17:15 - 17:30,-29.00,-73.00,18.27,-47.00,0.00,23.07
17:30 - 17:45,-72.00,-99.00,18.27,-61.00,0.00,-2.00
17:45 - 18:00,-13.00,-35.00,17.31,-67.00,0.00,29.80
18:00 - 18:15,-31.00,-43.00,18.27,-57.00,1.44,8.65
18:15 - 18:30,-141.00,-68.00,19.23,-53.00,4.52,4.81
18:30 - 18:45,-211.00,-131.00,19.23,-53.00,6.44,-2.00
18:45 - 19:00,-202.00,-119.00,11.99,-53.00,4.80,-21.00
19:00 - 19:15,-192.00,-133.00,4.25,-53.00,1.34,-11.00
19:15 - 19:30,-179.00,-139.00,1.77,-51.00,0.98,-1.00
19:30 - 19:45,-159.00,-156.00,1.38,-52.00,0.81,-2.00
19:45 - 20:00,-149.00,-155.00,1.45,-52.00,0.81,0.29
20:00 - 20:15,-146.00,-144.00,1.02,-52.00,0.77,0.00
20:15 - 20:30,-132.00,-154.00,0.95,-54.00,0.62,6.47
20:30 - 20:45,-77.00,-128.00,1.46,-54.00,1.11,17.63
20:45 - 21:00,-39.00,-128.00,1.53,-53.00,0.93,24.07
21:00 - 21:15,-10.00,-105.00,2.02,-52.00,1.38,50.44
