Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,88.51,129.89,11.06,0.00,0.00,-195.00
00:15 - 00:30,112.57,117.38,11.06,0.00,0.00,-125.00
00:30 - 00:45,158.75,33.67,10.10,0.00,0.00,-50.00
00:45 - 01:00,187.61,14.43,10.10,0.00,0.00,-45.00
01:00 - 01:15,181.84,25.98,10.10,0.00,0.00,-55.00
01:15 - 01:30,180.88,24.05,10.10,0.00,0.00,-60.00
01:30 - 01:45,187.61,19.24,9.62,-21.00,0.00,-65.00
01:45 - 02:00,182.80,0.00,9.62,-21.00,0.00,-70.00
02:00 - 02:15,241.49,-20.00,9.62,-16.00,0.00,-100.00
02:15 - 02:30,237.64,-18.00,9.62,-16.00,0.00,-95.00
02:30 - 02:45,130.85,-20.00,9.62,-15.00,0.00,-55.00
02:45 - 03:00,103.91,-30.00,9.62,-23.00,0.00,-30.00
03:00 - 03:15,109.68,49.07,8.66,-23.00,0.00,0.00
03:15 - 03:30,97.17,48.11,8.66,-21.00,0.00,-5.00
03:30 - 03:45,179.91,47.14,8.66,-21.00,0.00,-15.00
03:45 - 04:00,175.10,47.14,8.66,-20.00,0.00,-30.00
04:00 - 04:15,184.72,41.37,8.66,-15.00,0.00,-5.00
04:15 - 04:30,172.21,40.41,8.66,-17.00,0.00,9.62
04:30 - 04:45,142.39,31.75,8.66,-17.00,0.00,0.00
04:45 - 05:00,133.73,29.83,8.66,-16.00,0.00,0.00
05:00 - 05:15,142.39,30.79,8.66,-14.00,0.00,0.00
05:15 - 05:30,165.48,37.52,8.66,-15.00,0.00,0.00
05:30 - 05:45,49.07,14.43,9.62,-14.00,0.00,-20.00
05:45 - 06:00,52.92,31.75,9.62,-16.00,0.00,-20.00
06:00 - 06:15,76.00,-7.00,17.32,-15.00,0.00,-30.00
06:15 - 06:30,93.32,-12.00,17.32,-17.00,0.00,-30.00
06:30 - 06:45,108.72,-5.00,18.28,-16.00,0.00,-35.00
06:45 - 07:00,88.51,-9.00,18.28,-15.00,0.00,-35.00
07:00 - 07:15,82.74,-10.00,18.28,-19.00,0.00,-25.00
07:15 - 07:30,52.92,19.24,18.28,-17.00,0.00,-20.00
07:30 - 07:45,25.98,48.10,18.28,-18.00,0.00,14.43
07:45 - 08:00,0.00,45.22,17.32,0.00,0.00,28.86
08:00 - 08:15,0.00,30.79,18.28,0.00,0.00,28.86
08:15 - 08:30,-17.00,30.79,18.28,0.00,0.00,19.24
08:30 - 08:45,28.86,0.00,21.17,0.00,0.00,9.62
08:45 - 09:00,33.67,0.00,23.09,0.00,0.00,4.81
09:00 - 09:15,52.92,15.39,24.05,0.00,0.00,24.05
09:15 - 09:30,62.53,13.47,23.09,0.00,0.00,48.11
09:30 - 09:45,64.46,0.00,24.05,0.00,0.00,48.11
09:45 - 10:00,68.31,9.62,23.09,0.00,0.00,48.11
10:00 - 10:15,55.80,9.62,23.09,0.00,0.00,48.11
