Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
18:30 - 18:45,-45.00,26.99,-1.00,19.27,0.00,0.00,-33.00
18:45 - 19:00,-15.00,-49.00,-1.00,17.65,0.00,1.68,-63.00
19:00 - 19:15,-7.00,-58.00,-1.00,12.27,0.00,2.70,-90.00
19:15 - 19:30,-42.00,-90.00,-1.00,10.95,0.00,4.22,-115.00
19:30 - 19:45,-64.00,-94.00,-1.00,14.74,-6.00,4.28,-99.00
19:45 - 20:00,-46.00,-96.00,-1.00,19.27,-6.00,6.46,-91.00
20:00 - 20:15,-84.00,-45.00,-1.00,17.92,-16.00,4.05,-71.00
20:15 - 20:30,-107.00,-45.00,-1.00,17.73,-16.00,0.00,-40.00
20:30 - 20:45,-40.00,0.00,-1.00,17.25,-16.00,0.00,-24.00
20:45 - 21:00,-32.00,16.38,-1.00,16.67,-16.00,0.00,6.75
21:00 - 21:15,-10.00,15.42,-1.00,16.38,-16.00,0.00,-30.00
21:15 - 21:30,0.00,24.09,-1.00,15.90,-16.00,0.00,-32.00
21:30 - 21:45,0.00,26.02,-1.00,15.13,-16.00,0.00,-12.00
21:45 - 22:00,0.00,28.92,-1.00,14.74,-16.00,0.00,-14.00
22:00 - 22:15,13.49,37.58,-1.00,13.88,-16.00,0.00,-3.00
22:15 - 22:30,12.53,28.91,-1.00,13.30,-16.00,0.00,-1.00
22:30 - 22:45,39.51,22.17,-1.00,12.62,-16.00,0.00,-8.00
22:45 - 23:00,36.62,17.35,-1.00,11.66,-16.00,0.00,-7.00
23:00 - 23:15,28.91,-35.00,-1.00,11.28,-16.00,0.00,-97.00
23:15 - 23:30,31.80,-36.00,-1.00,10.89,-16.00,0.00,13.49
23:30 - 23:45,39.51,24.09,-1.00,10.41,-16.00,0.00,95.41
23:45 - 24:00,48.19,24.09,-1.00,10.12,-16.00,0.00,52.04
