Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,153.28,113.75,0.77,-2.00,8.19,0.29,43.38
00:15 - 00:30,149.43,111.82,0.77,-2.00,8.19,0.29,110.86
00:30 - 00:45,147.50,133.03,0.77,-2.00,7.71,0.29,106.04
00:45 - 01:00,134.97,131.10,0.77,-2.00,7.71,0.29,91.58
01:00 - 01:15,141.71,134.96,0.77,-2.00,7.71,0.29,62.66
01:15 - 01:30,141.71,132.07,0.77,-2.00,7.71,0.29,57.84
01:30 - 01:45,160.99,125.32,0.77,-2.00,7.71,0.29,48.20
01:45 - 02:00,160.02,124.36,0.77,-2.00,7.71,0.29,43.38
02:00 - 02:15,47.24,27.96,0.77,-2.00,7.71,0.29,53.01
02:15 - 02:30,88.69,29.88,0.77,-2.00,7.71,0.29,38.56
02:30 - 02:45,80.01,13.50,0.77,-2.00,7.71,0.29,14.46
02:45 - 03:00,81.94,2.89,0.77,-2.00,7.71,0.29,14.46
03:00 - 03:15,86.76,0.00,0.77,-2.00,7.71,0.29,14.46
03:15 - 03:30,87.73,0.00,0.77,-2.00,7.71,0.29,14.46
03:30 - 03:45,79.05,0.00,0.77,-2.00,6.75,0.29,14.46
03:45 - 04:00,76.15,0.00,0.77,-2.00,6.75,0.29,14.46
04:00 - 04:15,81.94,0.00,0.77,-2.00,6.75,0.29,19.28
04:15 - 04:30,81.94,0.00,0.77,-2.00,6.75,0.29,19.28
04:30 - 04:45,81.94,0.00,0.77,-2.00,6.75,0.29,19.28
04:45 - 05:00,87.73,0.00,0.77,-2.00,7.71,0.29,19.28
05:00 - 05:15,108.93,0.00,0.77,-2.00,7.71,0.29,24.10
05:15 - 05:30,105.08,0.00,0.77,-2.00,7.71,0.29,33.74
05:30 - 05:45,86.76,0.00,0.77,-2.00,8.68,0.29,57.84
05:45 - 06:00,98.33,0.00,0.77,-2.00,10.41,0.29,57.84
06:00 - 06:15,145.57,19.28,0.77,-2.00,10.60,0.29,43.38
06:15 - 06:30,186.05,32.78,0.77,-2.00,11.57,0.29,48.20
06:30 - 06:45,157.13,28.92,0.77,-2.00,11.57,0.29,62.66
06:45 - 07:00,139.78,33.74,0.77,-2.00,12.53,0.29,67.48
07:00 - 07:15,94.47,28.92,0.77,-2.00,13.50,0.29,48.20
07:15 - 07:30,67.48,24.10,0.77,-2.00,13.50,0.29,62.66
07:30 - 07:45,63.62,0.00,0.77,-2.00,14.46,0.29,48.20
07:45 - 08:00,82.90,0.00,0.77,-2.00,14.46,0.29,48.20
08:00 - 08:15,104.11,0.00,0.77,-2.00,12.53,0.29,57.84
08:15 - 08:30,99.29,0.00,0.77,-2.00,13.50,0.29,57.84
08:30 - 08:45,78.08,0.00,0.77,-2.00,13.50,0.29,81.94
08:45 - 09:00,63.62,0.00,0.77,-2.00,13.50,0.29,67.48
09:00 - 09:15,70.37,0.00,0.77,-0.80,13.50,0.29,86.76
09:15 - 09:30,63.62,0.00,0.77,-0.80,14.46,0.29,72.30
09:30 - 09:45,95.44,0.00,0.77,-0.80,13.88,0.29,77.12
09:45 - 10:00,80.01,0.00,0.77,-0.80,13.50,0.29,77.12
10:00 - 10:15,94.47,12.53,0.77,-0.80,13.50,0.29,77.12
10:15 - 10:30,86.75,11.57,0.77,-0.80,13.50,0.29,77.12
