Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,145.11,-15.00,2.90,-75.00,48.37
00:15 - 00:30,70.62,-12.00,2.90,-74.00,29.02
00:30 - 00:45,16.45,-14.00,2.90,-75.00,-2.00
00:45 - 01:00,-19.00,-19.00,2.90,-74.00,-3.00
01:00 - 01:15,-29.00,-32.00,2.90,-74.00,-8.00
01:15 - 01:30,-16.00,-32.00,2.90,-74.00,0.00
01:30 - 01:45,-21.00,-31.00,2.90,-75.00,-14.00
01:45 - 02:00,-59.00,-28.00,2.90,-75.00,-11.00
02:00 - 02:15,-19.00,86.10,1.93,-61.00,-20.00
02:15 - 02:30,-41.00,112.22,1.93,-61.00,-20.00
02:30 - 02:45,-11.00,137.38,1.93,-61.00,-25.00
02:45 - 03:00,-6.00,140.28,1.93,-60.00,-25.00
03:00 - 03:15,-14.00,123.82,0.97,-61.00,-25.00
03:15 - 03:30,-17.00,121.89,0.97,-60.00,-22.00
03:30 - 03:45,-13.00,102.54,0.97,-59.00,-20.00
03:45 - 04:00,-15.00,101.57,0.97,-59.00,-20.00
04:00 - 04:15,20.32,110.28,0.00,-59.00,9.67
04:15 - 04:30,16.45,111.25,0.00,-59.00,9.67
04:30 - 04:45,34.83,116.08,0.00,-59.00,19.35
04:45 - 05:00,-11.00,118.99,0.00,-60.00,23.22
05:00 - 05:15,-26.00,116.08,0.00,-59.00,38.70
05:15 - 05:30,-67.00,132.54,0.00,-60.00,43.53
05:30 - 05:45,-91.00,137.37,0.97,-59.00,43.53
05:45 - 06:00,-99.00,134.47,1.26,-59.00,40.63
06:00 - 06:15,-58.00,128.66,1.93,-59.00,46.44
06:15 - 06:30,-69.00,128.66,2.61,-59.00,46.44
06:30 - 06:45,-107.00,133.50,3.19,-60.00,33.86
06:45 - 07:00,-105.00,138.34,3.87,-59.00,43.53
07:00 - 07:15,-141.00,140.27,4.55,-59.00,25.15
07:15 - 07:30,-123.00,142.20,4.84,-58.00,26.12
07:30 - 07:45,-139.00,137.37,2.42,-57.00,38.70
07:45 - 08:00,-121.00,146.08,2.90,-57.00,43.53
08:00 - 08:15,-114.00,102.55,0.00,-37.00,43.53
08:15 - 08:30,-114.00,103.51,0.00,-35.00,43.53
08:30 - 08:45,-116.00,23.22,0.97,-34.00,50.30
08:45 - 09:00,-126.00,72.56,1.64,-24.00,62.88
09:00 - 09:15,-64.00,11.61,8.71,-49.00,67.71
09:15 - 09:30,-76.00,9.67,8.71,-33.00,48.37
09:30 - 09:45,-31.00,7.74,9.58,-19.00,62.88
09:45 - 10:00,-35.00,11.61,9.96,-19.00,67.72
10:00 - 10:15,-26.00,27.09,8.90,-19.00,67.72
10:15 - 10:30,-37.00,31.92,8.71,-19.00,62.88
10:30 - 10:45,-69.00,38.70,10.16,-19.00,97.70
10:45 - 11:00,-67.00,46.44,10.16,-19.00,105.44
11:00 - 11:15,-32.00,58.04,9.38,-19.00,101.58
11:15 - 11:30,-42.00,72.56,9.38,-19.00,91.90
11:30 - 11:45,-39.00,33.86,9.38,-19.00,82.23
11:45 - 12:00,-53.00,53.21,9.38,-19.00,77.39
12:00 - 12:15,-57.00,72.56,8.71,-19.00,74.48
12:15 - 12:30,-61.00,63.85,8.71,-19.00,69.65
12:30 - 12:45,-113.00,89.96,8.71,-19.00,82.23
12:45 - 13:00,-112.00,85.12,8.71,-19.00,72.56
