Generator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Revision No,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT-Bawana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Schedule,757.4752,821.4752,821.4752,821.4752,719.9996,719.9996,719.9996,719.9996,891.4752,861.4752,900.0001,891.4752,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,762.7008,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0000,730.0001,730.0001,730.0001,730.0001,730.0001,730.0001,730.0001,730.0001,730.0001,730.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,740.0001,756.4752,756.4752,856.4752,856.4752,893.4752,893.4752,853.4752,853.4752,853.4752,853.4752,888.4752,873.4752,753.4752,753.4752,753.4752,833.4752,753.4752,753.4752,739.9999,739.9999,740.0001,740.0000,753.4752,853.4752,777.0000,880.0000,880.0000,880.0000,880.0000,880.0000,880.0000,880.0000
DC Considered for Schedule,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1220.00,1220.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1180.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00
