Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-170.00,0.00,20.27,-47.00,0.00,-26.00
00:15 - 00:30,-165.00,-10.00,19.31,-48.00,0.00,-29.00
00:30 - 00:45,-133.00,0.00,19.31,-48.00,0.00,-43.00
00:45 - 01:00,-168.00,0.00,18.34,-48.00,0.00,-41.00
01:00 - 01:15,-48.00,44.40,18.34,-48.00,0.00,-110.00
01:15 - 01:30,-70.00,24.13,17.38,-48.00,0.00,-125.00
01:30 - 01:45,-93.00,-24.00,17.38,-48.00,0.00,-100.00
01:45 - 02:00,-113.00,-22.00,17.38,-49.00,0.00,-95.00
02:00 - 02:15,-145.00,-40.00,17.38,-48.00,0.00,-90.00
02:15 - 02:30,-172.00,-40.00,17.38,-48.00,0.00,-55.00
02:30 - 02:45,-198.00,-13.00,17.09,-48.00,0.00,-80.00
02:45 - 03:00,-205.00,-9.00,17.09,-48.00,0.00,-80.00
03:00 - 03:15,-158.00,-7.00,16.70,-48.00,0.00,-92.00
03:15 - 03:30,-150.00,0.00,16.41,-48.00,0.00,-92.00
03:30 - 03:45,-130.00,9.65,16.41,-48.00,0.00,-19.00
03:45 - 04:00,-117.00,14.48,16.41,-48.00,0.00,24.13
04:00 - 04:15,-125.00,0.00,16.41,-49.00,0.00,9.65
04:15 - 04:30,-114.00,0.00,16.41,-49.00,0.00,57.92
04:30 - 04:45,-72.00,0.00,16.41,-49.00,0.00,77.22
04:45 - 05:00,-85.00,9.65,16.89,-48.00,0.00,82.06
05:00 - 05:15,-107.00,-28.00,17.66,-68.00,0.00,-60.00
05:15 - 05:30,-94.00,-33.00,18.82,-68.00,0.00,82.05
05:30 - 05:45,-87.00,-24.00,19.31,-67.00,0.00,86.87
05:45 - 06:00,-96.00,-28.00,20.27,-68.00,0.00,53.09
06:00 - 06:15,-109.00,14.48,20.75,-67.00,0.00,57.92
06:15 - 06:30,-135.00,9.65,21.24,-68.00,0.00,57.92
06:30 - 06:45,-79.00,36.68,21.24,-67.00,0.00,72.40
06:45 - 07:00,-108.00,38.61,21.72,-68.00,0.00,72.40
07:00 - 07:15,-11.00,55.02,21.72,-67.00,0.00,72.40
07:15 - 07:30,-10.00,58.89,22.20,-67.00,0.00,-33.00
07:30 - 07:45,57.92,82.05,22.20,-85.00,0.00,24.13
07:45 - 08:00,71.43,84.95,22.68,-96.00,0.00,67.57
08:00 - 08:15,99.43,116.81,15.44,-91.00,0.00,95.56
08:15 - 08:30,113.91,116.80,16.41,-107.00,0.00,102.32
08:30 - 08:45,150.58,39.58,17.38,-90.00,0.00,62.74
08:45 - 09:00,141.90,33.79,18.34,-76.00,0.00,62.74
09:00 - 09:15,147.69,57.92,17.38,-67.00,0.00,135.14
09:15 - 09:30,110.04,54.06,17.38,-54.00,0.00,135.14
09:30 - 09:45,190.16,64.68,17.38,-42.00,0.00,120.66
09:45 - 10:00,148.65,55.02,17.38,-32.00,0.00,115.84
10:00 - 10:15,197.88,84.95,17.38,-23.00,0.00,128.38
10:15 - 10:30,166.99,76.26,17.38,-16.00,0.00,117.77
10:30 - 10:45,20.27,71.43,18.34,-11.00,0.00,103.29
10:45 - 11:00,3.86,51.16,18.34,-9.00,0.00,109.08
11:00 - 11:15,-6.00,81.09,16.41,0.00,0.00,138.03
11:15 - 11:30,-25.00,77.22,16.41,0.00,0.00,130.32
11:30 - 11:45,-33.00,43.44,16.41,0.00,0.00,124.52
11:45 - 12:00,49.23,45.37,16.41,0.00,0.00,128.38
12:00 - 12:15,86.88,43.44,16.41,0.00,0.00,14.48
12:15 - 12:30,67.57,36.68,16.41,0.00,0.00,-32.00
12:30 - 12:45,28.96,52.13,15.44,0.00,0.00,-78.00
12:45 - 13:00,23.17,49.23,15.44,0.00,0.00,-87.00
13:00 - 13:15,55.99,0.00,15.44,0.00,0.00,-125.00
13:15 - 13:30,30.89,0.00,15.44,0.00,0.00,-94.00
13:30 - 13:45,26.06,0.00,13.51,0.00,0.00,0.97
13:45 - 14:00,39.58,0.00,13.51,0.00,0.00,45.37
14:00 - 14:15,54.06,20.27,15.44,0.00,0.00,52.13
14:15 - 14:30,41.51,20.27,15.44,0.00,0.00,75.30
14:30 - 14:45,0.00,35.72,15.44,0.00,0.00,21.24
14:45 - 15:00,0.00,27.99,15.44,0.00,0.00,50.20
15:00 - 15:15,-153.00,24.13,17.38,0.00,0.00,83.01
15:15 - 15:30,-169.00,12.55,17.38,0.00,0.00,92.66
15:30 - 15:45,-127.00,0.00,17.38,0.00,0.00,62.74
15:45 - 16:00,-121.00,0.00,17.38,0.00,0.00,67.57
16:00 - 16:15,-128.00,0.00,19.31,0.00,0.00,-4.00
16:15 - 16:30,-140.00,0.00,19.30,0.00,0.00,0.97
16:30 - 16:45,-193.00,-25.00,19.31,0.00,0.00,-35.00
16:45 - 17:00,-201.00,-20.00,19.31,0.00,0.00,-40.00
17:00 - 17:15,-239.00,-46.00,22.20,0.00,0.00,-51.00
17:15 - 17:30,-227.00,-48.00,22.20,0.00,0.00,-50.00
17:30 - 17:45,-251.00,-50.00,21.24,0.00,0.00,-65.00
17:45 - 18:00,-251.00,-47.00,20.27,0.00,0.00,-79.00
18:00 - 18:15,-322.00,-46.00,21.24,-62.00,0.00,-12.00
18:15 - 18:30,-357.00,-45.00,21.24,-73.00,0.00,-26.00
18:30 - 18:45,-245.00,-58.00,21.24,-36.00,0.00,11.58
18:45 - 19:00,-278.00,-88.00,22.21,-38.00,0.00,15.44
19:00 - 19:15,0.00,0.00,22.20,-36.00,0.00,139.97
19:15 - 19:30,0.00,-13.00,22.20,-38.00,0.00,63.71
19:30 - 19:45,-45.00,-18.00,22.20,-40.00,0.00,-30.00
19:45 - 20:00,-46.00,-19.00,22.20,-40.00,0.00,-68.00
20:00 - 20:15,-62.00,-32.00,23.17,-41.00,1.16,-12.00
20:15 - 20:30,-79.00,-26.00,23.16,-42.00,1.35,17.38
20:30 - 20:45,-69.00,-28.00,23.17,-44.00,2.22,79.15
20:45 - 21:00,-79.00,-36.00,23.17,-43.00,1.83,70.47
21:00 - 21:15,-148.00,-58.00,23.17,-43.00,1.45,116.80
21:15 - 21:30,-197.00,-72.00,23.17,-44.00,1.64,106.18
21:30 - 21:45,-185.00,-76.00,23.17,-41.00,0.77,109.08
21:45 - 22:00,-185.00,-76.00,23.17,-45.00,1.45,107.14
22:00 - 22:15,-209.00,-17.00,22.20,-57.00,2.51,42.47
22:15 - 22:30,-182.00,-16.00,22.20,-61.00,2.61,42.47
22:30 - 22:45,-75.00,0.00,21.24,-71.00,2.51,-31.00
22:45 - 23:00,-37.00,0.00,21.23,-72.00,0.10,-25.00
23:00 - 23:15,-63.00,0.00,21.24,-73.00,3.28,-10.00
23:15 - 23:30,-71.00,0.00,21.24,-71.00,1.93,-15.00
23:30 - 23:45,-79.00,0.00,20.27,-70.00,0.58,9.65
23:45 - 24:00,-104.00,0.00,20.27,-70.00,0.58,14.48
