Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,193.46,149.19,9.63,-39.00,0.00,38.50
00:15 - 00:30,147.26,150.15,9.63,-42.00,0.00,37.54
00:30 - 00:45,92.40,149.19,9.63,-46.00,0.00,43.31
00:45 - 01:00,39.46,146.30,9.14,-49.00,0.00,37.54
01:00 - 01:15,0.00,146.30,9.14,-50.00,0.00,25.99
01:15 - 01:30,-40.00,149.19,8.66,-60.00,0.00,18.29
01:30 - 01:45,-85.98,74.12,8.66,-61.00,0.00,15.40
01:45 - 02:00,-111.00,77.00,8.47,-61.00,0.00,35.61
02:00 - 02:15,-111.00,55.83,8.18,-64.00,0.00,24.06
02:15 - 02:30,-67.00,64.48,7.99,-89.00,0.00,14.44
02:30 - 02:45,-20.00,70.27,7.70,-89.00,0.00,24.06
02:45 - 03:00,22.14,69.30,7.41,-91.00,0.00,24.06
03:00 - 03:15,155.92,53.90,7.22,-85.00,0.00,34.65
03:15 - 03:30,111.64,48.13,7.03,-86.00,0.00,34.65
03:30 - 03:45,111.65,62.56,6.74,-87.00,0.00,39.46
03:45 - 04:00,80.85,53.90,6.35,-87.00,0.00,37.54
04:00 - 04:15,102.99,53.90,6.06,-43.00,0.00,38.50
04:15 - 04:30,113.57,52.94,5.78,-44.00,0.00,37.54
04:30 - 04:45,67.37,40.43,4.81,-45.00,0.00,37.54
04:45 - 05:00,0.00,44.28,4.52,-54.00,0.00,37.54
05:00 - 05:15,57.75,43.31,4.24,-54.00,0.00,38.50
05:15 - 05:30,58.71,48.13,3.85,-54.00,0.00,38.50
05:30 - 05:45,76.04,38.50,3.56,-75.00,0.00,43.31
05:45 - 06:00,67.38,34.65,2.89,-96.00,0.00,43.31
06:00 - 06:15,57.75,47.16,1.93,-105.00,0.00,38.50
06:15 - 06:30,61.60,37.54,0.96,-101.00,0.87,38.50
06:30 - 06:45,20.21,4.81,0.00,-97.00,0.10,14.44
06:45 - 07:00,0.00,24.06,-1.00,-94.00,0.00,7.70
07:00 - 07:15,-12.00,17.33,-1.50,-88.00,0.00,-14.00
07:15 - 07:30,-28.00,34.65,-2.00,-81.00,0.00,-8.00
07:30 - 07:45,-11.00,28.88,-3.00,-75.00,0.00,-3.00
07:45 - 08:00,10.59,28.87,-3.70,-66.00,0.00,-5.00
08:00 - 08:15,-38.00,67.38,-7.00,-46.00,0.00,12.51
08:15 - 08:30,-23.00,60.63,-8.00,-45.00,0.00,5.78
08:30 - 08:45,-60.00,77.96,-7.00,-45.00,0.00,26.95
