Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-89.00,-7.00,8.59,-44.00,0.89,-27.80,-7.00
00:15 - 00:30,-166.00,-50.00,9.59,-44.00,0.00,-30.00,28.41
00:30 - 00:45,-196.00,-45.00,10.23,-34.00,0.00,-30.00,107.68
00:45 - 01:00,-198.00,-45.00,11.32,-37.00,0.00,-30.00,87.13
01:00 - 01:15,-204.00,-40.00,12.26,-32.00,0.00,-30.00,-15.00
01:15 - 01:30,-193.00,-40.00,12.07,-32.00,0.00,0.00,-20.00
01:30 - 01:45,-164.00,-37.00,11.87,-32.00,0.00,0.00,-25.00
01:45 - 02:00,-136.00,-35.00,11.58,-32.00,0.00,0.00,-25.00
02:00 - 02:15,-169.00,-57.00,11.29,-32.00,0.00,0.00,28.96
02:15 - 02:30,-185.00,-57.00,11.10,-31.00,0.00,0.00,77.22
02:30 - 02:45,-248.00,-58.00,10.91,-31.00,0.00,0.00,-30.00
02:45 - 03:00,-531.00,-30.00,10.62,-30.00,0.00,0.00,-35.00
03:00 - 03:15,-109.00,-12.00,10.14,-31.00,0.00,0.00,-35.00
03:15 - 03:30,-224.00,-26.00,9.65,-31.00,0.00,0.00,-40.00
03:30 - 03:45,-372.00,-39.00,9.36,-30.00,0.00,0.00,-40.00
03:45 - 04:00,-321.00,-55.00,9.36,-32.00,0.00,0.00,-40.00
04:00 - 04:15,-38.00,-83.00,9.36,-32.00,0.00,0.00,-25.00
04:15 - 04:30,-49.00,-90.00,9.36,-32.00,0.00,0.00,-40.00
04:30 - 04:45,-65.00,-98.00,9.36,-32.00,0.00,0.00,-10.00
04:45 - 05:00,-86.00,-106.00,9.65,-32.00,0.00,0.00,-10.00
05:00 - 05:15,-118.00,-114.00,9.94,-32.00,0.00,0.00,-10.00
05:15 - 05:30,-119.00,-123.00,10.33,-32.00,0.00,0.00,-10.00
05:30 - 05:45,-140.00,-125.00,10.62,-32.00,0.00,0.00,-10.00
05:45 - 06:00,-141.00,-124.00,10.91,-33.00,0.00,0.00,-10.00
06:00 - 06:15,-108.00,-123.00,11.58,-32.00,0.00,0.00,-20.00
06:15 - 06:30,-81.00,-108.00,12.36,-31.00,0.00,0.00,-25.00
06:30 - 06:45,-87.00,-97.00,12.55,-32.00,0.00,0.00,-30.00
06:45 - 07:00,-95.00,-115.00,13.03,-32.00,0.00,0.00,-30.00
07:00 - 07:15,-109.00,-83.00,13.03,-34.00,0.00,0.00,-105.00
07:15 - 07:30,-114.00,-101.00,13.32,-33.00,0.00,0.00,-105.00
07:30 - 07:45,-105.00,-134.00,13.32,-44.00,0.00,0.00,-115.00
07:45 - 08:00,-79.00,-114.00,13.51,-43.00,0.00,0.00,-90.00
08:00 - 08:15,-55.00,-99.00,7.72,-43.00,0.00,0.00,-65.00
08:15 - 08:30,-56.00,-104.00,8.21,-41.00,0.00,0.00,-70.00
08:30 - 08:45,-33.00,-157.00,1.93,-40.00,0.00,0.00,-90.00
08:45 - 09:00,-35.00,-158.00,1.93,-41.00,0.00,0.00,-95.00
09:00 - 09:15,-46.00,-151.00,0.00,-95.00,0.00,0.00,-80.00
09:15 - 09:30,-42.00,-151.00,0.00,-89.00,0.00,0.00,-70.00
09:30 - 09:45,-44.00,-151.00,0.00,-86.00,0.00,0.00,-20.00
09:45 - 10:00,-46.00,-173.00,0.00,-83.00,0.00,0.00,-5.00
10:00 - 10:15,-31.00,-171.00,0.00,-77.00,0.00,0.00,14.48
10:15 - 10:30,-46.00,-158.00,0.00,-71.00,0.00,0.00,28.96
10:30 - 10:45,-33.00,-117.00,0.00,-66.00,0.00,0.00,25.10
10:45 - 11:00,-25.00,-101.00,0.00,-58.00,0.00,0.00,39.58
11:00 - 11:15,-13.00,-65.00,0.00,-56.00,0.00,0.00,40.54
11:15 - 11:30,0.00,-52.00,0.00,-54.00,0.00,0.00,33.79
11:30 - 11:45,-23.00,-71.00,0.00,-52.00,0.00,0.00,33.79
11:45 - 12:00,-23.00,-68.00,0.00,-49.00,0.00,0.00,33.79
12:00 - 12:15,-41.00,-40.00,0.00,-46.00,0.00,0.00,33.79
12:15 - 12:30,-38.00,-35.00,0.00,-43.00,0.00,0.00,29.92
12:30 - 12:45,-52.00,-56.00,0.00,-41.00,0.00,0.00,36.68
12:45 - 13:00,-50.00,-59.00,0.00,-39.00,0.00,0.00,37.65
13:00 - 13:15,-11.00,-55.00,0.00,-37.00,0.00,0.00,31.85
13:15 - 13:30,-9.00,-58.00,0.00,-35.00,0.00,0.00,21.24
13:30 - 13:45,-22.00,-54.00,0.00,-28.00,0.00,0.00,-4.00
13:45 - 14:00,-18.00,-49.00,0.00,-25.00,0.00,0.00,13.51
14:00 - 14:15,-35.00,-41.00,0.00,-30.00,0.00,0.00,-26.00
14:15 - 14:30,-37.00,-46.00,0.00,-27.00,0.00,0.00,-21.00
14:30 - 14:45,-32.00,-43.00,0.00,-26.00,0.00,0.00,-24.00
14:45 - 15:00,-32.00,-49.00,0.00,-24.00,0.00,0.00,-29.00
15:00 - 15:15,-49.00,-33.00,3.86,-23.00,0.00,0.00,-1.00
15:15 - 15:30,-63.00,-37.00,3.86,-23.00,0.00,0.00,2.90
15:30 - 15:45,-49.00,-36.00,3.86,-23.00,0.00,0.00,15.45
15:45 - 16:00,-65.00,-41.00,3.86,-24.00,0.00,0.00,16.41
16:00 - 16:15,-79.00,-56.00,6.76,-20.00,0.00,0.00,38.61
16:15 - 16:30,-113.00,-23.00,7.72,-22.00,0.00,0.00,37.65
16:30 - 16:45,-58.00,19.31,7.72,-24.00,0.00,0.00,62.74
16:45 - 17:00,-69.00,-10.00,7.72,-27.00,0.00,0.00,62.75
17:00 - 17:15,-66.00,4.83,12.55,-9.00,0.00,0.00,75.29
