Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,84.48,38.40,-1.50,15.36,-200.00
00:15 - 00:30,76.80,38.40,-1.50,15.07,-200.00
00:30 - 00:45,62.40,46.08,-1.50,14.88,-218.00
00:45 - 01:00,60.48,68.16,-1.50,14.78,-218.00
01:00 - 01:15,0.00,39.36,-1.50,14.69,-230.00
01:15 - 01:30,0.00,37.44,-1.50,14.59,-230.00
01:30 - 01:45,0.00,44.16,-1.50,14.50,-220.00
01:45 - 02:00,0.00,41.28,-1.50,14.40,-220.00
02:00 - 02:15,-37.00,-20.00,-1.50,14.40,-260.00
02:15 - 02:30,-37.00,-25.00,-1.50,14.40,-260.00
02:30 - 02:45,-31.00,-29.00,-1.50,14.40,-235.00
02:45 - 03:00,-29.00,-30.00,-1.50,14.40,-240.00
03:00 - 03:15,-30.00,-29.00,-1.50,14.40,-245.00
03:15 - 03:30,12.48,-24.00,-1.50,14.40,-245.00
03:30 - 03:45,12.48,-13.00,-1.50,14.40,-245.00
03:45 - 04:00,15.36,-10.00,-1.50,15.36,-245.00
04:00 - 04:15,8.64,-17.00,-1.50,15.36,-250.00
04:15 - 04:30,14.40,-12.00,-1.50,15.36,-250.00
04:30 - 04:45,0.00,-14.00,-1.50,16.32,-246.00
04:45 - 05:00,0.00,-14.00,-1.50,16.32,-250.00
05:00 - 05:15,0.00,-30.00,-1.50,17.76,-212.00
05:15 - 05:30,0.00,23.04,-1.50,19.68,-218.00
05:30 - 05:45,-38.00,-2.00,-1.50,20.16,-190.00
05:45 - 06:00,-30.00,-98.00,-1.50,21.60,-190.00
06:00 - 06:15,-60.00,-120.00,-1.50,23.04,-135.00
06:15 - 06:30,-53.00,-115.00,-1.50,24.96,-140.00
06:30 - 06:45,-67.00,-75.00,-1.50,26.40,-145.00
06:45 - 07:00,-76.00,-48.00,-1.50,27.55,-140.00
07:00 - 07:15,-48.00,-49.00,-1.50,28.32,-123.00
07:15 - 07:30,-47.00,-83.00,-1.50,28.80,-125.00
07:30 - 07:45,-15.00,-45.00,-1.50,28.80,-140.00
07:45 - 08:00,-44.00,-42.00,-1.50,28.80,-215.00
08:00 - 08:15,-65.00,-86.00,-1.50,28.80,-170.00
08:15 - 08:30,-80.00,-38.00,-1.50,28.80,-170.00
08:30 - 08:45,-42.00,-72.00,-1.50,27.84,-165.00
08:45 - 09:00,-58.00,-22.00,-1.50,26.88,-165.00
09:00 - 09:15,-69.00,-22.00,-1.50,26.88,-170.00
09:15 - 09:30,-62.00,-20.00,-1.50,25.92,-154.00
09:30 - 09:45,-56.00,-10.00,-1.50,25.92,-154.00
09:45 - 10:00,-43.00,30.72,-1.50,24.96,-159.00
10:00 - 10:15,-57.00,24.00,-1.00,24.96,-162.00
10:15 - 10:30,-67.00,21.12,-1.00,24.96,-172.00
10:30 - 10:45,8.64,23.04,-1.00,24.96,-177.00
10:45 - 11:00,-12.00,20.16,-1.00,24.00,-178.00
11:00 - 11:15,-31.00,12.48,-1.00,22.08,-216.00
11:15 - 11:30,-38.00,17.28,-1.00,22.08,-216.00
11:30 - 11:45,-34.00,16.32,-1.00,22.08,-203.00
11:45 - 12:00,-47.00,21.12,-1.00,22.08,-193.00
12:00 - 12:15,24.00,11.52,-1.00,21.12,-215.00
12:15 - 12:30,46.08,16.32,-1.00,21.12,-212.00
12:30 - 12:45,26.88,0.00,-1.00,20.16,-230.00
12:45 - 13:00,4.80,0.00,-1.00,20.16,-229.00
13:00 - 13:15,-56.00,0.00,-1.00,19.20,-172.00
13:15 - 13:30,-75.00,-10.00,-1.00,19.20,-173.00
13:30 - 13:45,-74.00,-20.00,-1.00,18.24,-130.00
13:45 - 14:00,-75.00,-11.00,-1.00,18.24,-130.00
14:00 - 14:15,-35.00,-16.00,-1.00,17.28,-149.00
14:15 - 14:30,-40.00,-19.00,-1.00,17.28,-152.00
14:30 - 14:45,-26.00,0.00,-0.27,17.28,-175.00
14:45 - 15:00,-15.99,0.00,0.00,18.24,-180.00
15:00 - 15:15,-61.00,0.00,0.00,19.20,-200.00
15:15 - 15:30,-51.00,0.00,-1.00,19.20,-184.00
15:30 - 15:45,27.84,-12.00,-1.00,19.20,-175.00
15:45 - 16:00,47.04,-54.00,-1.00,20.16,-158.00
16:00 - 16:15,-48.00,-33.00,-1.00,20.16,-148.00
16:15 - 16:30,-15.00,-40.00,-1.00,20.16,-165.00
16:30 - 16:45,17.28,-47.00,-1.00,20.16,-210.00
16:45 - 17:00,21.12,-11.00,-1.00,20.16,-205.00
17:00 - 17:15,18.24,0.00,-1.00,20.16,-190.00
17:15 - 17:30,33.60,0.00,-1.00,20.16,-190.00
17:30 - 17:45,12.48,18.24,-1.00,20.16,-240.00
17:45 - 18:00,0.00,10.56,-1.00,20.16,-220.00
18:00 - 18:15,61.44,24.96,-1.00,20.16,-205.00
18:15 - 18:30,143.04,21.12,-1.00,21.12,-195.00
18:30 - 18:45,48.96,-30.00,-1.00,22.08,-215.00
18:45 - 19:00,48.96,-56.00,-1.00,23.04,-250.00
19:00 - 19:15,46.08,-31.00,-1.00,23.04,-245.00
19:15 - 19:30,43.20,-18.00,-1.00,23.04,-220.00
19:30 - 19:45,-69.00,-24.00,-1.00,20.16,-200.00
19:45 - 20:00,-143.00,-31.00,-1.00,20.74,-200.00
20:00 - 20:15,-64.00,16.32,-1.00,23.04,-210.00
20:15 - 20:30,-74.00,4.80,-1.00,23.04,-215.00
20:30 - 20:45,-26.00,41.28,-1.00,22.08,-220.00
20:45 - 21:00,-36.00,55.68,-1.00,21.12,-220.00
21:00 - 21:15,30.72,48.00,-1.00,20.16,-230.00
21:15 - 21:30,23.04,20.16,-1.00,20.16,-230.00
21:30 - 21:45,17.28,-29.00,-1.00,19.20,-240.00
21:45 - 22:00,40.32,50.88,-1.00,19.20,-240.00
22:00 - 22:15,63.36,94.08,-1.00,18.24,-210.00
22:15 - 22:30,59.52,98.88,-1.00,18.24,-160.00
22:30 - 22:45,24.00,105.60,-1.00,17.28,-125.00
22:45 - 23:00,17.28,102.72,-1.00,17.28,-130.00
23:00 - 23:15,32.64,-58.00,-1.00,16.32,-160.00
23:15 - 23:30,29.76,-101.00,-1.00,15.36,-160.00
23:30 - 23:45,8.64,-102.00,-1.00,14.40,-185.00
23:45 - 24:00,44.16,-78.00,-1.00,14.40,-197.00
