Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,33.73,115.66,15.42,-28.00,82.89
00:15 - 00:30,60.72,107.94,15.42,-29.00,75.18
00:30 - 00:45,-69.00,77.10,14.46,-26.00,-10.00
00:45 - 01:00,-92.00,86.74,14.46,-26.00,-90.00
01:00 - 01:15,-41.00,57.83,13.49,-19.00,-90.00
01:15 - 01:30,-23.00,57.83,13.49,-20.00,-90.00
01:30 - 01:45,0.00,81.92,10.60,-19.00,-102.00
01:45 - 02:00,0.00,83.85,10.60,-19.00,-105.00
02:00 - 02:15,112.76,80.00,9.64,-21.00,-35.00
02:15 - 02:30,101.20,84.81,9.64,-29.00,-31.00
02:30 - 02:45,65.54,94.45,8.67,-31.00,4.82
02:45 - 03:00,53.01,151.32,8.67,-31.00,-25.00
03:00 - 03:15,138.79,161.92,8.67,-17.00,-20.00
03:15 - 03:30,117.58,173.49,8.67,-17.00,0.00
03:30 - 03:45,76.14,159.03,8.67,-16.00,-5.00
03:45 - 04:00,95.42,144.57,8.67,-17.00,-25.00
04:00 - 04:15,96.38,218.79,7.71,-15.00,38.55
04:15 - 04:30,94.45,206.25,7.71,-18.00,57.83
04:30 - 04:45,77.10,191.80,7.71,-19.00,54.94
04:45 - 05:00,69.39,180.23,7.71,-18.00,67.47
05:00 - 05:15,36.62,178.31,7.71,-19.00,48.19
05:15 - 05:30,49.15,168.67,7.71,-19.00,48.19
05:30 - 05:45,90.59,80.00,7.71,-19.00,50.12
05:45 - 06:00,87.71,33.73,7.71,-19.00,53.01
06:00 - 06:15,80.96,14.46,8.67,-18.00,57.83
06:15 - 06:30,60.72,16.38,8.67,-18.00,77.11
06:30 - 06:45,0.00,4.82,8.67,-16.00,72.29
06:45 - 07:00,0.00,14.46,8.67,-15.00,77.11
07:00 - 07:15,-16.00,0.00,9.64,-13.00,67.46
07:15 - 07:30,-7.00,0.00,9.64,-10.00,67.46
07:30 - 07:45,48.19,57.83,9.64,-10.00,28.91
07:45 - 08:00,79.04,77.10,9.64,-10.00,38.55
08:00 - 08:15,78.07,81.92,0.96,-10.00,59.76
08:15 - 08:30,95.41,67.47,0.00,-10.00,67.47
08:30 - 08:45,77.09,19.28,3.86,0.00,57.83
08:45 - 09:00,78.06,19.28,4.82,0.00,53.01
09:00 - 09:15,87.70,62.65,6.75,0.00,38.55
09:15 - 09:30,54.94,67.47,6.75,0.00,81.91
09:30 - 09:45,-26.00,48.19,8.67,0.00,57.83
09:45 - 10:00,-17.00,40.48,7.71,0.00,96.38
10:00 - 10:15,-246.00,33.73,7.71,0.00,-50.00
10:15 - 10:30,-279.00,38.55,7.71,0.00,-60.00
10:30 - 10:45,-195.00,-91.00,6.75,0.00,9.63
10:45 - 11:00,-206.00,-84.00,4.82,0.00,9.64
11:00 - 11:15,-103.00,0.00,3.86,0.00,-25.00
11:15 - 11:30,-102.00,0.00,2.89,0.00,-15.00
11:30 - 11:45,-41.00,48.19,0.96,0.00,48.19
11:45 - 12:00,-24.00,51.08,0.00,0.00,48.19
12:00 - 12:15,29.88,74.21,-3.50,0.00,48.19
12:15 - 12:30,34.70,79.99,-3.50,0.00,48.19
12:30 - 12:45,42.41,53.97,-2.31,0.00,43.37
12:45 - 13:00,53.01,54.94,-2.26,0.00,43.37
13:00 - 13:15,16.38,13.49,6.75,0.00,0.00
13:15 - 13:30,11.57,15.41,6.75,0.00,9.64
13:30 - 13:45,-99.00,4.82,6.75,0.00,-10.00
13:45 - 14:00,-75.00,17.35,6.75,0.00,-40.00
14:00 - 14:15,-62.00,35.66,0.96,0.00,-60.00
14:15 - 14:30,-71.00,52.05,0.96,0.00,-60.00
14:30 - 14:45,-144.00,46.27,0.96,0.00,-75.00
14:45 - 15:00,-101.00,62.65,0.96,0.00,-75.00
15:00 - 15:15,-109.00,72.29,0.00,0.00,-110.00
15:15 - 15:30,-85.00,83.85,0.00,0.00,-110.00
15:30 - 15:45,-78.00,97.34,0.00,0.00,-120.00
15:45 - 16:00,-47.00,101.20,0.00,0.00,-110.00
16:00 - 16:15,-152.00,106.02,0.00,0.00,-70.00
16:15 - 16:30,-125.00,117.58,0.00,0.00,-40.00
16:30 - 16:45,-100.00,131.08,0.00,0.00,-40.00
16:45 - 17:00,-137.00,115.66,0.00,0.00,-45.00
17:00 - 17:15,0.00,149.39,8.67,0.00,-55.00
17:15 - 17:30,0.00,160.96,7.71,0.00,-50.00
17:30 - 17:45,-55.00,191.79,6.75,0.00,-49.00
17:45 - 18:00,-53.00,196.62,5.78,0.00,-40.00
18:00 - 18:15,34.70,140.72,5.78,0.00,28.91
18:15 - 18:30,35.66,133.00,9.64,0.00,43.37
18:30 - 18:45,109.87,115.66,9.64,-33.00,81.92
18:45 - 19:00,118.55,138.79,10.60,-31.00,53.01
19:00 - 19:15,82.89,161.92,13.49,-38.00,27.95
19:15 - 19:30,90.60,172.52,13.49,-38.00,31.81
19:30 - 19:45,73.25,143.61,13.49,-40.00,45.30
19:45 - 20:00,40.48,126.26,13.49,-39.00,40.48
20:00 - 20:15,74.21,42.41,14.46,-35.00,17.35
20:15 - 20:30,88.66,26.99,14.46,-33.00,12.53
20:30 - 20:45,18.31,8.67,14.46,-38.00,29.88
20:45 - 21:00,17.35,21.20,14.46,-38.00,16.38
21:00 - 21:15,0.00,0.00,14.46,-37.00,24.09
21:15 - 21:30,0.00,27.95,14.46,-37.00,33.73
