Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,171.07,105.72,13.46,0.00,0.00,9.61
00:15 - 00:30,7.69,100.91,13.26,0.00,0.00,14.42
00:30 - 00:45,-5.00,100.92,13.07,0.00,0.00,21.14
00:45 - 01:00,-67.00,98.99,12.78,0.00,0.00,14.42
01:00 - 01:15,-72.00,139.36,12.49,0.00,0.00,57.67
01:15 - 01:30,-97.00,161.46,12.21,0.00,0.00,57.67
01:30 - 01:45,-79.00,198.95,12.01,0.00,0.00,60.55
01:45 - 02:00,-43.00,220.09,11.73,0.00,0.00,59.59
02:00 - 02:15,87.46,280.64,11.53,0.00,0.00,57.67
02:15 - 02:30,87.46,303.71,11.24,0.00,0.00,57.67
02:30 - 02:45,75.93,308.52,11.05,0.00,0.00,38.44
02:45 - 03:00,100.92,291.21,10.86,0.00,0.00,33.64
03:00 - 03:15,149.93,289.30,10.57,0.00,0.00,38.44
03:15 - 03:30,130.71,275.84,10.57,0.00,0.00,43.25
03:30 - 03:45,85.54,265.26,10.57,0.00,0.00,24.03
03:45 - 04:00,86.50,251.81,10.28,0.00,0.00,4.81
04:00 - 04:15,64.39,290.25,9.61,0.00,0.00,48.06
04:15 - 04:30,59.59,278.72,8.94,0.00,0.00,62.47
04:30 - 04:45,64.39,265.27,8.17,0.00,0.00,64.39
04:45 - 05:00,59.59,255.65,7.40,0.00,0.00,48.06
05:00 - 05:15,47.09,230.66,6.73,0.00,0.00,23.07
05:15 - 05:30,39.41,221.05,6.73,0.00,0.00,9.61
05:30 - 05:45,40.37,197.02,6.73,0.00,0.00,62.47
05:45 - 06:00,73.04,188.37,7.02,0.00,0.00,48.06
06:00 - 06:15,71.12,199.91,7.40,0.00,0.00,86.50
06:15 - 06:30,68.24,197.98,7.69,0.00,0.00,86.50
06:30 - 06:45,92.27,183.56,8.17,0.00,0.00,94.19
06:45 - 07:00,69.20,173.95,8.65,0.00,0.00,93.23
07:00 - 07:15,120.14,207.59,7.69,0.00,0.00,57.67
07:15 - 07:30,135.52,196.06,6.73,0.00,0.00,59.59
07:30 - 07:45,129.75,178.76,5.77,-84.00,0.00,72.08
07:45 - 08:00,123.02,150.89,4.81,-85.00,0.00,96.11
08:00 - 08:15,51.90,105.72,-5.50,-83.00,0.00,-16.00
08:15 - 08:30,103.80,76.89,-7.90,-83.00,0.00,2.88
08:30 - 08:45,80.74,20.18,-5.30,-80.00,0.00,-28.00
08:45 - 09:00,67.28,2.88,-5.30,-75.00,0.00,-52.00
09:00 - 09:15,13.46,10.57,-5.20,-52.00,0.00,-50.00
09:15 - 09:30,23.06,22.11,-6.20,-49.00,0.00,-10.00
09:30 - 09:45,71.12,43.25,-6.20,-44.00,0.00,19.22
09:45 - 10:00,9.61,38.44,-7.00,-41.00,0.00,48.06
10:00 - 10:15,-18.00,38.44,-7.00,-17.00,0.00,76.89
10:15 - 10:30,0.00,48.06,-6.60,-11.00,0.00,67.27
10:30 - 10:45,0.00,48.06,-10.30,0.00,0.00,62.47
10:45 - 11:00,27.87,51.90,-11.50,0.00,0.00,81.69
11:00 - 11:15,49.02,123.97,-12.30,0.00,0.00,4.81
11:15 - 11:30,81.69,124.95,-14.00,0.00,0.00,19.22
11:30 - 11:45,48.06,183.56,-15.00,0.00,0.00,31.72
11:45 - 12:00,81.69,197.99,-16.60,0.00,0.00,38.44
12:00 - 12:15,293.14,206.64,-17.70,0.00,0.00,38.44
12:15 - 12:30,292.17,206.64,-18.00,0.00,0.00,58.63
12:30 - 12:45,301.79,229.70,-18.20,0.00,0.00,62.47
12:45 - 13:00,321.97,235.47,-18.50,0.00,0.00,52.86
13:00 - 13:15,333.50,248.92,-7.00,0.00,0.00,31.72
13:15 - 13:30,309.48,248.92,-7.00,0.00,0.00,38.44
13:30 - 13:45,289.29,253.73,-7.00,0.00,0.00,19.22
13:45 - 14:00,266.22,268.15,-7.00,0.00,0.00,76.89
14:00 - 14:15,302.74,277.76,-7.00,0.00,0.00,-50.00
14:15 - 14:30,306.59,289.29,-6.00,0.00,0.00,-30.00
14:30 - 14:45,318.13,281.60,-6.00,0.00,0.00,-38.00
14:45 - 15:00,300.82,268.15,-6.00,0.00,0.00,-24.00
15:00 - 15:15,235.47,271.99,-8.00,0.00,0.00,76.89
15:15 - 15:30,231.63,251.80,-8.00,0.00,0.00,86.50
15:30 - 15:45,229.70,247.96,-8.00,0.00,0.00,120.14
15:45 - 16:00,221.05,245.09,-8.00,0.00,0.00,134.55
16:00 - 16:15,47.09,243.16,-8.00,0.00,0.00,139.36
16:15 - 16:30,56.70,267.19,-8.00,0.00,0.00,115.33
16:30 - 16:45,93.23,314.28,-8.00,0.00,0.00,115.33
16:45 - 17:00,29.79,290.26,-6.00,0.00,0.00,104.76
17:00 - 17:15,76.89,288.32,4.81,0.00,0.00,76.89
17:15 - 17:30,76.89,294.09,5.77,0.00,0.00,67.28
17:30 - 17:45,126.87,245.07,6.73,0.00,0.00,-5.00
17:45 - 18:00,144.17,206.63,6.73,0.00,0.00,38.44
18:00 - 18:15,142.24,185.49,6.73,0.00,0.00,115.33
18:15 - 18:30,140.32,184.54,9.61,0.00,0.00,124.94
18:30 - 18:45,134.55,178.78,12.49,0.00,0.00,124.94
18:45 - 19:00,141.28,179.73,13.84,0.00,0.00,129.75
19:00 - 19:15,39.41,74.00,16.34,-13.00,0.00,108.60
19:15 - 19:30,14.42,14.42,16.34,-15.00,0.00,52.85
19:30 - 19:45,92.26,14.42,16.34,-10.00,0.00,-13.00
19:45 - 20:00,64.39,0.00,16.34,-10.00,0.00,-13.00
20:00 - 20:15,-26.00,0.00,16.34,-10.00,0.00,-45.00
20:15 - 20:30,103.80,0.00,16.34,-10.00,0.00,-45.00
20:30 - 20:45,46.13,26.91,16.34,-10.00,0.00,-55.00
20:45 - 21:00,92.26,22.11,16.34,-10.00,0.00,-55.00
21:00 - 21:15,-16.00,17.30,16.34,-10.00,0.00,-50.00
21:15 - 21:30,112.45,17.30,16.34,-10.00,0.00,-50.00
21:30 - 21:45,114.28,4.60,15.67,-10.00,-25.00,-35.00
21:45 - 22:00,87.09,0.00,15.11,-10.00,-25.00,-35.00
22:00 - 22:15,54.52,6.98,10.15,-20.00,-25.00,-20.00
22:15 - 22:30,65.45,18.52,9.88,-20.00,-25.00,-25.00
22:30 - 22:45,199.19,56.36,12.81,-20.00,-25.00,-75.00
22:45 - 23:00,195.78,55.62,12.01,-20.00,-25.00,-85.00
23:00 - 23:15,120.74,33.54,13.17,-20.00,-25.00,-55.00
23:15 - 23:30,105.58,32.74,12.52,-20.00,-25.00,-55.00
23:30 - 23:45,105.72,43.25,14.22,-35.00,0.00,-40.00
23:45 - 24:00,79.77,48.06,13.84,-40.00,0.00,-40.00
