Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,207.20,15.42,10.60,-10.00,0.00,-25.00
00:15 - 00:30,224.54,15.42,10.60,-10.00,0.00,-13.00
00:30 - 00:45,194.66,41.44,14.46,-10.00,0.00,33.73
00:45 - 01:00,206.23,26.98,14.46,-10.00,0.00,43.37
01:00 - 01:15,177.31,14.46,14.46,-10.00,0.00,33.73
01:15 - 01:30,145.51,14.46,14.46,-10.00,0.00,24.09
01:30 - 01:45,69.39,0.00,13.49,-10.00,0.00,-5.00
01:45 - 02:00,46.26,0.00,13.49,-10.00,0.00,-13.00
02:00 - 02:15,35.65,25.06,13.49,-18.00,0.00,-40.00
02:15 - 02:30,12.53,29.87,13.49,-17.00,0.00,-30.00
02:30 - 02:45,0.00,53.97,13.49,-16.00,0.00,-131.00
02:45 - 03:00,0.00,36.62,13.49,-20.00,0.00,-95.00
03:00 - 03:15,28.91,106.01,12.53,-20.00,0.00,-70.00
03:15 - 03:30,22.17,85.76,12.53,-20.00,0.00,-70.00
03:30 - 03:45,26.98,87.70,12.53,-10.24,0.00,-60.00
03:45 - 04:00,31.80,89.62,12.53,-10.77,0.00,-60.00
04:00 - 04:15,28.91,61.67,12.05,-20.00,0.00,-65.00
04:15 - 04:30,34.69,61.68,11.56,-20.00,0.00,-65.00
04:30 - 04:45,38.55,42.41,11.56,-15.88,0.00,-45.00
04:45 - 05:00,34.69,73.25,10.60,-14.46,0.00,-40.00
05:00 - 05:15,8.67,21.20,15.42,-20.00,0.00,-50.00
05:15 - 05:30,12.53,21.20,15.90,-20.00,0.00,-45.00
05:30 - 05:45,38.55,33.73,16.38,-20.00,0.00,-50.00
05:45 - 06:00,40.48,38.55,16.38,-20.00,0.00,-40.00
06:00 - 06:15,0.00,10.60,16.38,-20.00,0.00,12.53
06:15 - 06:30,0.00,26.98,17.35,-20.00,0.00,-20.00
06:30 - 06:45,0.00,46.26,18.31,-20.00,0.00,-13.00
06:45 - 07:00,0.00,46.26,19.27,-20.00,0.00,-10.00
07:00 - 07:15,-48.00,30.84,20.24,-20.00,0.00,-10.00
07:15 - 07:30,-32.00,22.17,21.20,-20.00,0.00,-10.00
07:30 - 07:45,12.53,33.73,21.20,-16.00,0.00,4.82
07:45 - 08:00,48.19,19.27,21.20,0.00,0.00,12.53
08:00 - 08:15,50.11,5.78,22.17,0.00,0.00,12.53
08:15 - 08:30,52.99,9.64,22.17,-11.61,0.00,12.53
08:30 - 08:45,13.49,19.27,25.83,0.00,0.00,33.73
08:45 - 09:00,15.42,14.46,26.98,0.00,0.00,43.36
09:00 - 09:15,0.00,26.02,27.95,0.00,0.00,53.00
09:15 - 09:30,61.68,79.02,27.95,0.00,0.00,67.46
09:30 - 09:45,7.71,53.97,28.91,0.00,0.00,81.91
09:45 - 10:00,-15.00,65.53,27.95,0.00,0.00,81.91
10:00 - 10:15,60.71,21.20,27.95,0.00,0.00,38.55
10:15 - 10:30,53.96,32.77,27.95,0.00,0.00,38.55
10:30 - 10:45,71.31,0.00,24.38,0.00,0.00,43.37
10:45 - 11:00,149.38,26.98,23.23,0.00,0.00,53.00
11:00 - 11:15,0.00,55.89,17.83,0.00,0.00,28.91
11:15 - 11:30,0.00,60.71,16.48,0.00,0.00,33.73
11:30 - 11:45,155.16,111.79,13.20,0.00,0.00,33.73
11:45 - 12:00,154.19,113.72,11.95,0.00,0.00,33.73
12:00 - 12:15,43.37,110.82,9.64,0.00,0.00,62.64
12:15 - 12:30,40.48,115.64,9.64,0.00,0.00,65.53
12:30 - 12:45,-86.23,89.62,9.64,0.00,0.00,53.00
12:45 - 13:00,-65.95,90.58,9.16,0.00,0.00,48.19
13:00 - 13:15,97.33,42.40,20.24,0.00,0.00,-20.00
13:15 - 13:30,159.97,33.73,20.24,0.00,0.00,-20.00
13:30 - 13:45,268.87,43.37,20.72,0.00,0.00,-30.00
13:45 - 14:00,232.25,26.02,20.72,0.00,0.00,-30.00
14:00 - 14:15,172.50,0.00,20.72,0.00,5.78,25.06
14:15 - 14:30,163.83,6.75,20.72,0.00,5.20,31.80
14:30 - 14:45,142.63,26.02,20.72,0.00,3.66,-10.00
14:45 - 15:00,104.08,31.80,20.72,0.00,2.51,-30.00
15:00 - 15:15,54.93,0.00,18.31,0.00,0.00,-35.00
15:15 - 15:30,51.08,0.00,18.31,0.00,0.00,33.73
15:30 - 15:45,-48.48,0.00,14.46,0.00,0.00,-20.00
15:45 - 16:00,-33.70,0.00,14.46,0.00,0.00,-25.00
16:00 - 16:15,47.22,0.00,13.49,0.00,0.00,4.82
16:15 - 16:30,55.90,0.00,13.49,0.00,0.00,31.58
16:30 - 16:45,55.89,0.00,12.53,0.00,0.00,0.00
16:45 - 17:00,75.17,0.00,13.01,0.00,0.00,28.91
17:00 - 17:15,86.74,19.27,10.60,0.00,0.00,0.00
17:15 - 17:30,110.83,33.73,10.60,0.00,0.00,0.00
17:30 - 17:45,91.56,86.73,10.60,0.00,0.00,-10.00
17:45 - 18:00,95.41,100.22,10.60,0.00,0.00,9.64
18:00 - 18:15,79.98,77.10,10.60,0.00,0.00,48.19
18:15 - 18:30,99.26,38.55,12.53,0.00,0.00,38.55
18:30 - 18:45,122.38,48.19,14.94,0.00,0.00,0.00
18:45 - 19:00,110.82,67.46,17.35,0.00,0.00,9.64
19:00 - 19:15,17.35,0.00,16.86,0.00,0.00,0.00
19:15 - 19:30,0.00,0.00,16.86,0.00,0.00,0.00
19:30 - 19:45,-17.00,-35.00,16.38,0.00,0.00,-30.00
19:45 - 20:00,39.51,-63.00,16.38,0.00,0.10,-20.00
20:00 - 20:15,-14.00,-80.00,16.38,0.00,0.00,-110.00
20:15 - 20:30,-14.00,-80.00,17.34,0.00,0.10,-70.00
20:30 - 20:45,-48.00,-58.00,18.31,0.00,0.00,-140.00
20:45 - 21:00,-31.00,-50.00,18.31,0.00,0.00,-165.00
21:00 - 21:15,-32.00,-100.00,18.31,0.00,0.00,-255.00
21:15 - 21:30,0.00,-85.00,18.31,0.00,0.00,-190.00
21:30 - 21:45,42.40,-58.00,18.31,0.00,0.00,-80.00
21:45 - 22:00,126.25,-50.00,18.31,0.00,0.00,-30.00
22:00 - 22:15,121.42,-36.00,18.31,0.00,0.10,9.64
22:15 - 22:30,134.92,-32.00,18.31,0.00,0.10,19.27
22:30 - 22:45,107.93,-20.00,17.35,0.00,0.00,-80.00
22:45 - 23:00,104.08,-24.00,17.35,0.00,0.00,-60.00
23:00 - 23:15,61.67,-29.00,11.28,0.00,0.00,-60.00
23:15 - 23:30,53.97,-25.00,10.89,0.00,0.00,-50.00
23:30 - 23:45,53.97,-89.00,10.60,0.00,0.00,-25.00
23:45 - 24:00,33.73,-93.00,10.60,0.00,0.00,-30.00
