Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),CHL_Limited,Caddie_Hotels_Private_Limited,Central_Park_Infrastructure_Devlopment_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited,Vodafone_Idea_limited_Okhla
00:00 - 00:15,0.00,0.00,0.00,0.00,0.00,0.00,8.08,0.00,-70.00,0.00
00:15 - 00:30,0.00,-15.00,0.00,0.00,0.00,0.00,7.50,0.00,-100.00,0.00
00:30 - 00:45,71.17,7.69,0.00,0.00,0.00,0.00,7.12,0.00,-100.00,0.00
00:45 - 01:00,64.44,-4.00,0.00,0.00,0.00,0.00,6.73,0.00,-115.00,0.00
01:00 - 01:15,48.09,0.00,0.00,0.00,0.00,0.00,6.54,0.00,-130.00,0.00
01:15 - 01:30,49.05,0.00,0.00,0.00,0.00,0.00,6.25,0.00,-130.00,0.00
01:30 - 01:45,36.55,1.92,0.00,0.00,0.00,0.00,6.06,0.00,-120.00,0.00
01:45 - 02:00,36.55,1.92,0.00,0.00,0.00,0.00,5.77,0.00,-125.00,0.00
02:00 - 02:15,65.40,24.05,0.00,0.00,0.00,0.00,5.77,0.00,-130.00,0.00
02:15 - 02:30,68.29,25.97,0.00,0.00,0.00,0.00,5.77,0.00,-125.00,0.00
02:30 - 02:45,68.28,29.82,0.00,0.00,0.00,0.00,5.77,0.00,-130.00,0.00
02:45 - 03:00,71.17,29.82,0.00,0.00,0.00,0.00,5.77,0.00,-125.00,0.00
03:00 - 03:15,72.14,28.85,0.00,0.00,0.00,0.00,5.77,0.00,-120.00,0.00
03:15 - 03:30,71.18,27.89,0.00,0.00,0.00,0.00,5.77,0.00,-120.00,0.00
03:30 - 03:45,39.43,0.00,0.00,0.00,0.00,0.00,5.77,0.00,-115.00,0.00
03:45 - 04:00,39.43,0.00,0.00,0.00,0.00,0.00,6.06,0.00,-115.00,0.00
04:00 - 04:15,49.05,14.43,0.00,0.00,0.00,-0.50,6.06,0.00,-125.00,0.00
04:15 - 04:30,46.17,11.54,0.00,0.00,0.00,-0.50,6.54,0.00,-120.00,0.00
04:30 - 04:45,-13.00,14.43,0.00,0.00,0.00,-0.50,7.21,0.00,-135.00,0.00
04:45 - 05:00,-38.00,15.39,0.00,0.00,0.00,-0.50,8.27,0.00,-185.00,0.00
05:00 - 05:15,-81.00,-20.00,0.00,0.00,0.00,-0.50,6.73,0.00,-150.00,0.00
05:15 - 05:30,-95.00,-20.00,0.00,0.00,0.00,-0.50,7.98,0.00,-135.00,0.00
05:30 - 05:45,-77.00,-27.00,0.00,0.00,0.00,-0.50,0.58,0.00,-140.00,0.00
05:45 - 06:00,-34.00,-32.00,0.00,0.00,0.00,-0.50,4.04,0.00,-105.00,0.00
06:00 - 06:15,-85.00,-21.00,0.00,0.00,0.00,-0.50,6.92,0.00,-55.00,0.00
06:15 - 06:30,-25.00,-37.00,0.00,0.00,0.00,-0.50,8.27,0.00,-5.00,0.00
06:30 - 06:45,0.00,-20.00,0.00,0.00,0.00,-0.50,9.14,0.00,-135.00,0.00
06:45 - 07:00,24.05,-40.00,0.00,0.00,0.00,-0.50,9.81,0.00,-215.00,0.00
07:00 - 07:15,-28.00,-45.00,0.00,0.00,0.00,-0.50,10.58,0.48,-245.00,0.00
07:15 - 07:30,-21.00,-50.00,0.00,0.00,0.00,-0.50,11.54,1.35,-230.00,0.00
07:30 - 07:45,0.00,-58.00,0.00,0.00,0.00,-0.10,12.50,0.87,-200.00,0.00
07:45 - 08:00,39.43,-49.00,0.00,0.00,0.00,-0.10,13.18,0.67,-170.00,0.00
08:00 - 08:15,54.65,-35.00,0.00,0.00,0.00,-0.10,13.14,0.00,-115.00,0.00
08:15 - 08:30,62.27,-30.00,0.00,0.00,0.00,-0.10,12.64,0.00,-95.00,0.00
08:30 - 08:45,49.05,-27.00,0.00,0.00,0.00,-0.10,23.66,0.00,-120.00,0.00
08:45 - 09:00,9.62,-32.00,0.00,0.00,0.00,-0.10,23.27,0.00,-165.00,0.00
09:00 - 09:15,-13.00,-60.00,0.00,0.00,0.00,0.00,19.24,0.00,-200.00,0.00
09:15 - 09:30,-12.00,-40.00,0.00,0.00,0.00,0.00,19.24,0.00,-210.00,0.00
09:30 - 09:45,57.71,-25.00,0.00,0.00,0.00,0.00,19.04,0.00,-180.00,0.00
09:45 - 10:00,60.59,-22.00,0.00,0.00,0.00,0.00,18.76,0.00,-180.00,0.00
10:00 - 10:15,54.83,0.00,0.00,0.00,0.00,0.00,17.31,0.00,-240.00,0.00
10:15 - 10:30,53.86,0.00,0.00,0.00,0.00,0.00,16.35,0.00,-270.00,0.00
10:30 - 10:45,97.14,23.08,0.00,0.00,0.00,0.00,15.87,0.00,-206.00,0.00
10:45 - 11:00,93.29,31.74,0.00,0.00,0.00,0.00,15.20,0.00,-102.00,0.00
11:00 - 11:15,85.60,9.62,0.00,0.00,0.00,0.00,16.06,0.00,-174.00,0.00
11:15 - 11:30,66.36,9.62,0.00,0.00,0.00,0.00,15.39,0.00,-164.00,0.00
11:30 - 11:45,56.75,0.00,0.00,0.00,0.00,0.00,14.62,0.00,-143.00,0.00
11:45 - 12:00,55.78,0.00,0.00,0.00,0.00,0.00,13.95,0.00,-141.00,0.00
12:00 - 12:15,100.99,0.00,0.00,0.00,0.00,0.00,10.58,0.00,-114.00,0.00
12:15 - 12:30,104.83,0.00,0.00,0.00,0.00,0.00,9.62,0.00,-117.00,0.00
12:30 - 12:45,79.82,3.85,0.00,0.00,0.00,0.00,8.66,0.00,-110.00,0.00
12:45 - 13:00,79.83,10.58,0.00,0.00,0.00,0.00,7.69,0.00,-111.00,0.00
13:00 - 13:15,59.64,0.00,0.00,0.00,0.00,0.00,7.69,0.00,-180.00,0.00
13:15 - 13:30,65.41,0.00,0.00,0.00,0.00,0.00,7.69,0.00,-164.00,0.00
13:30 - 13:45,28.85,14.43,0.00,0.00,0.00,0.00,6.73,0.00,-203.00,0.00
13:45 - 14:00,34.62,14.43,0.00,0.00,0.00,0.00,5.29,0.00,-199.00,0.00
14:00 - 14:15,54.82,16.35,0.00,0.00,0.00,0.00,6.25,0.00,-208.00,0.00
14:15 - 14:30,74.06,22.12,0.00,0.00,0.00,0.00,5.77,0.00,-214.00,0.00
14:30 - 14:45,23.08,29.82,0.00,0.00,0.00,0.00,5.29,0.00,-252.00,0.00
14:45 - 15:00,17.31,26.93,0.00,0.00,0.00,0.00,5.77,0.00,-127.00,0.00
15:00 - 15:15,40.40,31.74,0.00,0.00,0.00,0.00,5.77,0.00,-155.00,0.00
15:15 - 15:30,43.29,18.27,0.00,0.00,0.00,0.00,5.77,0.00,-134.00,0.00
15:30 - 15:45,74.06,8.66,0.00,0.00,0.00,0.00,5.77,0.00,-106.00,0.00
15:45 - 16:00,23.08,9.62,0.00,0.00,0.00,0.00,6.73,0.00,-79.00,0.00
16:00 - 16:15,14.42,-9.00,0.29,0.48,0.29,0.00,8.66,0.00,-273.00,0.29
16:15 - 16:30,27.89,-19.00,0.29,0.48,0.29,0.00,9.62,0.00,-137.00,0.29
16:30 - 16:45,29.81,-10.00,0.29,0.48,0.29,0.00,9.62,0.00,-188.00,0.29
16:45 - 17:00,14.42,-11.00,0.29,0.48,0.29,0.00,10.58,0.00,-374.00,0.29
17:00 - 17:15,65.40,-22.00,0.29,0.48,0.29,0.00,11.54,0.87,-371.00,0.29
17:15 - 17:30,-67.00,-34.00,0.23,0.38,0.23,0.00,10.75,6.37,-334.00,0.23
17:30 - 17:45,0.00,-32.00,0.21,0.36,0.21,0.00,11.43,4.21,-248.00,0.21
17:45 - 18:00,24.34,-38.00,0.24,0.40,0.24,0.00,14.60,5.52,-263.00,0.24
18:00 - 18:15,16.09,25.39,0.13,0.21,0.13,0.00,8.04,2.03,-330.00,0.13
18:15 - 18:30,27.05,22.54,0.12,0.19,0.12,0.00,6.76,1.42,-330.00,0.12
18:30 - 18:45,149.81,11.71,0.14,0.23,0.14,0.00,7.49,2.25,-340.00,0.14
18:45 - 19:00,145.72,0.00,0.19,0.32,0.19,0.00,10.19,1.46,-368.00,0.19
19:00 - 19:15,90.40,0.00,0.29,0.48,0.29,0.00,15.20,0.00,-364.00,0.29
19:15 - 19:30,61.55,0.00,0.29,0.48,0.29,0.00,15.10,0.00,-358.00,0.29
19:30 - 19:45,93.29,0.00,0.29,0.48,0.29,0.00,14.91,0.00,-346.00,0.29
19:45 - 20:00,90.40,0.00,0.29,0.48,0.29,0.00,14.72,0.00,-270.00,0.29
20:00 - 20:15,119.26,0.00,0.00,0.00,0.00,0.00,14.62,0.00,-160.00,0.00
20:15 - 20:30,113.49,0.00,0.00,0.00,0.00,0.00,14.33,0.00,-114.00,0.00
20:30 - 20:45,118.29,24.05,0.00,0.00,0.00,0.00,14.14,0.00,-120.00,0.00
20:45 - 21:00,129.84,30.78,0.00,0.00,0.00,0.00,13.75,0.00,-103.00,0.00
21:00 - 21:15,35.58,29.82,0.00,0.00,0.00,0.00,14.04,0.00,-92.00,0.00
21:15 - 21:30,97.14,31.74,0.00,0.00,0.00,0.00,14.04,0.00,-100.00,0.00
21:30 - 21:45,100.99,27.89,0.00,0.00,0.00,0.00,12.50,0.00,-98.00,0.00
21:45 - 22:00,101.94,25.01,0.00,0.00,0.00,0.00,11.45,0.00,-114.00,0.00
22:00 - 22:15,112.52,35.59,0.00,0.00,0.00,0.00,15.20,0.00,-217.00,0.00
22:15 - 22:30,132.73,37.51,0.00,0.00,0.00,0.00,13.56,0.00,-200.00,0.00
22:30 - 22:45,76.94,29.82,0.00,0.00,0.00,0.00,12.12,0.00,-166.00,0.00
22:45 - 23:00,113.49,10.58,0.00,0.00,0.00,0.00,11.16,0.00,-195.00,0.00
23:00 - 23:15,143.31,0.00,0.00,0.00,0.00,0.00,9.81,0.00,-205.00,0.00
23:15 - 23:30,125.99,0.00,0.00,0.00,0.00,0.00,9.43,0.00,-222.00,0.00
23:30 - 23:45,90.41,0.00,0.00,0.00,0.00,0.00,8.85,0.00,-231.00,0.00
23:45 - 24:00,100.03,0.00,0.00,0.00,0.00,0.00,8.08,0.00,-248.00,0.00
