Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,14.34,-15.00,13.00,0.00,13.38
00:15 - 00:30,-38.00,-15.00,12.71,0.00,-17.00
00:30 - 00:45,-34.00,-14.00,12.04,0.00,-21.00
00:45 - 01:00,-44.00,-16.00,11.85,0.00,-17.00
01:00 - 01:15,-49.00,-14.00,11.85,0.00,-23.00
01:15 - 01:30,-44.00,-12.00,11.47,0.00,-46.00
01:30 - 01:45,-47.00,-11.00,10.90,0.00,-44.00
01:45 - 02:00,-41.00,-8.00,10.32,0.00,-54.00
02:00 - 02:15,-14.00,-26.00,10.32,0.00,-73.00
02:15 - 02:30,-7.00,-24.00,10.13,0.00,-71.00
02:30 - 02:45,15.30,0.00,10.13,0.00,-65.00
02:45 - 03:00,16.25,0.00,10.13,0.00,-75.00
03:00 - 03:15,-19.00,0.00,10.71,0.00,-71.00
03:15 - 03:30,-21.00,0.00,10.80,0.00,-71.00
03:30 - 03:45,0.00,0.00,11.09,0.00,-66.00
03:45 - 04:00,-12.00,0.00,11.38,0.00,-60.00
04:00 - 04:15,0.00,0.00,11.47,0.00,-62.00
04:15 - 04:30,0.00,0.00,12.43,0.00,-61.00
04:30 - 04:45,0.00,0.00,12.43,0.00,-57.00
04:45 - 05:00,0.00,0.00,13.67,0.00,-66.00
05:00 - 05:15,-29.00,-10.00,8.22,0.00,-55.00
05:15 - 05:30,0.00,0.00,9.18,0.00,-45.00
05:30 - 05:45,21.99,0.00,10.32,0.00,22.94
05:45 - 06:00,30.59,0.00,11.47,0.00,10.51
06:00 - 06:15,70.74,-7.00,13.38,0.00,-5.00
06:15 - 06:30,61.18,-20.00,15.29,0.00,-16.00
06:30 - 06:45,26.12,0.00,15.67,0.00,125.36
06:45 - 07:00,25.95,-20.00,11.54,0.00,47.30
07:00 - 07:15,63.00,-53.00,4.78,0.00,-13.00
07:15 - 07:30,34.84,-77.00,2.60,0.19,-42.00
07:30 - 07:45,60.99,-52.00,1.91,0.05,-39.00
07:45 - 08:00,61.84,-17.00,1.83,0.08,15.18
08:00 - 08:15,45.38,0.00,1.89,0.00,60.51
08:15 - 08:30,36.08,2.43,2.03,0.08,81.05
08:30 - 08:45,8.12,15.46,1.93,0.14,41.28
08:45 - 09:00,7.20,23.98,2.07,0.12,34.15
09:00 - 09:15,52.23,0.00,2.93,0.38,3.92
09:15 - 09:30,55.72,8.84,4.07,0.04,0.00
09:30 - 09:45,54.19,22.31,7.33,0.86,-33.00
09:45 - 10:00,149.57,40.64,13.01,0.98,81.29
10:00 - 10:15,141.39,48.20,19.28,2.33,176.73
10:15 - 10:30,174.93,62.13,23.42,1.72,191.18
10:30 - 10:45,212.21,69.78,21.99,0.00,172.06
10:45 - 11:00,212.20,60.22,21.03,1.63,5.74
11:00 - 11:15,199.78,47.80,19.12,0.00,0.00
11:15 - 11:30,152.94,47.80,18.16,0.00,28.68
11:30 - 11:45,22.94,21.03,17.21,0.00,-15.00
11:45 - 12:00,0.00,21.03,16.25,0.00,-15.00
12:00 - 12:15,99.41,0.00,14.34,0.00,-119.00
12:15 - 12:30,103.24,0.00,14.34,0.00,-136.00
12:30 - 12:45,164.42,14.34,13.38,0.00,-108.00
12:45 - 13:00,214.12,6.69,12.43,0.00,-20.00
13:00 - 13:15,239.93,24.85,11.47,0.00,56.40
13:15 - 13:30,243.76,31.54,10.51,0.00,69.78
13:30 - 13:45,210.30,-28.00,9.56,0.00,57.35
13:45 - 14:00,190.23,-25.00,8.60,0.00,56.40
14:00 - 14:15,228.47,31.54,8.60,0.00,110.88
14:15 - 14:30,219.85,35.37,8.60,0.00,101.33
14:30 - 14:45,246.62,-46.00,11.95,0.00,100.37
14:45 - 15:00,175.89,-40.00,11.95,0.00,108.97
15:00 - 15:15,110.88,-27.00,11.95,0.00,120.45
15:15 - 15:30,49.71,-32.00,11.95,0.00,130.00
15:30 - 15:45,25.81,0.00,11.95,0.00,66.91
15:45 - 16:00,15.56,0.00,12.17,0.00,4.58
16:00 - 16:15,70.53,7.43,10.39,0.00,-74.00
16:15 - 16:30,79.41,2.23,6.69,0.00,-89.00
16:30 - 16:45,79.02,0.00,3.26,0.00,-145.00
16:45 - 17:00,68.37,0.00,2.30,0.00,54.16
17:00 - 17:15,193.86,0.00,1.47,0.06,24.60
17:15 - 17:30,132.11,-13.00,1.01,0.30,8.01
17:30 - 17:45,113.95,0.00,0.72,0.15,10.72
17:45 - 18:00,157.79,0.76,1.08,0.17,15.37
18:00 - 18:15,104.00,54.54,0.80,0.11,-10.00
18:15 - 18:30,70.45,49.64,0.74,0.11,-5.00
18:30 - 18:45,88.82,49.17,0.76,0.10,-10.00
18:45 - 19:00,99.74,55.21,0.85,0.11,0.00
19:00 - 19:15,110.26,63.30,1.02,0.09,-20.00
19:15 - 19:30,85.90,78.32,1.31,0.16,-25.00
19:30 - 19:45,122.55,61.28,2.28,0.21,0.00
19:45 - 20:00,42.03,65.89,2.95,0.49,0.00
20:00 - 20:15,81.33,27.38,7.04,1.43,13.55
20:15 - 20:30,132.01,30.10,13.73,1.59,132.02
20:30 - 20:45,95.59,51.62,22.94,0.00,143.39
20:45 - 21:00,219.85,47.80,22.75,0.57,105.15
21:00 - 21:15,90.81,11.47,21.03,1.72,-55.00
21:15 - 21:30,94.63,-3.00,20.36,0.00,-50.00
21:30 - 21:45,-54.00,-13.00,18.74,0.00,-70.00
21:45 - 22:00,0.00,-12.00,17.02,0.00,0.00
22:00 - 22:15,15.29,-18.00,16.06,0.00,-15.00
22:15 - 22:30,74.56,0.00,14.15,0.00,-15.00
22:30 - 22:45,62.13,0.00,13.19,0.00,-30.00
22:45 - 23:00,63.09,0.00,11.47,0.00,-30.00
23:00 - 23:15,45.88,-10.00,9.56,0.00,43.02
23:15 - 23:30,63.09,-10.00,8.60,0.00,43.02
23:30 - 23:45,31.54,-30.00,7.93,0.00,21.99
23:45 - 24:00,26.76,-40.00,6.98,0.00,2.87
