Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,24.74,0.00,0.44,-68.00,0.12,12.48
00:15 - 00:30,16.05,0.00,0.47,-68.00,0.07,6.14
00:30 - 00:45,11.04,0.00,0.78,-68.00,0.00,15.01
00:45 - 01:00,17.95,-23.00,0.83,-67.00,0.00,16.02
01:00 - 01:15,16.47,-86.00,2.12,-68.00,0.00,46.60
01:15 - 01:30,20.76,-131.00,2.49,-67.00,0.00,55.43
01:30 - 01:45,12.92,-131.00,5.96,-67.00,0.00,45.23
01:45 - 02:00,-10.00,-153.00,7.01,-68.00,0.00,40.78
02:00 - 02:15,-48.00,-139.00,6.17,-69.00,0.00,16.84
02:15 - 02:30,-69.00,-164.00,7.13,-67.00,0.00,20.12
02:30 - 02:45,-88.00,-154.00,10.58,-67.00,0.00,20.19
02:45 - 03:00,-116.00,-150.00,10.58,-67.00,0.00,17.30
03:00 - 03:15,-152.00,-137.00,10.58,-68.00,0.00,11.53
03:15 - 03:30,-185.00,-141.00,10.58,-68.00,0.00,11.53
03:30 - 03:45,-162.00,-167.00,10.57,-68.00,0.00,10.58
03:45 - 04:00,-132.00,-162.00,9.62,-68.00,0.10,13.45
04:00 - 04:15,-110.00,-156.00,9.62,-69.00,0.10,16.34
04:15 - 04:30,-68.00,-148.00,9.62,-69.00,0.19,20.19
04:30 - 04:45,-15.00,-150.00,9.62,-68.00,0.10,19.22
04:45 - 05:00,-24.00,-138.00,9.62,-68.00,0.10,30.76
05:00 - 05:15,-39.00,-148.00,9.62,-68.00,6.73,31.73
05:15 - 05:30,-47.00,-153.00,7.55,-69.00,5.29,55.88
05:30 - 05:45,-67.00,-161.00,5.15,-69.00,1.65,24.76
05:45 - 06:00,-69.00,-157.00,4.81,-68.00,1.30,22.11
06:00 - 06:15,-71.00,-152.00,5.11,-68.00,1.39,23.69
06:15 - 06:30,-73.00,-141.00,4.73,-69.00,1.63,24.06
06:30 - 06:45,-68.00,-147.00,7.68,-69.00,0.26,35.20
06:45 - 07:00,-93.00,-170.00,11.54,-69.00,0.00,96.15
07:00 - 07:15,-121.00,-64.00,11.54,-73.00,0.00,153.84
07:15 - 07:30,-128.00,-68.00,12.50,-73.00,0.00,55.77
07:30 - 07:45,-133.00,-152.00,12.50,-74.00,0.00,69.23
07:45 - 08:00,-131.00,-131.00,13.46,-73.00,0.00,75.96
08:00 - 08:15,-107.00,-116.00,10.58,-72.00,0.00,-76.00
08:15 - 08:30,-116.00,-96.00,10.57,-74.00,0.10,-60.00
08:30 - 08:45,-104.00,-100.00,10.58,-73.00,0.00,-49.00
08:45 - 09:00,-32.00,-94.00,10.58,-73.00,0.00,-49.00
09:00 - 09:15,-14.00,-90.00,8.37,-76.00,0.00,-62.00
09:15 - 09:30,15.38,-72.00,9.33,-76.00,0.00,-42.00
09:30 - 09:45,10.58,-56.00,8.65,-75.00,0.00,-23.00
09:45 - 10:00,8.65,-54.00,8.66,-74.00,0.00,-19.00
10:00 - 10:15,6.73,-75.00,7.69,-72.00,0.00,-16.00
10:15 - 10:30,26.92,-75.00,7.69,-71.00,0.00,-18.00
10:30 - 10:45,28.85,-60.00,8.65,-70.00,0.00,-21.00
10:45 - 11:00,31.73,-69.00,8.65,-69.00,0.00,-13.00
11:00 - 11:15,50.00,-59.00,8.65,-56.00,0.00,-35.00
11:15 - 11:30,52.88,-65.00,9.62,-52.00,0.00,-30.00
11:30 - 11:45,18.26,-56.00,9.62,-48.00,0.00,-10.00
11:45 - 12:00,21.15,-69.00,9.62,-47.00,0.00,0.00
12:00 - 12:15,-9.00,-75.00,9.61,-44.00,0.00,4.81
12:15 - 12:30,-20.00,-76.00,9.62,-42.00,0.00,14.42
12:30 - 12:45,-22.00,-81.00,9.62,-43.00,0.00,19.23
12:45 - 13:00,-29.00,-81.00,9.61,-44.00,0.00,9.62
13:00 - 13:15,-23.00,-70.00,10.10,-42.00,0.00,-70.00
13:15 - 13:30,-30.00,-75.00,10.10,-45.00,0.00,-65.00
13:30 - 13:45,-36.00,-67.00,10.10,-45.00,0.00,-25.00
13:45 - 14:00,-23.00,-60.00,10.10,-46.00,0.00,43.26
14:00 - 14:15,10.58,-69.00,12.50,-30.00,0.00,24.03
14:15 - 14:30,28.85,-45.00,12.50,-31.00,0.00,38.45
14:30 - 14:45,20.19,-56.00,12.50,-31.00,0.00,48.08
14:45 - 15:00,-21.00,-16.00,12.50,-30.00,0.00,57.69
15:00 - 15:15,52.88,0.00,12.50,-29.00,0.00,52.88
15:15 - 15:30,96.15,0.00,12.50,-31.00,0.00,33.65
15:30 - 15:45,66.34,0.00,12.50,-32.00,0.00,24.04
15:45 - 16:00,74.03,0.00,12.50,-34.00,0.00,24.04
16:00 - 16:15,76.92,0.00,14.42,-28.00,0.00,24.04
16:15 - 16:30,87.49,0.00,14.42,-26.00,0.10,24.04
